Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Пол,Value
2018,%,total_support_ratio,Оба пола,44.32
2020,%,total_support_ratio,Оба пола,47.11
2025,%,total_support_ratio,Оба пола,53.97
2030,%,total_support_ratio,Оба пола,62.1
2035,%,total_support_ratio,Оба пола,68.98
2040,%,total_support_ratio,Оба пола,76.0
2045,%,total_support_ratio,Оба пола,84.34
2050,%,total_support_ratio,Оба пола,94.16
2055,%,total_support_ratio,Оба пола,103.66
2060,%,total_support_ratio,Оба пола,110.44
2065,%,total_support_ratio,Оба пола,115.81
2070,%,total_support_ratio,Оба пола,116.18
2018,%,young_age_support_ratio,Оба пола,20.55
2020,%,young_age_support_ratio,Оба пола,20.65
2025,%,young_age_support_ratio,Оба пола,20.34
2030,%,young_age_support_ratio,Оба пола,20.29
2035,%,young_age_support_ratio,Оба пола,19.98
2040,%,young_age_support_ratio,Оба пола,19.66
2045,%,young_age_support_ratio,Оба пола,19.82
2050,%,young_age_support_ratio,Оба пола,20.49
2055,%,young_age_support_ratio,Оба пола,21.3
2060,%,young_age_support_ratio,Оба пола,21.85
2065,%,young_age_support_ratio,Оба пола,22.23
2070,%,young_age_support_ratio,Оба пола,22.13
2018,%,old_age_support_ratio,Оба пола,23.78
2020,%,old_age_support_ratio,Оба пола,26.46
2025,%,old_age_support_ratio,Оба пола,33.64
2030,%,old_age_support_ratio,Оба пола,41.81
2035,%,old_age_support_ratio,Оба пола,49.0
2040,%,old_age_support_ratio,Оба пола,56.34
2045,%,old_age_support_ratio,Оба пола,64.52
2050,%,old_age_support_ratio,Оба пола,73.67
2055,%,old_age_support_ratio,Оба пола,82.36
2060,%,old_age_support_ratio,Оба пола,88.59
2065,%,old_age_support_ratio,Оба пола,93.58
2070,%,old_age_support_ratio,Оба пола,94.04
2018,%,older_persons_to_youth_ratio,Оба пола,115.71
2020,%,older_persons_to_youth_ratio,Оба пола,128.11
2025,%,older_persons_to_youth_ratio,Оба пола,165.41
2030,%,older_persons_to_youth_ratio,Оба пола,206.01
2035,%,older_persons_to_youth_ratio,Оба пола,245.28
2040,%,older_persons_to_youth_ratio,Оба пола,286.61
2045,%,older_persons_to_youth_ratio,Оба пола,325.51
2050,%,older_persons_to_youth_ratio,Оба пола,359.64
2055,%,older_persons_to_youth_ratio,Оба пола,386.67
2060,%,older_persons_to_youth_ratio,Оба пола,405.45
2065,%,older_persons_to_youth_ratio,Оба пола,420.87
2070,%,older_persons_to_youth_ratio,Оба пола,424.86
2018,%,total_support_ratio,M,44.32
2020,%,total_support_ratio,M,47.11
2025,%,total_support_ratio,M,53.97
2030,%,total_support_ratio,M,62.1
2035,%,total_support_ratio,M,68.98
2040,%,total_support_ratio,M,76.0
2045,%,total_support_ratio,M,84.34
2050,%,total_support_ratio,M,94.16
2055,%,total_support_ratio,M,103.66
2060,%,total_support_ratio,M,110.44
2065,%,total_support_ratio,M,115.81
2070,%,total_support_ratio,M,116.18
2018,%,young_age_support_ratio,M,20.55
2020,%,young_age_support_ratio,M,20.65
2025,%,young_age_support_ratio,M,20.34
2030,%,young_age_support_ratio,M,20.29
2035,%,young_age_support_ratio,M,19.98
2040,%,young_age_support_ratio,M,19.66
2045,%,young_age_support_ratio,M,19.82
2050,%,young_age_support_ratio,M,20.49
2055,%,young_age_support_ratio,M,21.3
2060,%,young_age_support_ratio,M,21.85
2065,%,young_age_support_ratio,M,22.23
