Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Albanian,Albanian,Albanski,Albanian,Albanski,3,1
Bosniak,Bosniak,Bošnjački,Bosniak,Bošnjački,3,1
Bosnian ,Bosnian ,Bosnian ,Bosnian ,Bosnian ,3,1
Bosnian_Croatian,Bosnian_Croatian,Bosanski-hrvatski,Bosnian_Croatian,Bosanski-hrvatski,3,1
Bosnian_Croatian_Serbian,Bosnian_Croatian_Serbian,Bosanski-hrvatski-srpski,Bosnian_Croatian_Serbian,Bosanski_hrvatski_srpski,3,1
Bosnian_Herzegovinian,Bosnian_Herzegovinian,Bosansko-hercegovački,Bosnian_Herzegovinian,Bosansko-hercegovački,3,1
Bosnian_Serbian_Croatian,Bosnian_Serbian_Croatian,Bosanski-srpski-hrvatski,Bosnian_Serbian_Croatian,Bosanski-srpski-hrvatski,3,1
Croatian,Croatian,Hrvatski,Croatian,Hrvatski,3,1
Croato_Serbian,Croato_Serbian,Hrvatsko-srpski,Croato_Serbian,Hrvatsko-srpski,3,1
German,German,Njemački,German,Njemački,3,1
Other,Other,Other,Other,Other,3,1
Romani,Romani,Romski,Romani,Romski,3,1
Serbian,Serbian,Srpski,Serbian,Srpski,3,1
Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,Serbo_Croatian ,2,1
Serbo_Croatian,Serbo_Croatian,Srpsko-hrvatski,Serbo_Croatian,Srpsko-hrvatski,1,1
Turkish,Turkish,Turski,Turkish,Turski,3,1
Ukranian,Ukranian,Ukrajinski,Ukranian,Ukrajinski,3,1
Unknown,Unknown,Unknown,Unknown,Unknown,3,1
