Year,Value,UNIT_MEASURE
2019,12.8,Stopa smrtnosti na 1.000 stanovnika
2020,12.8,Stopa smrtnosti na 1.000 stanovnika
2025,13.2,Stopa smrtnosti na 1.000 stanovnika
2030,13.7,Stopa smrtnosti na 1.000 stanovnika
2035,14.4,Stopa smrtnosti na 1.000 stanovnika
2040,15.2,Stopa smrtnosti na 1.000 stanovnika
2045,15.7,Stopa smrtnosti na 1.000 stanovnika
2050,15.9,Stopa smrtnosti na 1.000 stanovnika
2055,16.0,Stopa smrtnosti na 1.000 stanovnika
2060,16.1,Stopa smrtnosti na 1.000 stanovnika
2065,16.3,Stopa smrtnosti na 1.000 stanovnika
2070,16.6,Stopa smrtnosti na 1.000 stanovnika
