Year,Value,UNIT_MEASURE
2003,0.62,Broj na 1.000 stanovnika
2004,0.54,Broj na 1.000 stanovnika
2005,0.61,Broj na 1.000 stanovnika
2006,0.44,Broj na 1.000 stanovnika
2007,0.5,Broj na 1.000 stanovnika
2008,0.27,Broj na 1.000 stanovnika
2009,0.39,Broj na 1.000 stanovnika
2010,0.44,Broj na 1.000 stanovnika
2011,0.75,Broj na 1.000 stanovnika
2012,0.75,Broj na 1.000 stanovnika
2013,0.9,Broj na 1.000 stanovnika
2014,0.95,Broj na 1.000 stanovnika
2015,0.98,Broj na 1.000 stanovnika
2016,0.89,Broj na 1.000 stanovnika
2017,0.85,Broj na 1.000 stanovnika
2018,0.8,Broj na 1.000 stanovnika
2019,0.8,Broj na 1.000 stanovnika
2020,0.8,Broj na 1.000 stanovnika
2021,0.9,Broj na 1.000 stanovnika
2022,0.9,Broj na 1.000 stanovnika
2023,0.9,Broj na 1.000 stanovnika
2024,0.8,Broj na 1.000 stanovnika
