Year,UNIT_MEASURE,TYPE_OF_EDUCATION,Sex,Value
2016,Number,masters_of_science,Both sexes,36
2016,Number,masters_of_science,F,20
2016,Number,masters_of_science,M,16
2016,Number,masters,Both sexes,261
2016,Number,masters,F,105
2016,Number,masters,M,156
2016,Number,specialists,Both sexes,87
2016,Number,specialists,F,31
2016,Number,specialists,M,56
2016,Number,doctors,Both sexes,64
2016,Number,doctors,F,34
2016,Number,doctors,M,30
2017,Number,masters_of_science,Both sexes,39
2017,Number,masters_of_science,F,17
2017,Number,masters_of_science,M,22
2017,Number,masters,Both sexes,332
2017,Number,masters,F,136
2017,Number,masters,M,196
2017,Number,specialists,Both sexes,95
2017,Number,specialists,F,35
2017,Number,specialists,M,60
2017,Number,doctors,Both sexes,42
2017,Number,doctors,F,26
2017,Number,doctors,M,16
2018,Number,masters_of_science,Both sexes,41
2018,Number,masters_of_science,F,21
2018,Number,masters_of_science,M,20
2018,Number,masters,Both sexes,378
2018,Number,masters,F,152
2018,Number,masters,M,226
2018,Number,specialists,Both sexes,111
2018,Number,specialists,F,35
2018,Number,specialists,M,76
2018,Number,doctors,Both sexes,43
2018,Number,doctors,F,28
2018,Number,doctors,M,15
2019,Number,masters_of_science,Both sexes,42
2019,Number,masters_of_science,F,22
2019,Number,masters_of_science,M,20
2019,Number,masters,Both sexes,383
2019,Number,masters,F,182
2019,Number,masters,M,201
2019,Number,specialists,Both sexes,109
2019,Number,specialists,F,48
2019,Number,specialists,M,61
2019,Number,doctors,Both sexes,54
2019,Number,doctors,F,37
2019,Number,doctors,M,17
2020,Number,masters_of_science,Both sexes,72
2020,Number,masters_of_science,F,43
2020,Number,masters_of_science,M,29
2020,Number,masters,Both sexes,420
2020,Number,masters,F,200
2020,Number,masters,M,220
2020,Number,specialists,Both sexes,101
2020,Number,specialists,F,32
2020,Number,specialists,M,69
2020,Number,doctors,Both sexes,47
2020,Number,doctors,F,27
2020,Number,doctors,M,20
