Year,UNIT_MEASURE,Научна област,Пол,Value
2017,Број,Укупно,Оба пола,130
2017,Број,"Природне науке,  математика и  статистика",Оба пола,10
2017,Број,"Инжeњерство, производња и грађевинарство",Оба пола,4
2017,Број,Информационе и комуникационе технологије,Оба пола,12
2017,Број,Здравство и социјална заштита,Оба пола,25
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,9
2017,Број,"Друштвене науке, новинарство и информисање",Оба пола,50
2017,Број,"Пословање, администрација и право",Оба пола,10
2017,Број,eduaction,Оба пола,0
2017,Број,Хуманистичке науке и умјетност,Оба пола,10
2017,Број,Услуге,Оба пола,0
2017,Број,Укупно,M,70
2017,Број,"Природне науке,  математика и  статистика",M,6
2017,Број,"Инжeњерство, производња и грађевинарство",M,3
2017,Број,Информационе и комуникационе технологије,M,9
2017,Број,Здравство и социјална заштита,M,6
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,4
2017,Број,"Друштвене науке, новинарство и информисање",M,29
2017,Број,"Пословање, администрација и право",M,4
2017,Број,eduaction,M,0
2017,Број,Хуманистичке науке и умјетност,M,9
2017,Број,Услуге,M,0
2017,Број,Укупно,Ж,60
2017,Број,"Природне науке,  математика и  статистика",Ж,4
2017,Број,"Инжeњерство, производња и грађевинарство",Ж,1
2017,Број,Информационе и комуникационе технологије,Ж,3
2017,Број,Здравство и социјална заштита,Ж,19
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,5
2017,Број,"Друштвене науке, новинарство и информисање",Ж,21
2017,Број,"Пословање, администрација и право",Ж,6
2017,Број,eduaction,Ж,0
2017,Број,Хуманистичке науке и умјетност,Ж,1
2017,Број,Услуге,Ж,0
2018,Број,Укупно,Оба пола,119
2018,Број,"Природне науке,  математика и  статистика",Оба пола,8
2018,Број,"Инжeњерство, производња и грађевинарство",Оба пола,3
2018,Број,Информационе и комуникационе технологије,Оба пола,11
2018,Број,Здравство и социјална заштита,Оба пола,37
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,9
2018,Број,"Друштвене науке, новинарство и информисање",Оба пола,16
2018,Број,"Пословање, администрација и право",Оба пола,10
2018,Број,eduaction,Оба пола,3
2018,Број,Хуманистичке науке и умјетност,Оба пола,22
2018,Број,Услуге,Оба пола,0
2018,Број,Укупно,M,56
2018,Број,"Природне науке,  математика и  статистика",M,3
