Year,UNIT_MEASURE,Научна област,Врста образовања,Пол,Value
2017,Број,Укупно,Уписани на магистарске студије,Оба пола,2140
2017,Број,"Природне науке, математика и статистика",Уписани на магистарске студије,Ж,917
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на магистарске студије,M,1223
2017,Број,Информационе и комуникационе технологије,Уписани на мастер студије,Оба пола,31
2017,Број,Здравство и социјална заштита,Уписани на специјалистичке студије,Ж,21
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на специјалистичке студије,M,10
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на специјалистичке студије,Оба пола,73
2017,Број,"Пословање, администрација и право",Уписани на специјалистичке студије,Ж,34
2017,Број,Образовање,Уписани на специјалистичке студије,M,39
2017,Број,Услуге,Докторанти,Оба пола,130
2017,Број,Укупно,Докторанти,Ж,70
2017,Број,"Природне науке, математика и статистика",Докторанти,M,60
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на магистарске студије,Оба пола,67
2017,Број,Информационе и комуникационе технологије,Уписани на магистарске студије,Ж,26
2017,Број,Здравство и социјална заштита,Уписани на магистарске студије,M,41
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на мастер студије,Оба пола,1
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на специјалистичке студије,Ж,0
2017,Број,"Пословање, администрација и право",Уписани на специјалистичке студије,M,1
2017,Број,Образовање,Уписани на специјалистичке студије,Оба пола,0
2017,Број,Услуге,Уписани на специјалистичке студије,Ж,0
2017,Број,Укупно,Уписани на специјалистичке студије,M,0
2017,Број,"Природне науке, математика и статистика",Докторанти,Оба пола,10
2017,Број,"Инжeњерство, производња и грађевинарство",Докторанти,Ж,6
2017,Број,Информационе и комуникационе технологије,Докторанти,M,4
2017,Број,Здравство и социјална заштита,Уписани на магистарске студије,Оба пола,347
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на магистарске студије,Ж,208
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на магистарске студије,M,139
2017,Број,"Пословање, администрација и право",Уписани на мастер студије,Оба пола,0
2017,Број,Образовање,Уписани на специјалистичке студије,Ж,0
2017,Број,Услуге,Уписани на специјалистичке студије,M,0
2017,Број,Укупно,Уписани на специјалистичке студије,Оба пола,0
2017,Број,"Природне науке, математика и статистика",Уписани на специјалистичке студије,Ж,0
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на специјалистичке студије,M,0
2017,Број,Информационе и комуникационе технологије,Докторанти,Оба пола,4
2017,Број,Здравство и социјална заштита,Докторанти,Ж,3
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Докторанти,M,1
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на магистарске студије,Оба пола,99
2017,Број,"Пословање, администрација и право",Уписани на магистарске студије,Ж,80
2017,Број,Образовање,Уписани на магистарске студије,M,19
2017,Број,Услуге,Уписани на мастер студије,Оба пола,22
2017,Број,Укупно,Уписани на специјалистичке студије,Ж,14
2017,Број,"Природне науке, математика и статистика",Уписани на специјалистичке студије,M,8
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на специјалистичке студије,Оба пола,0
2017,Број,Информационе и комуникационе технологије,Уписани на специјалистичке студије,Ж,0
2017,Број,Здравство и социјална заштита,Уписани на специјалистичке студије,M,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Докторанти,Оба пола,12
2017,Број,"Друштвене науке, новинарство и информисање",Докторанти,Ж,9
2017,Број,"Пословање, администрација и право",Докторанти,M,3
2017,Број,Образовање,Уписани на магистарске студије,Оба пола,35
2017,Број,Услуге,Уписани на магистарске студије,Ж,8
2017,Број,Укупно,Уписани на магистарске студије,M,27
2017,Број,"Природне науке, математика и статистика",Уписани на мастер студије,Оба пола,0
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на специјалистичке студије,Ж,0
2017,Број,Информационе и комуникационе технологије,Уписани на специјалистичке студије,M,0
2017,Број,Здравство и социјална заштита,Уписани на специјалистичке студије,Оба пола,71
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на специјалистичке студије,Ж,33
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на специјалистичке студије,M,38
2017,Број,"Пословање, администрација и право",Докторанти,Оба пола,25
2017,Број,Образовање,Докторанти,Ж,6
2017,Број,Услуге,Докторанти,M,19
2017,Број,Укупно,Уписани на магистарске студије,Оба пола,206
2017,Број,"Природне науке, математика и статистика",Уписани на магистарске студије,Ж,114
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на магистарске студије,M,92
2017,Број,Информационе и комуникационе технологије,Уписани на мастер студије,Оба пола,0
2017,Број,Здравство и социјална заштита,Уписани на специјалистичке студије,Ж,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на специјалистичке студије,M,0
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на специјалистичке студије,Оба пола,0
2017,Број,"Пословање, администрација и право",Уписани на специјалистичке студије,Ж,0
2017,Број,Образовање,Уписани на специјалистичке студије,M,0
2017,Број,Услуге,Докторанти,Оба пола,9
2017,Број,Укупно,Докторанти,Ж,4
2017,Број,"Природне науке, математика и статистика",Докторанти,M,5
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на магистарске студије,Оба пола,473
2017,Број,Информационе и комуникационе технологије,Уписани на магистарске студије,Ж,176
2017,Број,Здравство и социјална заштита,Уписани на магистарске студије,M,297
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на мастер студије,Оба пола,0
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на специјалистичке студије,Ж,0
2017,Број,"Пословање, администрација и право",Уписани на специјалистичке студије,M,0
2017,Број,Образовање,Уписани на специјалистичке студије,Оба пола,1
2017,Број,Услуге,Уписани на специјалистичке студије,Ж,1
2017,Број,Укупно,Уписани на специјалистичке студије,M,0
2017,Број,"Природне науке, математика и статистика",Докторанти,Оба пола,50
2017,Број,"Инжeњерство, производња и грађевинарство",Докторанти,Ж,29
2017,Број,Информационе и комуникационе технологије,Докторанти,M,21
2017,Број,Здравство и социјална заштита,Уписани на магистарске студије,Оба пола,356
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на магистарске студије,Ж,124
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на магистарске студије,M,232
2017,Број,"Пословање, администрација и право",Уписани на мастер студије,Оба пола,2
2017,Број,Образовање,Уписани на специјалистичке студије,Ж,2
2017,Број,Услуге,Уписани на специјалистичке студије,M,0
2017,Број,Укупно,Уписани на специјалистичке студије,Оба пола,1
2017,Број,"Природне науке, математика и статистика",Уписани на специјалистичке студије,Ж,0
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на специјалистичке студије,M,1
2017,Број,Информационе и комуникационе технологије,Докторанти,Оба пола,10
2017,Број,Здравство и социјална заштита,Докторанти,Ж,4
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Докторанти,M,6
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на магистарске студије,Оба пола,236
2017,Број,"Пословање, администрација и право",Уписани на магистарске студије,Ж,39
2017,Број,Образовање,Уписани на магистарске студије,M,197
2017,Број,Услуге,Уписани на мастер студије,Оба пола,1
2017,Број,Укупно,Уписани на специјалистичке студије,Ж,0
2017,Број,"Природне науке, математика и статистика",Уписани на специјалистичке студије,M,1
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на специјалистичке студије,Оба пола,0
2017,Број,Информационе и комуникационе технологије,Уписани на специјалистичке студије,Ж,0
2017,Број,Здравство и социјална заштита,Уписани на специјалистичке студије,M,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Докторанти,Оба пола,0
2017,Број,"Друштвене науке, новинарство и информисање",Докторанти,Ж,0
2017,Број,"Пословање, администрација и право",Докторанти,M,0
2017,Број,Образовање,Уписани на магистарске студије,Оба пола,319
2017,Број,Услуге,Уписани на магистарске студије,Ж,142
2017,Број,Укупно,Уписани на магистарске студије,M,177
