Year,UNIT_MEASURE,TYPE_OF_EDUCATION,Пол,Value
2016,Број,enrolled_in_master's_studies,Оба пола,59
2016,Број,enrolled_in_master's_studies,Ж,22
2016,Број,enrolled_in_master_studies,Оба пола,2 456
2016,Број,enrolled_in_master_studies,Ж,1 408
2016,Број,enrolled_in_specialist_studies,Оба пола,71
2016,Број,enrolled_in_specialist_studies,Ж,43
2017,Број,enrolled_in_master's_studies,Оба пола,31
2017,Број,enrolled_in_master's_studies,Ж,10
2017,Број,enrolled_in_master_studies,Оба пола,2 140
2017,Број,enrolled_in_master_studies,Ж,1 223
2017,Број,enrolled_in_specialist_studies,Оба пола,73
2017,Број,enrolled_in_specialist_studies,Ж,39
2018,Број,enrolled_in_master's_studies,Оба пола,14
2018,Број,enrolled_in_master's_studies,Ж,8
2018,Број,enrolled_in_master_studies,Оба пола,2 144
2018,Број,enrolled_in_master_studies,Ж,1 207
2018,Број,enrolled_in_specialist_studies,Оба пола,160
2018,Број,enrolled_in_specialist_studies,Ж,94
2019,Број,enrolled_in_master's_studies,Оба пола,16
2019,Број,enrolled_in_master's_studies,Ж,4
2019,Број,enrolled_in_master_studies,Оба пола,2 109
2019,Број,enrolled_in_master_studies,Ж,1 179
2019,Број,enrolled_in_specialist_studies,Оба пола,170
2019,Број,enrolled_in_specialist_studies,Ж,98
2020,Број,enrolled_in_master's_studies,Оба пола,4
2020,Број,enrolled_in_master's_studies,Ж,1
2020,Број,enrolled_in_master_studies,Оба пола,2 430
2020,Број,enrolled_in_master_studies,Ж,1 394
2020,Број,enrolled_in_specialist_studies,Оба пола,170
2020,Број,enrolled_in_specialist_studies,Ж,131
