Year,UNIT_MEASURE,Административно подручје,Пол,Education,Value
2013,Број,REPUBLIKA SRPSKA,Оба пола,Укупно,1005535
2013,Број,REPUBLIKA SRPSKA,M,Укупно,487292
2013,Број,REPUBLIKA SRPSKA,Ж,Укупно,518243
2013,Број,BANJA LUKA,Оба пола,Укупно,153659
2013,Број,BANJA LUKA,M,Укупно,73026
2013,Број,BANJA LUKA,Ж,Укупно,80633
2013,Број,BERKOVICI,Оба пола,Укупно,1684
2013,Број,BERKOVICI,M,Укупно,845
2013,Број,BERKOVICI,Ж,Укупно,839
2013,Број,BIJELJINA,Оба пола,Укупно,88664
2013,Број,BIJELJINA,M,Укупно,42935
2013,Број,BIJELJINA,Ж,Укупно,45729
2013,Број,BILECA,Оба пола,Укупно,9036
2013,Број,BILECA,M,Укупно,4536
2013,Број,BILECA,Ж,Укупно,4500
2013,Број,BRATUNAC,Оба пола,Укупно,15912
2013,Број,BRATUNAC,M,Укупно,7785
2013,Број,BRATUNAC,Ж,Укупно,8127
2013,Број,BROD,Оба пола,Укупно,13506
2013,Број,BROD,M,Укупно,6510
2013,Број,BROD,Ж,Укупно,6996
2013,Број,VISEGRAD,Оба пола,Укупно,8950
2013,Број,VISEGRAD,M,Укупно,4259
2013,Број,VISEGRAD,Ж,Укупно,4691
2013,Број,VLASENICA,Оба пола,Укупно,9131
2013,Број,VLASENICA,M,Укупно,4393
2013,Број,VLASENICA,Ж,Укупно,4738
2013,Број,VUKOSAVLJE,Оба пола,Укупно,3701
2013,Број,VUKOSAVLJE,M,Укупно,1852
2013,Број,VUKOSAVLJE,Ж,Укупно,1849
2013,Број,GACKO,Оба пола,Укупно,7337
2013,Број,GACKO,M,Укупно,3691
2013,Број,GACKO,Ж,Укупно,3646
2013,Број,GRADISKA,Оба пола,Укупно,42640
2013,Број,GRADISKA,M,Укупно,20635
2013,Број,GRADISKA,Ж,Укупно,22005
2013,Број,DERVENTA,Оба пола,Укупно,22345
2013,Број,DERVENTA,M,Укупно,10830
2013,Број,DERVENTA,Ж,Укупно,11515
2013,Број,DOBOJ,Оба пола,Укупно,58805
2013,Број,DOBOJ,M,Укупно,28207
2013,Број,DOBOJ,Ж,Укупно,30598
2013,Број,DONJI ZABAR,Оба пола,Укупно,3139
2013,Број,DONJI ZABAR,M,Укупно,1578
2013,Број,DONJI ZABAR,Ж,Укупно,1561
2013,Број,ZVORNIK,Оба пола,Укупно,45697
2013,Број,ZVORNIK,M,Укупно,22384
2013,Број,ZVORNIK,Ж,Укупно,23313
2013,Број,ISTOCNA ILIDZA,Оба пола,Укупно,12477
2013,Број,ISTOCNA ILIDZA,M,Укупно,5939
2013,Број,ISTOCNA ILIDZA,Ж,Укупно,6538
2013,Број,ISTOCNI DRVAR,Оба пола,Укупно,65
