Year,UNIT_MEASURE,Value
2003,Број дјеце по жени од 15-49 старости,1.33
2004,Број дјеце по жени од 15-49 старости,1.35
2005,Број дјеце по жени од 15-49 старости,1.31
2006,Број дјеце по жени од 15-49 старости,1.34
2007,Број дјеце по жени од 15-49 старости,1.3
2008,Број дјеце по жени од 15-49 старости,1.32
2009,Број дјеце по жени од 15-49 старости,1.39
2010,Број дјеце по жени од 15-49 старости,1.33
2011,Број дјеце по жени од 15-49 старости,1.27
2012,Број дјеце по жени од 15-49 старости,1.35
2013,Број дјеце по жени од 15-49 старости,1.3
2014,Број дјеце по жени од 15-49 старости,1.28
2015,Број дјеце по жени од 15-49 старости,1.3
2016,Број дјеце по жени од 15-49 старости,1.32
2017,Број дјеце по жени од 15-49 старости,1.31
2018,Број дјеце по жени од 15-49 старости,1.36
2019,Број дјеце по жени од 15-49 старости,1.34
2020,Број дјеце по жени од 15-49 старости,1.38
2021,Број дјеце по жени од 15-49 старости,1.41
