Year,UNIT_MEASURE,Value
2003,Number per 1000 population,10.9
2004,Number per 1000 population,11.0
2005,Number per 1000 population,11.6
2006,Number per 1000 population,11.2
2007,Number per 1000 population,12.0
2008,Number per 1000 population,11.4
2009,Number per 1000 population,11.7
2010,Number per 1000 population,11.5
2011,Number per 1000 population,11.6
2012,Number per 1000 population,11.8
2013,Number per 1000 population,11.9
2014,Number per 1000 population,12.3
2015,Number per 1000 population,13.0
2016,Number per 1000 population,12.1
2017,Number per 1000 population,12.7
2018,Number per 1000 population,12.9
2019,Number per 1000 population,13.2
2020,Number per 1000 population,14.6
2021,Number per 1000 population,16.8
2022,Number per 1000 population,14.5
2023,Number per 1000 population,12.1
2024,Number per 1000 population,12.7
