Year,UNIT_MEASURE,type_of_school,Value
2016,Number,gymnasium,9443
2016,Number,technical_high_schools,24999
2016,Number,vocational_high_schools,6162
2016,Number,art_schools,307
2016,Number,religious_schools,88
2016,Number,high_schools_for_students_with_disabilities,137
2017,Number,gymnasium,8875
2017,Number,technical_high_schools,24644
2017,Number,vocational_high_schools,5832
2017,Number,art_schools,275
2017,Number,religious_schools,80
2017,Number,high_schools_for_students_with_disabilities,125
2018,Number,gymnasium,8360
2018,Number,technical_high_schools,23574
2018,Number,vocational_high_schools,6107
2018,Number,art_schools,287
2018,Number,religious_schools,65
2018,Number,high_schools_for_students_with_disabilities,106
2019,Number,gymnasium,7781
2019,Number,technical_high_schools,22965
2019,Number,vocational_high_schools,6023
2019,Number,art_schools,293
2019,Number,religious_schools,58
2019,Number,high_schools_for_students_with_disabilities,86
2020,Number,gymnasium,7278
2020,Number,technical_high_schools,22749
2020,Number,vocational_high_schools,5935
2020,Number,art_schools,311
2020,Number,religious_schools,54
2020,Number,high_schools_for_students_with_disabilities,78
