Year,UNIT_MEASURE,TYPE_OF_USERS,Value
2016,NUMBER,total,36
2017,NUMBER,total,38
2018,NUMBER,total,52
2019,NUMBER,total,56
2020,NUMBER,total,61
2016,NUMBER,institutions_for_children_and_youth,4
2017,NUMBER,institutions_for_children_and_youth,4
2018,NUMBER,institutions_for_children_and_youth,4
2019,NUMBER,institutions_for_children_and_youth,4
2020,NUMBER,institutions_for_children_and_youth,4
2016,NUMBER,adult_facilities,32
2017,NUMBER,adult_facilities,34
2018,NUMBER,adult_facilities,48
2019,NUMBER,adult_facilities,52
2020,NUMBER,adult_facilities,57
2021,NUMBER,total,69
2021,NUMBER,institutions_for_children_and_youth,4
2021,NUMBER,adult_facilities,65
2022,NUMBER,total,73
2022,NUMBER,institutions_for_children_and_youth,4
2022,NUMBER,adult_facilities,69
2023,NUMBER,total,74
2023,NUMBER,institutions_for_children_and_youth,4
2023,NUMBER,adult_facilities,70
2024,NUMBER,total,65
2024,NUMBER,institutions_for_children_and_youth,4
2024,NUMBER,adult_facilities,61
