Year,UNIT_MEASURE,type_of_education,Sex,Value
2017,Number,Total,Both sexes,54
2017,Number,"Natural sciences, mathematics and statistics",Both sexes,4
2017,Number,"Engineering, manufacturing and construction",Both sexes,6
2017,Number,information_and_communication_technologie,Both sexes,4
2017,Number,Health and social protection,Both sexes,1
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,2
2017,Number,"Social sciences, journalism and information",Both sexes,14
2017,Number,"Business, administration and law",Both sexes,16
2017,Number,Education,Both sexes,0
2017,Number,Arts and humanities,Both sexes,7
2017,Number,Services,Both sexes,0
2017,Number,Total,M,37
2017,Number,"Natural sciences, mathematics and statistics",M,2
2017,Number,"Engineering, manufacturing and construction",M,3
2017,Number,information_and_communication_technologie,M,3
2017,Number,Health and social protection,M,1
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,2
2017,Number,"Social sciences, journalism and information",M,10
2017,Number,"Business, administration and law",M,13
2017,Number,Education,M,0
2017,Number,Arts and humanities,M,3
2017,Number,Services,M,0
2017,Number,Total,F,17
2017,Number,"Natural sciences, mathematics and statistics",F,2
2017,Number,"Engineering, manufacturing and construction",F,3
2017,Number,information_and_communication_technologie,F,1
2017,Number,Health and social protection,F,0
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,0
2017,Number,"Social sciences, journalism and information",F,4
2017,Number,"Business, administration and law",F,3
2017,Number,Education,F,0
2017,Number,Arts and humanities,F,4
2017,Number,Services,F,0
2018,Number,Total,Both sexes,43
2018,Number,"Natural sciences, mathematics and statistics",Both sexes,1
2018,Number,"Engineering, manufacturing and construction",Both sexes,3
2018,Number,information_and_communication_technologie,Both sexes,3
2018,Number,Health and social protection,Both sexes,0
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,4
2018,Number,"Social sciences, journalism and information",Both sexes,14
2018,Number,"Business, administration and law",Both sexes,12
2018,Number,Education,Both sexes,1
2018,Number,Arts and humanities,Both sexes,5
2018,Number,Services,Both sexes,0
2018,Number,Total,M,28
2018,Number,"Natural sciences, mathematics and statistics",M,1
2018,Number,"Engineering, manufacturing and construction",M,1
2018,Number,information_and_communication_technologie,M,3
2018,Number,Health and social protection,M,0
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2018,Number,"Social sciences, journalism and information",M,9
