Year,UNIT_MEASURE,SEX,BIRTHS,Value
2003,NUMBER,_T,LIVE_BIRTH,10537
2004,NUMBER,_T,LIVE_BIRTH,10628
2005,NUMBER,_T,LIVE_BIRTH,10322
2006,NUMBER,_T,LIVE_BIRTH,10524
2007,NUMBER,_T,LIVE_BIRTH,10110
2008,NUMBER,_T,LIVE_BIRTH,10198
2009,NUMBER,_T,LIVE_BIRTH,10603
2010,NUMBER,_T,LIVE_BIRTH,10147
2011,NUMBER,_T,LIVE_BIRTH,9561
2012,NUMBER,_T,LIVE_BIRTH,9978
2013,NUMBER,_T,LIVE_BIRTH,9510
2014,NUMBER,_T,LIVE_BIRTH,9335
2015,NUMBER,_T,LIVE_BIRTH,9357
2016,NUMBER,_T,LIVE_BIRTH,9452
2017,NUMBER,_T,LIVE_BIRTH,9339
2018,NUMBER,_T,LIVE_BIRTH,9568
2019,NUMBER,_T,LIVE_BIRTH,9274
2020,NUMBER,_T,LIVE_BIRTH,9161
2021,NUMBER,_T,LIVE_BIRTH,9274
2022,NUMBER,_T,LIVE_BIRTH,9118
2023,NUMBER,_T,LIVE_BIRTH,9309
2003,NUMBER,M,LIVE_BIRTH,5450
2004,NUMBER,M,LIVE_BIRTH,5515
2005,NUMBER,M,LIVE_BIRTH,5302
2006,NUMBER,M,LIVE_BIRTH,5351
2007,NUMBER,M,LIVE_BIRTH,5203
2008,NUMBER,M,LIVE_BIRTH,5262
2009,NUMBER,M,LIVE_BIRTH,5577
2010,NUMBER,M,LIVE_BIRTH,5184
2011,NUMBER,M,LIVE_BIRTH,5008
2012,NUMBER,M,LIVE_BIRTH,5089
2013,NUMBER,M,LIVE_BIRTH,4907
2014,NUMBER,M,LIVE_BIRTH,4846
2015,NUMBER,M,LIVE_BIRTH,4842
2016,NUMBER,M,LIVE_BIRTH,4931
2017,NUMBER,M,LIVE_BIRTH,4886
2018,NUMBER,M,LIVE_BIRTH,5001
2019,NUMBER,M,LIVE_BIRTH,4907
2020,NUMBER,M,LIVE_BIRTH,4792
2021,NUMBER,M,LIVE_BIRTH,4754
2022,NUMBER,M,LIVE_BIRTH,4648
2023,NUMBER,M,LIVE_BIRTH,4849
2003,NUMBER,F,LIVE_BIRTH,5087
2004,NUMBER,F,LIVE_BIRTH,5113
2005,NUMBER,F,LIVE_BIRTH,5020
2006,NUMBER,F,LIVE_BIRTH,5173
2007,NUMBER,F,LIVE_BIRTH,4907
2008,NUMBER,F,LIVE_BIRTH,4936
2009,NUMBER,F,LIVE_BIRTH,5026
2010,NUMBER,F,LIVE_BIRTH,4963
2011,NUMBER,F,LIVE_BIRTH,4553
2012,NUMBER,F,LIVE_BIRTH,4889
2013,NUMBER,F,LIVE_BIRTH,4603
2014,NUMBER,F,LIVE_BIRTH,4489
2015,NUMBER,F,LIVE_BIRTH,4515
2016,NUMBER,F,LIVE_BIRTH,4521
2017,NUMBER,F,LIVE_BIRTH,4453
2018,NUMBER,F,LIVE_BIRTH,4567
2019,NUMBER,F,LIVE_BIRTH,4367
2020,NUMBER,F,LIVE_BIRTH,4369
2021,NUMBER,F,LIVE_BIRTH,4520
2022,NUMBER,F,LIVE_BIRTH,4470
2023,NUMBER,F,LIVE_BIRTH,4460
2003,NUMBER,_T,DEATHS,12988
2004,NUMBER,_T,DEATHS,13082
2005,NUMBER,_T,DEATHS,13802
2006,NUMBER,_T,DEATHS,13232
2007,NUMBER,_T,DEATHS,14146
2008,NUMBER,_T,DEATHS,13501
2009,NUMBER,_T,DEATHS,13775
2010,NUMBER,_T,DEATHS,13517
2011,NUMBER,_T,DEATHS,13658
2012,NUMBER,_T,DEATHS,13796
2013,NUMBER,_T,DEATHS,13978
2014,NUMBER,_T,DEATHS,14409
2015,NUMBER,_T,DEATHS,15059
2016,NUMBER,_T,DEATHS,13970
