Year,UNIT_MEASURE,TYPE_OF_EDUCATION,Spol,Value
2016,Broj,enrolled_in_master's_studies,Oba spola,59
2016,Broj,enrolled_in_master's_studies,Ž,22
2016,Broj,enrolled_in_master_studies,Oba spola,2 456
2016,Broj,enrolled_in_master_studies,Ž,1 408
2016,Broj,enrolled_in_specialist_studies,Oba spola,71
2016,Broj,enrolled_in_specialist_studies,Ž,43
2017,Broj,enrolled_in_master's_studies,Oba spola,31
2017,Broj,enrolled_in_master's_studies,Ž,10
2017,Broj,enrolled_in_master_studies,Oba spola,2 140
2017,Broj,enrolled_in_master_studies,Ž,1 223
2017,Broj,enrolled_in_specialist_studies,Oba spola,73
2017,Broj,enrolled_in_specialist_studies,Ž,39
2018,Broj,enrolled_in_master's_studies,Oba spola,14
2018,Broj,enrolled_in_master's_studies,Ž,8
2018,Broj,enrolled_in_master_studies,Oba spola,2 144
2018,Broj,enrolled_in_master_studies,Ž,1 207
2018,Broj,enrolled_in_specialist_studies,Oba spola,160
2018,Broj,enrolled_in_specialist_studies,Ž,94
2019,Broj,enrolled_in_master's_studies,Oba spola,16
2019,Broj,enrolled_in_master's_studies,Ž,4
2019,Broj,enrolled_in_master_studies,Oba spola,2 109
2019,Broj,enrolled_in_master_studies,Ž,1 179
2019,Broj,enrolled_in_specialist_studies,Oba spola,170
2019,Broj,enrolled_in_specialist_studies,Ž,98
2020,Broj,enrolled_in_master's_studies,Oba spola,4
2020,Broj,enrolled_in_master's_studies,Ž,1
2020,Broj,enrolled_in_master_studies,Oba spola,2 430
2020,Broj,enrolled_in_master_studies,Ž,1 394
2020,Broj,enrolled_in_specialist_studies,Oba spola,170
2020,Broj,enrolled_in_specialist_studies,Ž,131
