Year,UNIT_MEASURE,Value
2019,Stopa smrtnosti na 1.000 stanovnika,12.8
2020,Stopa smrtnosti na 1.000 stanovnika,12.8
2025,Stopa smrtnosti na 1.000 stanovnika,13.2
2030,Stopa smrtnosti na 1.000 stanovnika,13.7
2035,Stopa smrtnosti na 1.000 stanovnika,14.4
2040,Stopa smrtnosti na 1.000 stanovnika,15.2
2045,Stopa smrtnosti na 1.000 stanovnika,15.7
2050,Stopa smrtnosti na 1.000 stanovnika,15.9
2055,Stopa smrtnosti na 1.000 stanovnika,16.0
2060,Stopa smrtnosti na 1.000 stanovnika,16.1
2065,Stopa smrtnosti na 1.000 stanovnika,16.3
2070,Stopa smrtnosti na 1.000 stanovnika,16.6
