Year,UNIT_MEASURE,Oblast obrazovanja,Vrsta obrazovanja,Pol,Value
2017,Broj,Ukupno,Magistarske studije,Ukupno,2140
2017,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ukupno,67
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ukupno,347
2017,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ukupno,99
2017,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ukupno,35
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ukupno,206
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ukupno,473
2017,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ukupno,356
2017,Broj,Obrazovanje,Magistarske studije,Ukupno,236
2017,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ukupno,319
2017,Broj,Usluge,Magistarske studije,Ukupno,2
2017,Broj,Ukupno,Magistarske studije,M,917
2017,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,M,26
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,M,208
2017,Broj,Informacione i komunikacione tehnologije,Magistarske studije,M,80
2017,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,M,8
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,M,114
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,M,176
2017,Broj,"Poslovanje, administracija i pravo",Magistarske studije,M,124
2017,Broj,Obrazovanje,Magistarske studije,M,39
2017,Broj,Umjetnost i humanističke nauke,Magistarske studije,M,142
2017,Broj,Usluge,Magistarske studije,M,0
2017,Broj,Ukupno,Magistarske studije,Ž,1223
2017,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ž,41
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ž,139
2017,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ž,19
2017,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ž,27
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ž,92
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ž,297
2017,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ž,232
2017,Broj,Obrazovanje,Magistarske studije,Ž,197
2017,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ž,177
2017,Broj,Usluge,Magistarske studije,Ž,2
2017,Broj,Ukupno,Master studije,Ukupno,31
2017,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ukupno,1
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ukupno,0
2017,Broj,Informacione i komunikacione tehnologije,Master studije,Ukupno,22
2017,Broj,Zdravstvo i socijalna zaštita,Master studije,Ukupno,0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ukupno,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ukupno,0
2017,Broj,"Poslovanje, administracija i pravo",Master studije,Ukupno,2
2017,Broj,Obrazovanje,Master studije,Ukupno,1
2017,Broj,Umjetnost i humanističke nauke,Master studije,Ukupno,5
2017,Broj,Usluge,Master studije,Ukupno,0
2017,Broj,Ukupno,Master studije,M,21
2017,Broj,"Prirodne nauke, matematika i statistika",Master studije,M,0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,M,0
2017,Broj,Informacione i komunikacione tehnologije,Master studije,M,14
2017,Broj,Zdravstvo i socijalna zaštita,Master studije,M,0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,M,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,M,0
2017,Broj,"Poslovanje, administracija i pravo",Master studije,M,2
2017,Broj,Obrazovanje,Master studije,M,0
2017,Broj,Umjetnost i humanističke nauke,Master studije,M,5
2017,Broj,Usluge,Master studije,M,0
2017,Broj,Ukupno,Master studije,Ž,10
2017,Broj,"Prirodne nauke, matematika i statistika",Master studije,Ž,1
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Master studije,Ž,0
2017,Broj,Informacione i komunikacione tehnologije,Master studije,Ž,8
2017,Broj,Zdravstvo i socijalna zaštita,Master studije,Ž,0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Master studije,Ž,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Master studije,Ž,0
2017,Broj,"Poslovanje, administracija i pravo",Master studije,Ž,0
2017,Broj,Obrazovanje,Master studije,Ž,1
2017,Broj,Umjetnost i humanističke nauke,Master studije,Ž,0
2017,Broj,Usluge,Master studije,Ž,0
2017,Broj,Ukupno,Specijalističke studije,Ukupno,73
2017,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ukupno,0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ukupno,0
2017,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ukupno,0
2017,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ukupno,71
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ukupno,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ukupno,1
2017,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ukupno,1
2017,Broj,Obrazovanje,Specijalističke studije,Ukupno,0
2017,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ukupno,0
2017,Broj,Usluge,Specijalističke studije,Ukupno,0
2017,Broj,Ukupno,Specijalističke studije,M,34
2017,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,M,0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,M,0
2017,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,M,0
2017,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,M,33
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,M,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,M,1
2017,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,M,0
2017,Broj,Obrazovanje,Specijalističke studije,M,0
2017,Broj,Umjetnost i humanističke nauke,Specijalističke studije,M,0
2017,Broj,Usluge,Specijalističke studije,M,0
2017,Broj,Ukupno,Specijalističke studije,Ž,39
2017,Broj,"Prirodne nauke, matematika i statistika",Specijalističke studije,Ž,0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Specijalističke studije,Ž,0
2017,Broj,Informacione i komunikacione tehnologije,Specijalističke studije,Ž,0
2017,Broj,Zdravstvo i socijalna zaštita,Specijalističke studije,Ž,38
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Specijalističke studije,Ž,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Specijalističke studije,Ž,0
2017,Broj,"Poslovanje, administracija i pravo",Specijalističke studije,Ž,1
2017,Broj,Obrazovanje,Specijalističke studije,Ž,0
2017,Broj,Umjetnost i humanističke nauke,Specijalističke studije,Ž,0
2017,Broj,Usluge,Specijalističke studije,Ž,0
2018,Broj,Ukupno,Magistarske studije,Ukupno,14
2018,Broj,"Prirodne nauke, matematika i statistika",Magistarske studije,Ukupno,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Magistarske studije,Ukupno,0
2018,Broj,Informacione i komunikacione tehnologije,Magistarske studije,Ukupno,0
2018,Broj,Zdravstvo i socijalna zaštita,Magistarske studije,Ukupno,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Magistarske studije,Ukupno,1
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Magistarske studije,Ukupno,1
2018,Broj,"Poslovanje, administracija i pravo",Magistarske studije,Ukupno,0
2018,Broj,Obrazovanje,Magistarske studije,Ukupno,9
2018,Broj,Umjetnost i humanističke nauke,Magistarske studije,Ukupno,3
