Year,UNIT_MEASURE,ADMIN_AREA,Spol,Religion,Value
2013,Broj,prnjavor,Oba spola,_T,34357
2013,Broj,prnjavor,M,_T,16675
2013,Broj,prnjavor,Ž,_T,17682
2013,Broj,ribnik,Oba spola,_T,5851
2013,Broj,ribnik,M,_T,2900
2013,Broj,ribnik,Ž,_T,2951
2013,Broj,rogatica,Oba spola,_T,10302
2013,Broj,rogatica,M,_T,5053
2013,Broj,rogatica,Ž,_T,5249
2013,Broj,rudo,Oba spola,_T,7578
2013,Broj,rudo,M,_T,3840
2013,Broj,rudo,Ž,_T,3738
2013,Broj,sokolac,Oba spola,_T,11620
2013,Broj,sokolac,M,_T,5723
2013,Broj,sokolac,Ž,_T,5897
2013,Broj,srbac,Oba spola,_T,16933
2013,Broj,srbac,M,_T,8295
2013,Broj,srbac,Ž,_T,8638
2013,Broj,srebrenica,Oba spola,_T,11698
2013,Broj,srebrenica,M,_T,5714
2013,Broj,srebrenica,Ž,_T,5984
2013,Broj,teslic,Oba spola,_T,37236
2013,Broj,teslic,M,_T,17894
2013,Broj,teslic,Ž,_T,19342
2013,Broj,grad_trebinje,Oba spola,_T,28239
2013,Broj,grad_trebinje,M,_T,13760
2013,Broj,grad_trebinje,Ž,_T,14479
2013,Broj,trnovo,Oba spola,_T,1983
2013,Broj,trnovo,M,_T,953
2013,Broj,trnovo,Ž,_T,1030
2013,Broj,ugljevik,Oba spola,_T,15118
2013,Broj,ugljevik,M,_T,7626
2013,Broj,ugljevik,Ž,_T,7492
2013,Broj,foca,Oba spola,_T,17580
2013,Broj,foca,M,_T,8880
2013,Broj,foca,Ž,_T,8700
2013,Broj,han_pijesak,Oba spola,_T,3445
2013,Broj,han_pijesak,M,_T,1632
2013,Broj,han_pijesak,Ž,_T,1813
2013,Broj,cajnice,Oba spola,_T,4679
2013,Broj,cajnice,M,_T,2347
2013,Broj,cajnice,Ž,_T,2332
2013,Broj,celinac,Oba spola,_T,15117
2013,Broj,celinac,M,_T,7477
2013,Broj,celinac,Ž,_T,7640
2013,Broj,samac,Oba spola,_T,16308
2013,Broj,samac,M,_T,7908
2013,Broj,samac,Ž,_T,8400
2013,Broj,sekovici,Oba spola,_T,6323
2013,Broj,sekovici,M,_T,3103
2013,Broj,sekovici,Ž,_T,3220
2013,Broj,sipovo,Oba spola,_T,9969
2013,Broj,sipovo,M,_T,5046
2013,Broj,sipovo,Ž,_T,4923
2013,Broj,republika_srpska,Oba spola,muslim,149435
2013,Broj,republika_srpska,M,muslim,72605
2013,Broj,republika_srpska,Ž,muslim,76830
2013,Broj,grad_banja_luka,Oba spola,muslim,6693
2013,Broj,grad_banja_luka,M,muslim,3053
2013,Broj,grad_banja_luka,Ž,muslim,3640
2013,Broj,berkovici,Oba spola,muslim,155
2013,Broj,berkovici,M,muslim,87
2013,Broj,berkovici,Ž,muslim,68
2013,Broj,grad_bijeljina,Oba spola,muslim,12055
2013,Broj,grad_bijeljina,M,muslim,5902
2013,Broj,grad_bijeljina,Ž,muslim,6153
2013,Broj,bileca,Oba spola,muslim,23
2013,Broj,bileca,M,muslim,14
2013,Broj,bileca,Ž,muslim,9
2013,Broj,bratunac,Oba spola,muslim,6591
2013,Broj,bratunac,M,muslim,3220
2013,Broj,bratunac,Ž,muslim,3371
2013,Broj,brod,Oba spola,muslim,1311
2013,Broj,brod,M,muslim,646
2013,Broj,brod,Ž,muslim,665
2013,Broj,visegrad,Oba spola,muslim,876
2013,Broj,visegrad,M,muslim,443
2013,Broj,visegrad,Ž,muslim,433
2013,Broj,vlasenica,Oba spola,muslim,3354
2013,Broj,vlasenica,M,muslim,1645
2013,Broj,vlasenica,Ž,muslim,1709
2013,Broj,vukosavlje,Oba spola,muslim,2154
2013,Broj,vukosavlje,M,muslim,1105
2013,Broj,vukosavlje,Ž,muslim,1049
2013,Broj,gacko,Oba spola,muslim,330
2013,Broj,gacko,M,muslim,178
2013,Broj,gacko,Ž,muslim,152
2013,Broj,grad_gradiska,Oba spola,muslim,6619
2013,Broj,grad_gradiska,M,muslim,3214
2013,Broj,grad_gradiska,Ž,muslim,3405
2013,Broj,grad_derventa,Oba spola,muslim,1709
2013,Broj,grad_derventa,M,muslim,820
2013,Broj,grad_derventa,Ž,muslim,889
2013,Broj,grad_doboj,Oba spola,muslim,14342
2013,Broj,grad_doboj,M,muslim,6861
2013,Broj,grad_doboj,Ž,muslim,7481
2013,Broj,donji_zabar,Oba spola,muslim,4
2013,Broj,donji_zabar,M,muslim,0
2013,Broj,donji_zabar,Ž,muslim,4
2013,Broj,grad_zvornik,Oba spola,muslim,16791
2013,Broj,grad_zvornik,M,muslim,8218
2013,Broj,grad_zvornik,Ž,muslim,8573
2013,Broj,istocna_ilidza,Oba spola,muslim,630
2013,Broj,istocna_ilidza,M,muslim,291
2013,Broj,istocna_ilidza,Ž,muslim,339
2013,Broj,istocni_drvar,Oba spola,muslim,0
2013,Broj,istocni_drvar,M,muslim,0
2013,Broj,istocni_drvar,Ž,muslim,0
2013,Broj,istocni_mostar,Oba spola,muslim,77
2013,Broj,istocni_mostar,M,muslim,44
2013,Broj,istocni_mostar,Ž,muslim,33
2013,Broj,istocni_stari_grad,Oba spola,muslim,38
2013,Broj,istocni_stari_grad,M,muslim,23
2013,Broj,istocni_stari_grad,Ž,muslim,15
2013,Broj,istocno_novo_sarajevo,Oba spola,muslim,121
2013,Broj,istocno_novo_sarajevo,M,muslim,52
2013,Broj,istocno_novo_sarajevo,Ž,muslim,69
2013,Broj,jezero,Oba spola,muslim,250
2013,Broj,jezero,M,muslim,117
2013,Broj,jezero,Ž,muslim,133
2013,Broj,kalinovik,Oba spola,muslim,42
2013,Broj,kalinovik,M,muslim,19
2013,Broj,kalinovik,Ž,muslim,23
2013,Broj,knezevo,Oba spola,muslim,403
2013,Broj,knezevo,M,muslim,182
2013,Broj,knezevo,Ž,muslim,221
2013,Broj,kozarska_dubica,Oba spola,muslim,1902
2013,Broj,kozarska_dubica,M,muslim,915
2013,Broj,kozarska_dubica,Ž,muslim,987
2013,Broj,kostajnica,Oba spola,muslim,1271
2013,Broj,kostajnica,M,muslim,623
2013,Broj,kostajnica,Ž,muslim,648
2013,Broj,kotor_varos,Oba spola,muslim,4498
2013,Broj,kotor_varos,M,muslim,2159
2013,Broj,kotor_varos,Ž,muslim,2339
2013,Broj,krupa_na_uni,Oba spola,muslim,3
2013,Broj,krupa_na_uni,M,muslim,1
2013,Broj,krupa_na_uni,Ž,muslim,2
2013,Broj,kupres,Oba spola,muslim,0
2013,Broj,kupres,M,muslim,0
2013,Broj,kupres,Ž,muslim,0
2013,Broj,laktasi,Oba spola,muslim,110
2013,Broj,laktasi,M,muslim,49
2013,Broj,laktasi,Ž,muslim,61
2013,Broj,lopare,Oba spola,muslim,1315
2013,Broj,lopare,M,muslim,648
2013,Broj,lopare,Ž,muslim,667
2013,Broj,ljubinje,Oba spola,muslim,12
2013,Broj,ljubinje,M,muslim,6
2013,Broj,ljubinje,Ž,muslim,6
2013,Broj,milici,Oba spola,muslim,3538
2013,Broj,milici,M,muslim,1750
2013,Broj,milici,Ž,muslim,1788
2013,Broj,modrica,Oba spola,muslim,3032
2013,Broj,modrica,M,muslim,1445
2013,Broj,modrica,Ž,muslim,1587
2013,Broj,mrkonjic_grad,Oba spola,muslim,351
2013,Broj,mrkonjic_grad,M,muslim,170
2013,Broj,mrkonjic_grad,Ž,muslim,181
2013,Broj,nevesinje,Oba spola,muslim,508
2013,Broj,nevesinje,M,muslim,260
2013,Broj,nevesinje,Ž,muslim,248
2013,Broj,novi_grad,Oba spola,muslim,5261
2013,Broj,novi_grad,M,muslim,2635
2013,Broj,novi_grad,Ž,muslim,2626
2013,Broj,novo_gorazde,Oba spola,muslim,1319
2013,Broj,novo_gorazde,M,muslim,662
2013,Broj,novo_gorazde,Ž,muslim,657
2013,Broj,osmaci,Oba spola,muslim,2647
2013,Broj,osmaci,M,muslim,1303
2013,Broj,osmaci,Ž,muslim,1344
2013,Broj,ostra_luka,Oba spola,muslim,26
2013,Broj,ostra_luka,M,muslim,8
2013,Broj,ostra_luka,Ž,muslim,18
2013,Broj,pale,Oba spola,muslim,160
2013,Broj,pale,M,muslim,83
2013,Broj,pale,Ž,muslim,77
2013,Broj,pelagicevo,Oba spola,muslim,13
2013,Broj,pelagicevo,M,muslim,3
2013,Broj,pelagicevo,Ž,muslim,10
2013,Broj,petrovac,Oba spola,muslim,0
2013,Broj,petrovac,M,muslim,0
2013,Broj,petrovac,Ž,muslim,0
2013,Broj,petrovo,Oba spola,muslim,7
2013,Broj,petrovo,M,muslim,2
2013,Broj,petrovo,Ž,muslim,5
2013,Broj,grad_prijedor,Oba spola,muslim,22271
2013,Broj,grad_prijedor,M,muslim,10662
2013,Broj,grad_prijedor,Ž,muslim,11609
2013,Broj,prnjavor,Oba spola,muslim,2776
2013,Broj,prnjavor,M,muslim,1337
2013,Broj,prnjavor,Ž,muslim,1439
2013,Broj,ribnik,Oba spola,muslim,0
2013,Broj,ribnik,M,muslim,0
2013,Broj,ribnik,Ž,muslim,0
2013,Broj,rogatica,Oba spola,muslim,1006
2013,Broj,rogatica,M,muslim,517
2013,Broj,rogatica,Ž,muslim,489
2013,Broj,rudo,Oba spola,muslim,588
2013,Broj,rudo,M,muslim,306
2013,Broj,rudo,Ž,muslim,282
2013,Broj,sokolac,Oba spola,muslim,620
2013,Broj,sokolac,M,muslim,325
2013,Broj,sokolac,Ž,muslim,295
2013,Broj,srbac,Oba spola,muslim,399
2013,Broj,srbac,M,muslim,184
2013,Broj,srbac,Ž,muslim,215
2013,Broj,srebrenica,Oba spola,muslim,6134
2013,Broj,srebrenica,M,muslim,2916
2013,Broj,srebrenica,Ž,muslim,3218
2013,Broj,teslic,Oba spola,muslim,6932
2013,Broj,teslic,M,muslim,3410
2013,Broj,teslic,Ž,muslim,3522
2013,Broj,grad_trebinje,Oba spola,muslim,848
2013,Broj,grad_trebinje,M,muslim,415
2013,Broj,grad_trebinje,Ž,muslim,433
2013,Broj,trnovo,Oba spola,muslim,802
2013,Broj,trnovo,M,muslim,395
2013,Broj,trnovo,Ž,muslim,407
2013,Broj,ugljevik,Oba spola,muslim,2002
2013,Broj,ugljevik,M,muslim,977
2013,Broj,ugljevik,Ž,muslim,1025
2013,Broj,foca,Oba spola,muslim,1173
2013,Broj,foca,M,muslim,630
2013,Broj,foca,Ž,muslim,543
2013,Broj,han_pijesak,Oba spola,muslim,435
2013,Broj,han_pijesak,M,muslim,212
2013,Broj,han_pijesak,Ž,muslim,223
2013,Broj,cajnice,Oba spola,muslim,836
2013,Broj,cajnice,M,muslim,440
2013,Broj,cajnice,Ž,muslim,396
2013,Broj,celinac,Oba spola,muslim,406
2013,Broj,celinac,M,muslim,203
2013,Broj,celinac,Ž,muslim,203
2013,Broj,samac,Oba spola,muslim,976
2013,Broj,samac,M,muslim,471
2013,Broj,samac,Ž,muslim,505
2013,Broj,sekovici,Oba spola,muslim,107
2013,Broj,sekovici,M,muslim,54
2013,Broj,sekovici,Ž,muslim,53
2013,Broj,sipovo,Oba spola,muslim,583
2013,Broj,sipovo,M,muslim,295
2013,Broj,sipovo,Ž,muslim,288
2013,Broj,republika_srpska,Oba spola,catholic,25763
2013,Broj,republika_srpska,M,catholic,10431
2013,Broj,republika_srpska,Ž,catholic,15332
2013,Broj,grad_banja_luka,Oba spola,catholic,4637
2013,Broj,grad_banja_luka,M,catholic,1585
2013,Broj,grad_banja_luka,Ž,catholic,3052
2013,Broj,berkovici,Oba spola,catholic,6
2013,Broj,berkovici,M,catholic,1
2013,Broj,berkovici,Ž,catholic,5
2013,Broj,grad_bijeljina,Oba spola,catholic,508
2013,Broj,grad_bijeljina,M,catholic,103
2013,Broj,grad_bijeljina,Ž,catholic,405
2013,Broj,bileca,Oba spola,catholic,18
2013,Broj,bileca,M,catholic,2
2013,Broj,bileca,Ž,catholic,16
2013,Broj,bratunac,Oba spola,catholic,26
2013,Broj,bratunac,M,catholic,3
2013,Broj,bratunac,Ž,catholic,23
2013,Broj,brod,Oba spola,catholic,2925
2013,Broj,brod,M,catholic,1360
2013,Broj,brod,Ž,catholic,1565
2013,Broj,visegrad,Oba spola,catholic,33
2013,Broj,visegrad,M,catholic,6
2013,Broj,visegrad,Ž,catholic,27
2013,Broj,vlasenica,Oba spola,catholic,22
2013,Broj,vlasenica,M,catholic,4
2013,Broj,vlasenica,Ž,catholic,18
2013,Broj,vukosavlje,Oba spola,catholic,680
2013,Broj,vukosavlje,M,catholic,325
2013,Broj,vukosavlje,Ž,catholic,355
2013,Broj,gacko,Oba spola,catholic,10
2013,Broj,gacko,M,catholic,4
2013,Broj,gacko,Ž,catholic,6
2013,Broj,grad_gradiska,Oba spola,catholic,865
2013,Broj,grad_gradiska,M,catholic,303
2013,Broj,grad_gradiska,Ž,catholic,562
2013,Broj,grad_derventa,Oba spola,catholic,2109
2013,Broj,grad_derventa,M,catholic,999
2013,Broj,grad_derventa,Ž,catholic,1110
2013,Broj,grad_doboj,Oba spola,catholic,1448
2013,Broj,grad_doboj,M,catholic,532
2013,Broj,grad_doboj,Ž,catholic,916
2013,Broj,donji_zabar,Oba spola,catholic,977
2013,Broj,donji_zabar,M,catholic,490
2013,Broj,donji_zabar,Ž,catholic,487
2013,Broj,grad_zvornik,Oba spola,catholic,83
2013,Broj,grad_zvornik,M,catholic,6
2013,Broj,grad_zvornik,Ž,catholic,77
2013,Broj,istocna_ilidza,Oba spola,catholic,142
2013,Broj,istocna_ilidza,M,catholic,36
2013,Broj,istocna_ilidza,Ž,catholic,106
2013,Broj,istocni_drvar,Oba spola,catholic,1
2013,Broj,istocni_drvar,M,catholic,0
2013,Broj,istocni_drvar,Ž,catholic,1
2013,Broj,istocni_mostar,Oba spola,catholic,11
2013,Broj,istocni_mostar,M,catholic,8
2013,Broj,istocni_mostar,Ž,catholic,3
2013,Broj,istocni_stari_grad,Oba spola,catholic,5
2013,Broj,istocni_stari_grad,M,catholic,0
2013,Broj,istocni_stari_grad,Ž,catholic,5
2013,Broj,istocno_novo_sarajevo,Oba spola,catholic,101
2013,Broj,istocno_novo_sarajevo,M,catholic,28
2013,Broj,istocno_novo_sarajevo,Ž,catholic,73
2013,Broj,jezero,Oba spola,catholic,4
2013,Broj,jezero,M,catholic,2
2013,Broj,jezero,Ž,catholic,2
2013,Broj,kalinovik,Oba spola,catholic,5
2013,Broj,kalinovik,M,catholic,2
2013,Broj,kalinovik,Ž,catholic,3
2013,Broj,knezevo,Oba spola,catholic,17
2013,Broj,knezevo,M,catholic,4
2013,Broj,knezevo,Ž,catholic,13
2013,Broj,kozarska_dubica,Oba spola,catholic,250
2013,Broj,kozarska_dubica,M,catholic,72
2013,Broj,kozarska_dubica,Ž,catholic,178
2013,Broj,kostajnica,Oba spola,catholic,84
2013,Broj,kostajnica,M,catholic,26
2013,Broj,kostajnica,Ž,catholic,58
2013,Broj,kotor_varos,Oba spola,catholic,788
2013,Broj,kotor_varos,M,catholic,365
2013,Broj,kotor_varos,Ž,catholic,423
2013,Broj,krupa_na_uni,Oba spola,catholic,2
2013,Broj,krupa_na_uni,M,catholic,0
2013,Broj,krupa_na_uni,Ž,catholic,2
2013,Broj,kupres,Oba spola,catholic,0
2013,Broj,kupres,M,catholic,0
2013,Broj,kupres,Ž,catholic,0
2013,Broj,laktasi,Oba spola,catholic,497
2013,Broj,laktasi,M,catholic,166
2013,Broj,laktasi,Ž,catholic,331
2013,Broj,lopare,Oba spola,catholic,40
2013,Broj,lopare,M,catholic,5
2013,Broj,lopare,Ž,catholic,35
2013,Broj,ljubinje,Oba spola,catholic,5
2013,Broj,ljubinje,M,catholic,1
2013,Broj,ljubinje,Ž,catholic,4
2013,Broj,milici,Oba spola,catholic,17
2013,Broj,milici,M,catholic,5
2013,Broj,milici,Ž,catholic,12
2013,Broj,modrica,Oba spola,catholic,1365
2013,Broj,modrica,M,catholic,651
2013,Broj,modrica,Ž,catholic,714
2013,Broj,mrkonjic_grad,Oba spola,catholic,146
2013,Broj,mrkonjic_grad,M,catholic,56
2013,Broj,mrkonjic_grad,Ž,catholic,90
2013,Broj,nevesinje,Oba spola,catholic,21
2013,Broj,nevesinje,M,catholic,5
2013,Broj,nevesinje,Ž,catholic,16
2013,Broj,novi_grad,Oba spola,catholic,152
2013,Broj,novi_grad,M,catholic,47
2013,Broj,novi_grad,Ž,catholic,105
2013,Broj,novo_gorazde,Oba spola,catholic,2
2013,Broj,novo_gorazde,M,catholic,1
2013,Broj,novo_gorazde,Ž,catholic,1
2013,Broj,osmaci,Oba spola,catholic,4
2013,Broj,osmaci,M,catholic,0
2013,Broj,osmaci,Ž,catholic,4
2013,Broj,ostra_luka,Oba spola,catholic,131
2013,Broj,ostra_luka,M,catholic,62
2013,Broj,ostra_luka,Ž,catholic,69
2013,Broj,pale,Oba spola,catholic,116
2013,Broj,pale,M,catholic,30
2013,Broj,pale,Ž,catholic,86
2013,Broj,pelagicevo,Oba spola,catholic,1180
2013,Broj,pelagicevo,M,catholic,578
2013,Broj,pelagicevo,Ž,catholic,602
2013,Broj,petrovac,Oba spola,catholic,0
2013,Broj,petrovac,M,catholic,0
2013,Broj,petrovac,Ž,catholic,0
2013,Broj,petrovo,Oba spola,catholic,35
2013,Broj,petrovo,M,catholic,10
2013,Broj,petrovo,Ž,catholic,25
2013,Broj,grad_prijedor,Oba spola,catholic,1544
2013,Broj,grad_prijedor,M,catholic,587
2013,Broj,grad_prijedor,Ž,catholic,957
2013,Broj,prnjavor,Oba spola,catholic,645
2013,Broj,prnjavor,M,catholic,255
2013,Broj,prnjavor,Ž,catholic,390
2013,Broj,ribnik,Oba spola,catholic,7
2013,Broj,ribnik,M,catholic,1
2013,Broj,ribnik,Ž,catholic,6
2013,Broj,rogatica,Oba spola,catholic,16
2013,Broj,rogatica,M,catholic,1
2013,Broj,rogatica,Ž,catholic,15
2013,Broj,rudo,Oba spola,catholic,3
2013,Broj,rudo,M,catholic,1
2013,Broj,rudo,Ž,catholic,2
2013,Broj,sokolac,Oba spola,catholic,23
2013,Broj,sokolac,M,catholic,3
2013,Broj,sokolac,Ž,catholic,20
2013,Broj,srbac,Oba spola,catholic,153
2013,Broj,srbac,M,catholic,37
2013,Broj,srbac,Ž,catholic,116
2013,Broj,srebrenica,Oba spola,catholic,17
2013,Broj,srebrenica,M,catholic,7
2013,Broj,srebrenica,Ž,catholic,10
2013,Broj,teslic,Oba spola,catholic,1292
2013,Broj,teslic,M,catholic,552
2013,Broj,teslic,Ž,catholic,740
2013,Broj,grad_trebinje,Oba spola,catholic,293
2013,Broj,grad_trebinje,M,catholic,90
2013,Broj,grad_trebinje,Ž,catholic,203
2013,Broj,trnovo,Oba spola,catholic,15
2013,Broj,trnovo,M,catholic,2
2013,Broj,trnovo,Ž,catholic,13
2013,Broj,ugljevik,Oba spola,catholic,39
2013,Broj,ugljevik,M,catholic,7
2013,Broj,ugljevik,Ž,catholic,32
2013,Broj,foca,Oba spola,catholic,64
2013,Broj,foca,M,catholic,20
2013,Broj,foca,Ž,catholic,44
2013,Broj,han_pijesak,Oba spola,catholic,5
2013,Broj,han_pijesak,M,catholic,0
2013,Broj,han_pijesak,Ž,catholic,5
2013,Broj,cajnice,Oba spola,catholic,5
2013,Broj,cajnice,M,catholic,0
2013,Broj,cajnice,Ž,catholic,5
2013,Broj,celinac,Oba spola,catholic,58
2013,Broj,celinac,M,catholic,14
2013,Broj,celinac,Ž,catholic,44
2013,Broj,samac,Oba spola,catholic,2091
2013,Broj,samac,M,catholic,969
2013,Broj,samac,Ž,catholic,1122
2013,Broj,sekovici,Oba spola,catholic,7
2013,Broj,sekovici,M,catholic,0
2013,Broj,sekovici,Ž,catholic,7
2013,Broj,sipovo,Oba spola,catholic,18
2013,Broj,sipovo,M,catholic,2
2013,Broj,sipovo,Ž,catholic,16
2013,Broj,republika_srpska,Oba spola,ortodox,969315
2013,Broj,republika_srpska,M,ortodox,476184
2013,Broj,republika_srpska,Ž,ortodox,493131
2013,Broj,grad_banja_luka,Oba spola,ortodox,161267
2013,Broj,grad_banja_luka,M,ortodox,78266
2013,Broj,grad_banja_luka,Ž,ortodox,83001
2013,Broj,berkovici,Oba spola,ortodox,1873
2013,Broj,berkovici,M,ortodox,940
2013,Broj,berkovici,Ž,ortodox,933
2013,Broj,grad_bijeljina,Oba spola,ortodox,89144
2013,Broj,grad_bijeljina,M,ortodox,43682
2013,Broj,grad_bijeljina,Ž,ortodox,45462
2013,Broj,bileca,Oba spola,ortodox,10490
2013,Broj,bileca,M,ortodox,5291
2013,Broj,bileca,Ž,ortodox,5199
2013,Broj,bratunac,Oba spola,ortodox,11726
2013,Broj,bratunac,M,ortodox,5835
2013,Broj,bratunac,Ž,ortodox,5891
2013,Broj,brod,Oba spola,ortodox,11066
2013,Broj,brod,M,ortodox,5474
2013,Broj,brod,Ž,ortodox,5592
2013,Broj,visegrad,Oba spola,ortodox,8913
2013,Broj,visegrad,M,ortodox,4315
2013,Broj,visegrad,Ž,ortodox,4598
2013,Broj,vlasenica,Oba spola,ortodox,7111
2013,Broj,vlasenica,M,ortodox,3473
2013,Broj,vlasenica,Ž,ortodox,3638
2013,Broj,vukosavlje,Oba spola,ortodox,1442
2013,Broj,vukosavlje,M,ortodox,713
2013,Broj,vukosavlje,Ž,ortodox,729
2013,Broj,gacko,Oba spola,ortodox,8337
2013,Broj,gacko,M,ortodox,4228
