Year,UNIT_MEASURE,Value
2003,Stopa smrtnosti na 1.000 stanovnika,10.9
2004,Stopa smrtnosti na 1.000 stanovnika,11.0
2005,Stopa smrtnosti na 1.000 stanovnika,11.6
2006,Stopa smrtnosti na 1.000 stanovnika,11.2
2007,Stopa smrtnosti na 1.000 stanovnika,12.0
2008,Stopa smrtnosti na 1.000 stanovnika,11.4
2009,Stopa smrtnosti na 1.000 stanovnika,11.7
2010,Stopa smrtnosti na 1.000 stanovnika,11.5
2011,Stopa smrtnosti na 1.000 stanovnika,11.6
2012,Stopa smrtnosti na 1.000 stanovnika,11.8
2013,Stopa smrtnosti na 1.000 stanovnika,11.9
2014,Stopa smrtnosti na 1.000 stanovnika,12.3
2015,Stopa smrtnosti na 1.000 stanovnika,13.0
2016,Stopa smrtnosti na 1.000 stanovnika,12.1
2017,Stopa smrtnosti na 1.000 stanovnika,12.7
2018,Stopa smrtnosti na 1.000 stanovnika,12.9
2019,Stopa smrtnosti na 1.000 stanovnika,13.2
2020,Stopa smrtnosti na 1.000 stanovnika,14.6
2021,Stopa smrtnosti na 1.000 stanovnika,16.8
2022,Stopa smrtnosti na 1.000 stanovnika,14.5
2023,Stopa smrtnosti na 1.000 stanovnika,12.1
