Year,UNIT_MEASURE,Старосна група,Пол,Value
2017.0,Број,10-14,M,27739.0
2017.0,Број,15-19,M,31302.0
2017.0,Број,20-24,M,34984.0
2017.0,Број,25-29,M,35943.0
2017.0,Број,30-34,M,39935.0
2017.0,Број,35-39,M,40775.0
2017.0,Број,40-44,M,40696.0
2017.0,Број,45-49,M,38318.0
2017.0,Број,50-54,M,41752.0
2017.0,Број,55-59,M,43657.0
2017.0,Број,60-64,M,43518.0
2017.0,Број,65-69,M,34812.0
2017.0,Број,70-74,M,21177.0
2017.0,Број,75-79,M,19315.0
2017.0,Број,80-84,M,11479.0
2017.0,Број,85-89,M,4303.0
2017.0,Број,90 +,M,915.0
2017.0,Број,Укупно,Ж,589830.0
2017.0,Број,0-4,Ж,23011.0
2017.0,Број,5-9,Ж,26516.0
2017.0,Број,10-14,Ж,26272.0
2017.0,Број,15-19,Ж,29686.0
2017.0,Број,20-24,Ж,32594.0
2017.0,Број,25-29,Ж,33768.0
2017.0,Број,30-34,Ж,38478.0
2017.0,Број,35-39,Ж,39538.0
2017.0,Број,40-44,Ж,38932.0
2017.0,Број,45-49,Ж,37245.0
2017.0,Број,50-54,Ж,42760.0
2017.0,Број,55-59,Ж,46553.0
2017.0,Број,60-64,Ж,48105.0
2017.0,Број,65-69,Ж,41265.0
2017.0,Број,70-74,Ж,27993.0
2017.0,Број,75-79,Ж,28229.0
2017.0,Број,80-84,Ж,19165.0
2017.0,Број,85-89,Ж,7700.0
2017.0,Број,90 +,Ж,2020.0
2018.0,Број,Укупно,Укупно,1147902.0
2018.0,Број,0-4,Укупно,46783.0
2018.0,Број,5-9,Укупно,53561.0
2018.0,Број,10-14,Укупно,53979.0
2018.0,Број,15-19,Укупно,58248.0
2018.0,Број,20-24,Укупно,69375.0
2018.0,Број,25-29,Укупно,66608.0
2018.0,Број,30-34,Укупно,77062.0
2018.0,Број,35-39,Укупно,80370.0
2018.0,Број,40-44,Укупно,80022.0
2018.0,Број,45-49,Укупно,75372.0
2018.0,Број,50-54,Укупно,82290.0
2018.0,Број,55-59,Укупно,89379.0
2018.0,Број,60-64,Укупно,90342.0
2018.0,Број,65-69,Укупно,79067.0
2018.0,Број,70-74,Укупно,52446.0
2018.0,Број,75-79,Укупно,45216.0
2018.0,Број,80-84,Укупно,31930.0
2018.0,Број,85-89,Укупно,12742.0
2018.0,Број,90 +,Укупно,3110.0
2018.0,Број,Укупно,M,560795.0
2018.0,Број,0-4,M,24321.0
2018.0,Број,5-9,M,27463.0
2018.0,Број,10-14,M,27689.0
2018.0,Број,15-19,M,29864.0
2018.0,Број,20-24,M,35777.0
2018.0,Број,25-29,M,34534.0
2018.0,Број,30-34,M,39285.0
2018.0,Број,35-39,M,40743.0
2018.0,Број,40-44,M,40878.0
2018.0,Број,45-49,M,38377.0
2018.0,Број,50-54,M,40817.0
2018.0,Број,55-59,M,43267.0
2018.0,Број,60-64,M,42830.0
2018.0,Број,65-69,M,36278.0
2018.0,Број,70-74,M,22707.0
2018.0,Број,75-79,M,18324.0
2018.0,Број,80-84,M,12075.0
2018.0,Број,85-89,M,4564.0
2018.0,Број,90 +,M,1002.0
2018.0,Број,Укупно,Ж,587107.0
2018.0,Број,0-4,Ж,22462.0
2018.0,Број,5-9,Ж,26098.0
2018.0,Број,10-14,Ж,26290.0
2018.0,Број,15-19,Ж,28384.0
2018.0,Број,20-24,Ж,33598.0
2018.0,Број,25-29,Ж,32074.0
2018.0,Број,30-34,Ж,37777.0
2018.0,Број,35-39,Ж,39627.0
2018.0,Број,40-44,Ж,39144.0
2018.0,Број,45-49,Ж,36995.0
2018.0,Број,50-54,Ж,41473.0
2018.0,Број,55-59,Ж,46112.0
2018.0,Број,60-64,Ж,47512.0
2018.0,Број,65-69,Ж,42789.0
2018.0,Број,70-74,Ж,29739.0
2018.0,Број,75-79,Ж,26892.0
2018.0,Број,80-84,Ж,19855.0
2018.0,Број,85-89,Ж,8178.0
2018.0,Број,90 +,Ж,2108.0
2019.0,Број,Укупно,Укупно,1142495.0
2019.0,Број,0-4,Укупно,46989.0
2019.0,Број,5-9,Укупно,51849.0
2019.0,Број,10-14,Укупно,54340.0
2019.0,Број,15-19,Укупно,56767.0
2019.0,Број,20-24,Укупно,68958.0
2019.0,Број,25-29,Укупно,65048.0
2019.0,Број,30-34,Укупно,75240.0
2019.0,Број,35-39,Укупно,80574.0
2019.0,Број,40-44,Укупно,80242.0
2019.0,Број,45-49,Укупно,75535.0
2019.0,Број,50-54,Укупно,80297.0
2019.0,Број,55-59,Укупно,87300.0
2019.0,Број,60-64,Укупно,88926.0
2019.0,Број,65-69,Укупно,81485.0
2019.0,Број,70-74,Укупно,56623.0
2019.0,Број,75-79,Укупно,42470.0
2019.0,Број,80-84,Укупно,32745.0
2019.0,Број,85-89,Укупно,13503.0
2019.0,Број,90 +,Укупно,3604.0
2019.0,Број,Укупно,M,558093.0
2019.0,Број,0-4,M,24499.0
2019.0,Број,5-9,M,26577.0
2019.0,Број,10-14,M,27877.0
2019.0,Број,15-19,M,29150.0
2019.0,Број,20-24,M,35339.0
2019.0,Број,25-29,M,33871.0
2019.0,Број,30-34,M,38358.0
2019.0,Број,35-39,M,40861.0
2019.0,Број,40-44,M,40907.0
2019.0,Број,45-49,M,38510.0
2019.0,Број,50-54,M,40006.0
2019.0,Број,55-59,M,42309.0
2019.0,Број,60-64,M,42038.0
2019.0,Број,65-69,M,37464.0
2019.0,Број,70-74,M,24642.0
2019.0,Број,75-79,M,17180.0
2019.0,Број,80-84,M,12494.0
2019.0,Број,85-89,M,4782.0
2019.0,Број,90 +,M,1229.0
2019.0,Број,Укупно,Ж,584402.0
2019.0,Број,0-4,Ж,22490.0
2019.0,Број,5-9,Ж,25272.0
2019.0,Број,10-14,Ж,26463.0
2019.0,Број,15-19,Ж,27617.0
2019.0,Број,20-24,Ж,33619.0
2019.0,Број,25-29,Ж,31177.0
2019.0,Број,30-34,Ж,36882.0
2019.0,Број,35-39,Ж,39713.0
2019.0,Број,40-44,Ж,39335.0
2019.0,Број,45-49,Ж,37025.0
2019.0,Број,50-54,Ж,40291.0
2019.0,Број,55-59,Ж,44991.0
2019.0,Број,60-64,Ж,46888.0
2019.0,Број,65-69,Ж,44021.0
2019.0,Број,70-74,Ж,31981.0
2019.0,Број,75-79,Ж,25290.0
2019.0,Број,80-84,Ж,20251.0
2019.0,Број,85-89,Ж,8721.0
2019.0,Број,90 +,Ж,2375.0
2020.0,Број,Укупно,Укупно,1136274.0
2020.0,Број,0-4,Укупно,46766.0
2020.0,Број,5-9,Укупно,50140.0
2020.0,Број,10-14,Укупно,54624.0
2020.0,Број,15-19,Укупно,55722.0
2020.0,Број,20-24,Укупно,66540.0
2020.0,Број,25-29,Укупно,65512.0
2020.0,Број,30-34,Укупно,73246.0
2020.0,Број,35-39,Укупно,80317.0
2020.0,Број,40-44,Укупно,80441.0
2020.0,Број,45-49,Укупно,76443.0
2020.0,Број,50-54,Укупно,77704.0
2020.0,Број,55-59,Укупно,85566.0
2020.0,Број,60-64,Укупно,87281.0
2020.0,Број,65-69,Укупно,83151.0
2020.0,Број,70-74,Укупно,61635.0
2020.0,Број,75-79,Укупно,39518.0
2020.0,Број,80-84,Укупно,33481.0
2020.0,Број,85-89,Укупно,14165.0
2020.0,Број,90 +,Укупно,4022.0
2020.0,Број,Укупно,M,557422.0
2020.0,Број,0-4,M,24479.0
2020.0,Број,5-9,M,25854.0
2020.0,Број,10-14,M,28034.0
2020.0,Број,15-19,M,28881.0
2020.0,Број,20-24,M,34373.0
2020.0,Број,25-29,M,34543.0
2020.0,Број,30-34,M,37631.0
2020.0,Број,35-39,M,41043.0
2020.0,Број,40-44,M,41041.0
2020.0,Број,45-49,M,39083.0
2020.0,Број,50-54,M,38950.0
2020.0,Број,55-59,M,41653.0
2020.0,Број,60-64,M,41310.0
2020.0,Број,65-69,M,38322.0
2020.0,Број,70-74,M,26890.0
2020.0,Број,75-79,M,16062.0
2020.0,Број,80-84,M,12843.0
2020.0,Број,85-89,M,5019.0
2020.0,Број,90 +,M,1411.0
2020.0,Број,Укупно,Ж,578852.0
2020.0,Број,0-4,Ж,22287.0
2020.0,Број,5-9,Ж,24286.0
2020.0,Број,10-14,Ж,26590.0
2020.0,Број,15-19,Ж,26841.0
2020.0,Број,20-24,Ж,32167.0
2020.0,Број,25-29,Ж,30969.0
2020.0,Број,30-34,Ж,35615.0
2020.0,Број,35-39,Ж,39274.0
2020.0,Број,40-44,Ж,39400.0
2020.0,Број,45-49,Ж,37360.0
2020.0,Број,50-54,Ж,38754.0
2020.0,Број,55-59,Ж,43913.0
2020.0,Број,60-64,Ж,45971.0
2020.0,Број,65-69,Ж,44829.0
2020.0,Број,70-74,Ж,34745.0
2020.0,Број,75-79,Ж,23456.0
2020.0,Број,80-84,Ж,20638.0
2020.0,Број,85-89,Ж,9146.0
2020.0,Број,90 +,Ж,2611.0
2021.0,Број,Укупно,Укупно,1128309.0
2021.0,Број,0-4,Укупно,46576.0
2021.0,Број,5-9,Укупно,48911.0
2021.0,Број,10-14,Укупно,54566.0
2021.0,Број,15-19,Укупно,54747.0
2021.0,Број,20-24,Укупно,63880.0
2021.0,Број,25-29,Укупно,66061.0
2021.0,Број,30-34,Укупно,71716.0
2021.0,Број,35-39,Укупно,79502.0
2021.0,Број,40-44,Укупно,80230.0
2021.0,Број,45-49,Укупно,77843.0
2021.0,Број,50-54,Укупно,75293.0
2021.0,Број,55-59,Укупно,83859.0
2021.0,Број,60-64,Укупно,86008.0
2021.0,Број,65-69,Укупно,84343.0
2021.0,Број,70-74,Укупно,64407.0
2021.0,Број,75-79,Укупно,38179.0
2021.0,Број,80-84,Укупно,33203.0
2021.0,Број,85-89,Укупно,14615.0
2021.0,Број,90 +,Укупно,4370.0
2021.0,Број,Укупно,M,555675.0
2021.0,Број,0-4,M,24423.0
2021.0,Број,5-9,M,25415.0
2021.0,Број,10-14,M,28047.0
2021.0,Број,15-19,M,28452.0
2021.0,Број,20-24,M,33368.0
2021.0,Број,25-29,M,35138.0
2021.0,Број,30-34,M,37332.0
2021.0,Број,35-39,M,40838.0
2021.0,Број,40-44,M,41042.0
2021.0,Број,45-49,M,39882.0
2021.0,Број,50-54,M,37942.0
2021.0,Број,55-59,M,40953.0
2021.0,Број,60-64,M,40805.0
2021.0,Број,65-69,M,38861.0
2021.0,Број,70-74,M,28106.0
2021.0,Број,75-79,M,15574.0
2021.0,Број,80-84,M,12753.0
2021.0,Број,85-89,M,5205.0
2021.0,Број,90 +,M,1539.0
2021.0,Број,Укупно,Ж,572634.0
2021.0,Број,0-4,Ж,22153.0
2021.0,Број,5-9,Ж,23496.0
2021.0,Број,10-14,Ж,26519.0
2021.0,Број,15-19,Ж,26295.0
2021.0,Број,20-24,Ж,30512.0
2021.0,Број,25-29,Ж,30923.0
2021.0,Број,30-34,Ж,34384.0
2021.0,Број,35-39,Ж,38664.0
2021.0,Број,40-44,Ж,39188.0
2021.0,Број,45-49,Ж,37961.0
2021.0,Број,50-54,Ж,37351.0
2021.0,Број,55-59,Ж,42906.0
2021.0,Број,60-64,Ж,45203.0
2021.0,Број,65-69,Ж,45482.0
2021.0,Број,70-74,Ж,36301.0
2021.0,Број,75-79,Ж,22605.0
2021.0,Број,80-84,Ж,20450.0
2021.0,Број,85-89,Ж,9410.0
2021.0,Број,90 +,Ж,2831.0
,,,,
,,,,
