Year,UNIT_MEASURE,Administrativna oblast,Spol,Disabilities,Value
2013,Broj,REPUBLIKA SRPSKA,Oba spola,Ukupno,1170342
2013,Broj,REPUBLIKA SRPSKA,M,Ukupno,571812
2013,Broj,REPUBLIKA SRPSKA,Ž,Ukupno,598530
2013,Broj,BANJA LUKA,Oba spola,Ukupno,180053
2013,Broj,BANJA LUKA,M,Ukupno,86510
2013,Broj,BANJA LUKA,Ž,Ukupno,93543
2013,Broj,BERKOVICI,Oba spola,Ukupno,2041
2013,Broj,BERKOVICI,M,Ukupno,1032
2013,Broj,BERKOVICI,Ž,Ukupno,1009
2013,Broj,BIJELJINA,Oba spola,Ukupno,103874
2013,Broj,BIJELJINA,M,Ukupno,50760
2013,Broj,BIJELJINA,Ž,Ukupno,53114
2013,Broj,BILECA,Oba spola,Ukupno,10607
2013,Broj,BILECA,M,Ukupno,5346
2013,Broj,BILECA,Ž,Ukupno,5261
2013,Broj,BRATUNAC,Oba spola,Ukupno,18651
2013,Broj,BRATUNAC,M,Ukupno,9210
2013,Broj,BRATUNAC,Ž,Ukupno,9441
2013,Broj,BROD,Oba spola,Ukupno,15720
2013,Broj,BROD,M,Ukupno,7670
2013,Broj,BROD,Ž,Ukupno,8050
2013,Broj,VISEGRAD,Oba spola,Ukupno,10118
2013,Broj,VISEGRAD,M,Ukupno,4834
2013,Broj,VISEGRAD,Ž,Ukupno,5284
2013,Broj,VLASENICA,Oba spola,Ukupno,10657
2013,Broj,VLASENICA,M,Ukupno,5193
2013,Broj,VLASENICA,Ž,Ukupno,5464
2013,Broj,VUKOSAVLJE,Oba spola,Ukupno,4363
2013,Broj,VUKOSAVLJE,M,Ukupno,2185
2013,Broj,VUKOSAVLJE,Ž,Ukupno,2178
2013,Broj,GACKO,Oba spola,Ukupno,8710
2013,Broj,GACKO,M,Ukupno,4423
2013,Broj,GACKO,Ž,Ukupno,4287
2013,Broj,GRADISKA,Oba spola,Ukupno,49196
2013,Broj,GRADISKA,M,Ukupno,23944
2013,Broj,GRADISKA,Ž,Ukupno,25252
2013,Broj,DERVENTA,Oba spola,Ukupno,25922
2013,Broj,DERVENTA,M,Ukupno,12629
2013,Broj,DERVENTA,Ž,Ukupno,13293
2013,Broj,DOBOJ,Oba spola,Ukupno,68514
2013,Broj,DOBOJ,M,Ukupno,33222
2013,Broj,DOBOJ,Ž,Ukupno,35292
2013,Broj,DONJI ZABAR,Oba spola,Ukupno,3669
2013,Broj,DONJI ZABAR,M,Ukupno,1853
2013,Broj,DONJI ZABAR,Ž,Ukupno,1816
2013,Broj,ZVORNIK,Oba spola,Ukupno,54407
2013,Broj,ZVORNIK,M,Ukupno,26803
2013,Broj,ZVORNIK,Ž,Ukupno,27604
2013,Broj,ISTOCNA ILIDZA,Oba spola,Ukupno,14437
2013,Broj,ISTOCNA ILIDZA,M,Ukupno,6905
2013,Broj,ISTOCNA ILIDZA,Ž,Ukupno,7532
2013,Broj,ISTOCNI DRVAR,Oba spola,Ukupno,66
2013,Broj,ISTOCNI DRVAR,M,Ukupno,44
2013,Broj,ISTOCNI DRVAR,Ž,Ukupno,22
2013,Broj,ISTOCNI MOSTAR,Oba spola,Ukupno,244
2013,Broj,ISTOCNI MOSTAR,M,Ukupno,138
2013,Broj,ISTOCNI MOSTAR,Ž,Ukupno,106
2013,Broj,ISTOCNI STARI GRAD,Oba spola,Ukupno,1116
2013,Broj,ISTOCNI STARI GRAD,M,Ukupno,552
2013,Broj,ISTOCNI STARI GRAD,Ž,Ukupno,564
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,Ukupno,10401
2013,Broj,ISTOCNO NOVO SARAJEVO,M,Ukupno,4936
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,Ukupno,5465
2013,Broj,JEZERO,Oba spola,Ukupno,1039
2013,Broj,JEZERO,M,Ukupno,534
2013,Broj,JEZERO,Ž,Ukupno,505
2013,Broj,KALINOVIK,Oba spola,Ukupno,1962
2013,Broj,KALINOVIK,M,Ukupno,950
2013,Broj,KALINOVIK,Ž,Ukupno,1012
2013,Broj,KNEZEVO,Oba spola,Ukupno,9368
2013,Broj,KNEZEVO,M,Ukupno,4632
2013,Broj,KNEZEVO,Ž,Ukupno,4736
2013,Broj,KOZARSKA DUBICA,Oba spola,Ukupno,20681
2013,Broj,KOZARSKA DUBICA,M,Ukupno,10094
2013,Broj,KOZARSKA DUBICA,Ž,Ukupno,10587
2013,Broj,KOSTAJNICA,Oba spola,Ukupno,5645
2013,Broj,KOSTAJNICA,M,Ukupno,2780
2013,Broj,KOSTAJNICA,Ž,Ukupno,2865
2013,Broj,KOTOR VAROS,Oba spola,Ukupno,18361
2013,Broj,KOTOR VAROS,M,Ukupno,9007
2013,Broj,KOTOR VAROS,Ž,Ukupno,9354
2013,Broj,KRUPA NA UNI,Oba spola,Ukupno,1560
2013,Broj,KRUPA NA UNI,M,Ukupno,841
2013,Broj,KRUPA NA UNI,Ž,Ukupno,719
2013,Broj,KUPRES,Oba spola,Ukupno,293
2013,Broj,KUPRES,M,Ukupno,157
2013,Broj,KUPRES,Ž,Ukupno,136
2013,Broj,LAKTASI,Oba spola,Ukupno,34210
2013,Broj,LAKTASI,M,Ukupno,16905
2013,Broj,LAKTASI,Ž,Ukupno,17305
2013,Broj,LOPARE,Oba spola,Ukupno,14689
2013,Broj,LOPARE,M,Ukupno,7377
2013,Broj,LOPARE,Ž,Ukupno,7312
2013,Broj,LJUBINJE,Oba spola,Ukupno,3319
2013,Broj,LJUBINJE,M,Ukupno,1633
2013,Broj,LJUBINJE,Ž,Ukupno,1686
2013,Broj,MILICI,Oba spola,Ukupno,10445
2013,Broj,MILICI,M,Ukupno,5252
2013,Broj,MILICI,Ž,Ukupno,5193
2013,Broj,MODRICA,Oba spola,Ukupno,24490
2013,Broj,MODRICA,M,Ukupno,11969
2013,Broj,MODRICA,Ž,Ukupno,12521
2013,Broj,MRKONJIC GRAD,Oba spola,Ukupno,15926
2013,Broj,MRKONJIC GRAD,M,Ukupno,7660
2013,Broj,MRKONJIC GRAD,Ž,Ukupno,8266
2013,Broj,NEVESINJE,Oba spola,Ukupno,12542
2013,Broj,NEVESINJE,M,Ukupno,6236
2013,Broj,NEVESINJE,Ž,Ukupno,6306
2013,Broj,NOVI GRAD,Oba spola,Ukupno,25240
2013,Broj,NOVI GRAD,M,Ukupno,12580
2013,Broj,NOVI GRAD,Ž,Ukupno,12660
2013,Broj,NOVO GORAZDE,Oba spola,Ukupno,2915
2013,Broj,NOVO GORAZDE,M,Ukupno,1500
2013,Broj,NOVO GORAZDE,Ž,Ukupno,1415
2013,Broj,OSMACI,Oba spola,Ukupno,5546
2013,Broj,OSMACI,M,Ukupno,2779
2013,Broj,OSMACI,Ž,Ukupno,2767
2013,Broj,OSTRA LUKA,Oba spola,Ukupno,2705
2013,Broj,OSTRA LUKA,M,Ukupno,1386
2013,Broj,OSTRA LUKA,Ž,Ukupno,1319
2013,Broj,PALE,Oba spola,Ukupno,20359
2013,Broj,PALE,M,Ukupno,9744
2013,Broj,PALE,Ž,Ukupno,10615
2013,Broj,PELAGICEVO,Oba spola,Ukupno,4358
2013,Broj,PELAGICEVO,M,Ukupno,2151
2013,Broj,PELAGICEVO,Ž,Ukupno,2207
2013,Broj,PETROVAC,Oba spola,Ukupno,354
2013,Broj,PETROVAC,M,Ukupno,169
2013,Broj,PETROVAC,Ž,Ukupno,185
2013,Broj,PETROVO,Oba spola,Ukupno,6317
2013,Broj,PETROVO,M,Ukupno,3043
2013,Broj,PETROVO,Ž,Ukupno,3274
2013,Broj,PRIJEDOR,Oba spola,Ukupno,80916
2013,Broj,PRIJEDOR,M,Ukupno,39418
2013,Broj,PRIJEDOR,Ž,Ukupno,41498
2013,Broj,PRNJAVOR,Oba spola,Ukupno,34357
2013,Broj,PRNJAVOR,M,Ukupno,16675
2013,Broj,PRNJAVOR,Ž,Ukupno,17682
2013,Broj,RIBNIK,Oba spola,Ukupno,5851
2013,Broj,RIBNIK,M,Ukupno,2900
2013,Broj,RIBNIK,Ž,Ukupno,2951
2013,Broj,ROGATICA,Oba spola,Ukupno,10302
2013,Broj,ROGATICA,M,Ukupno,5053
2013,Broj,ROGATICA,Ž,Ukupno,5249
2013,Broj,RUDO,Oba spola,Ukupno,7578
2013,Broj,RUDO,M,Ukupno,3840
2013,Broj,RUDO,Ž,Ukupno,3738
2013,Broj,SOKOLAC,Oba spola,Ukupno,11620
2013,Broj,SOKOLAC,M,Ukupno,5723
2013,Broj,SOKOLAC,Ž,Ukupno,5897
2013,Broj,SRBAC,Oba spola,Ukupno,16933
2013,Broj,SRBAC,M,Ukupno,8295
2013,Broj,SRBAC,Ž,Ukupno,8638
2013,Broj,SREBRENICA,Oba spola,Ukupno,11698
2013,Broj,SREBRENICA,M,Ukupno,5714
2013,Broj,SREBRENICA,Ž,Ukupno,5984
2013,Broj,TESLIC,Oba spola,Ukupno,37236
2013,Broj,TESLIC,M,Ukupno,17894
2013,Broj,TESLIC,Ž,Ukupno,19342
2013,Broj,TREBINJE,Oba spola,Ukupno,28239
2013,Broj,TREBINJE,M,Ukupno,13760
2013,Broj,TREBINJE,Ž,Ukupno,14479
2013,Broj,TRNOVO,Oba spola,Ukupno,1983
2013,Broj,TRNOVO,M,Ukupno,953
2013,Broj,TRNOVO,Ž,Ukupno,1030
2013,Broj,UGLJEVIK,Oba spola,Ukupno,15118
2013,Broj,UGLJEVIK,M,Ukupno,7626
2013,Broj,UGLJEVIK,Ž,Ukupno,7492
2013,Broj,FOCA,Oba spola,Ukupno,17580
2013,Broj,FOCA,M,Ukupno,8880
2013,Broj,FOCA,Ž,Ukupno,8700
2013,Broj,HAN PIJESAK,Oba spola,Ukupno,3445
2013,Broj,HAN PIJESAK,M,Ukupno,1632
2013,Broj,HAN PIJESAK,Ž,Ukupno,1813
2013,Broj,CAJNICE,Oba spola,Ukupno,4679
2013,Broj,CAJNICE,M,Ukupno,2347
2013,Broj,CAJNICE,Ž,Ukupno,2332
2013,Broj,CELINAC,Oba spola,Ukupno,15117
2013,Broj,CELINAC,M,Ukupno,7477
2013,Broj,CELINAC,Ž,Ukupno,7640
2013,Broj,SAMAC,Oba spola,Ukupno,16308
2013,Broj,SAMAC,M,Ukupno,7908
2013,Broj,SAMAC,Ž,Ukupno,8400
2013,Broj,SEKOVICI,Oba spola,Ukupno,6323
2013,Broj,SEKOVICI,M,Ukupno,3103
2013,Broj,SEKOVICI,Ž,Ukupno,3220
2013,Broj,SIPOVO,Oba spola,Ukupno,9969
2013,Broj,SIPOVO,M,Ukupno,5046
2013,Broj,SIPOVO,Ž,Ukupno,4923
2013,Broj,REPUBLIKA SRPSKA,Oba spola,disabilities_T,102262
2013,Broj,REPUBLIKA SRPSKA,M,disabilities_T,46720
2013,Broj,REPUBLIKA SRPSKA,Ž,disabilities_T,55542
2013,Broj,BANJA LUKA,Oba spola,disabilities_T,13450
2013,Broj,BANJA LUKA,M,disabilities_T,6251
2013,Broj,BANJA LUKA,Ž,disabilities_T,7199
2013,Broj,BERKOVICI,Oba spola,disabilities_T,165
2013,Broj,BERKOVICI,M,disabilities_T,75
2013,Broj,BERKOVICI,Ž,disabilities_T,90
2013,Broj,BIJELJINA,Oba spola,disabilities_T,8763
2013,Broj,BIJELJINA,M,disabilities_T,3967
2013,Broj,BIJELJINA,Ž,disabilities_T,4796
2013,Broj,BILECA,Oba spola,disabilities_T,813
2013,Broj,BILECA,M,disabilities_T,339
2013,Broj,BILECA,Ž,disabilities_T,474
2013,Broj,BRATUNAC,Oba spola,disabilities_T,1534
2013,Broj,BRATUNAC,M,disabilities_T,688
2013,Broj,BRATUNAC,Ž,disabilities_T,846
2013,Broj,BROD,Oba spola,disabilities_T,1420
2013,Broj,BROD,M,disabilities_T,658
2013,Broj,BROD,Ž,disabilities_T,762
2013,Broj,VISEGRAD,Oba spola,disabilities_T,1097
2013,Broj,VISEGRAD,M,disabilities_T,422
2013,Broj,VISEGRAD,Ž,disabilities_T,675
2013,Broj,VLASENICA,Oba spola,disabilities_T,786
2013,Broj,VLASENICA,M,disabilities_T,393
2013,Broj,VLASENICA,Ž,disabilities_T,393
2013,Broj,VUKOSAVLJE,Oba spola,disabilities_T,472
2013,Broj,VUKOSAVLJE,M,disabilities_T,226
2013,Broj,VUKOSAVLJE,Ž,disabilities_T,246
2013,Broj,GACKO,Oba spola,disabilities_T,597
2013,Broj,GACKO,M,disabilities_T,261
2013,Broj,GACKO,Ž,disabilities_T,336
2013,Broj,GRADISKA,Oba spola,disabilities_T,4427
2013,Broj,GRADISKA,M,disabilities_T,1965
2013,Broj,GRADISKA,Ž,disabilities_T,2462
2013,Broj,DERVENTA,Oba spola,disabilities_T,2529
2013,Broj,DERVENTA,M,disabilities_T,1153
2013,Broj,DERVENTA,Ž,disabilities_T,1376
2013,Broj,DOBOJ,Oba spola,disabilities_T,7404
2013,Broj,DOBOJ,M,disabilities_T,3292
2013,Broj,DOBOJ,Ž,disabilities_T,4112
2013,Broj,DONJI ZABAR,Oba spola,disabilities_T,313
2013,Broj,DONJI ZABAR,M,disabilities_T,146
2013,Broj,DONJI ZABAR,Ž,disabilities_T,167
2013,Broj,ZVORNIK,Oba spola,disabilities_T,4328
2013,Broj,ZVORNIK,M,disabilities_T,2027
