Year,Value,UNIT_MEASURE
2003,1.33,Број дјеце по жени од 15-49 старости
2004,1.35,Број дјеце по жени од 15-49 старости
2005,1.31,Број дјеце по жени од 15-49 старости
2006,1.34,Број дјеце по жени од 15-49 старости
2007,1.3,Број дјеце по жени од 15-49 старости
2008,1.32,Број дјеце по жени од 15-49 старости
2009,1.39,Број дјеце по жени од 15-49 старости
2010,1.33,Број дјеце по жени од 15-49 старости
2011,1.27,Број дјеце по жени од 15-49 старости
2012,1.35,Број дјеце по жени од 15-49 старости
2013,1.3,Број дјеце по жени од 15-49 старости
2014,1.28,Број дјеце по жени од 15-49 старости
2015,1.3,Број дјеце по жени од 15-49 старости
2016,1.32,Број дјеце по жени од 15-49 старости
2017,1.31,Број дјеце по жени од 15-49 старости
2018,1.36,Број дјеце по жени од 15-49 старости
2019,1.34,Број дјеце по жени од 15-49 старости
2020,1.38,Број дјеце по жени од 15-49 старости
