Year,UNIT_MEASURE,Scientific field,Sex,Value
2017,Number,Total,Both sexes,130
2017,Number,"Natural sciences, mathematics and statistics",Both sexes,10
2017,Number,"Engineering, manufacturing and construction",Both sexes,4
2017,Number,Information and communication technologies,Both sexes,12
2017,Number,Health and social protection,Both sexes,25
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,9
2017,Number,"Social sciences, journalism and information",Both sexes,50
2017,Number,"Business, administration and law",Both sexes,10
2017,Number,Education,Both sexes,0
2017,Number,Arts and humanities,Both sexes,10
2017,Number,Services,Both sexes,0
2017,Number,Total,M,70
2017,Number,"Natural sciences, mathematics and statistics",M,6
2017,Number,"Engineering, manufacturing and construction",M,3
2017,Number,Information and communication technologies,M,9
2017,Number,Health and social protection,M,6
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,4
2017,Number,"Social sciences, journalism and information",M,29
2017,Number,"Business, administration and law",M,4
2017,Number,Education,M,0
2017,Number,Arts and humanities,M,9
2017,Number,Services,M,0
2017,Number,Total,F,60
2017,Number,"Natural sciences, mathematics and statistics",F,4
2017,Number,"Engineering, manufacturing and construction",F,1
2017,Number,Information and communication technologies,F,3
2017,Number,Health and social protection,F,19
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,5
2017,Number,"Social sciences, journalism and information",F,21
2017,Number,"Business, administration and law",F,6
2017,Number,Education,F,0
2017,Number,Arts and humanities,F,1
2017,Number,Services,F,0
2018,Number,Total,Both sexes,119
2018,Number,"Natural sciences, mathematics and statistics",Both sexes,8
2018,Number,"Engineering, manufacturing and construction",Both sexes,3
2018,Number,Information and communication technologies,Both sexes,11
2018,Number,Health and social protection,Both sexes,37
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,9
2018,Number,"Social sciences, journalism and information",Both sexes,16
2018,Number,"Business, administration and law",Both sexes,10
2018,Number,Education,Both sexes,3
2018,Number,Arts and humanities,Both sexes,22
2018,Number,Services,Both sexes,0
2018,Number,Total,M,56
2018,Number,"Natural sciences, mathematics and statistics",M,3
2018,Number,"Engineering, manufacturing and construction",M,2
2018,Number,Information and communication technologies,M,11
2018,Number,Health and social protection,M,9
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,6
2018,Number,"Social sciences, journalism and information",M,8
2018,Number,"Business, administration and law",M,4
2018,Number,Education,M,3
2018,Number,Arts and humanities,M,10
2018,Number,Services,M,0
2018,Number,Total,F,63
2018,Number,"Natural sciences, mathematics and statistics",F,5
2018,Number,"Engineering, manufacturing and construction",F,1
2018,Number,Information and communication technologies,F,0
