Year,UNIT_MEASURE,Sex,Cause of death (as per ICD-10 codes),Value
2003,Number,Both sexes,Total,12988
2004,Number,Both sexes,Total,13082
2005,Number,Both sexes,Total,13802
2006,Number,Both sexes,Total,13232
2007,Number,Both sexes,Total,14146
2008,Number,Both sexes,Total,13501
2009,Number,Both sexes,Total,13775
2010,Number,Both sexes,Total,13517
2011,Number,Both sexes,Total,13658
2012,Number,Both sexes,Total,13796
2013,Number,Both sexes,Total,13978
2014,Number,Both sexes,Total,14409
2015,Number,Both sexes,Total,15059
2016,Number,Both sexes,Total,13970
2017,Number,Both sexes,Total,14663
2018,Number,Both sexes,Total,14763
2019,Number,Both sexes,Total,15081
2020,Number,Both sexes,Total,16582
2003,Number,M,Total,6804
2004,Number,M,Total,6735
2005,Number,M,Total,7239
2006,Number,M,Total,6904
2007,Number,M,Total,7302
2008,Number,M,Total,7058
2009,Number,M,Total,7099
2010,Number,M,Total,6935
2011,Number,M,Total,7001
2012,Number,M,Total,7064
2013,Number,M,Total,7237
2014,Number,M,Total,7386
2015,Number,M,Total,7640
2016,Number,M,Total,7198
2017,Number,M,Total,7363
2018,Number,M,Total,7449
2019,Number,M,Total,7753
2020,Number,M,Total,8613
2003,Number,M,Infectious and parasitic diseases,59
2004,Number,M,Infectious and parasitic diseases,75
2005,Number,M,Infectious and parasitic diseases,78
2006,Number,M,Infectious and parasitic diseases,73
2007,Number,M,Infectious and parasitic diseases,70
2008,Number,M,Infectious and parasitic diseases,72
2009,Number,M,Infectious and parasitic diseases,75
2010,Number,M,Infectious and parasitic diseases,72
2011,Number,M,Infectious and parasitic diseases,79
2012,Number,M,Infectious and parasitic diseases,69
2013,Number,M,Infectious and parasitic diseases,73
2014,Number,M,Infectious and parasitic diseases,80
2015,Number,M,Infectious and parasitic diseases,92
2016,Number,M,Infectious and parasitic diseases,104
2017,Number,M,Infectious and parasitic diseases,85
2018,Number,M,Infectious and parasitic diseases,109
2019,Number,M,Infectious and parasitic diseases,119
2020,Number,M,Infectious and parasitic diseases,87
2003,Number,M,Neoplasms,1461
2004,Number,M,Neoplasms,1402
2005,Number,M,Neoplasms,1581
2006,Number,M,Neoplasms,1536
2007,Number,M,Neoplasms,1624
2008,Number,M,Neoplasms,1658
2009,Number,M,Neoplasms,1661
2010,Number,M,Neoplasms,1595
2011,Number,M,Neoplasms,1684
2012,Number,M,Neoplasms,1754
2013,Number,M,Neoplasms,1859
2014,Number,M,Neoplasms,1801
2015,Number,M,Neoplasms,1783
2016,Number,M,Neoplasms,1739
2017,Number,M,Neoplasms,1759
2018,Number,M,Neoplasms,1729
2019,Number,M,Neoplasms,1705
2020,Number,M,Neoplasms,1622
2003,Number,M,Diseases of the blood and blood forming organs,6
2004,Number,M,Diseases of the blood and blood forming organs,2
2005,Number,M,Diseases of the blood and blood forming organs,5
2006,Number,M,Diseases of the blood and blood forming organs,2
2007,Number,M,Diseases of the blood and blood forming organs,6
2008,Number,M,Diseases of the blood and blood forming organs,3
2009,Number,M,Diseases of the blood and blood forming organs,4
2010,Number,M,Diseases of the blood and blood forming organs,5
2011,Number,M,Diseases of the blood and blood forming organs,7
2012,Number,M,Diseases of the blood and blood forming organs,9
2013,Number,M,Diseases of the blood and blood forming organs,8
2014,Number,M,Diseases of the blood and blood forming organs,2
2015,Number,M,Diseases of the blood and blood forming organs,9
2016,Number,M,Diseases of the blood and blood forming organs,9
2017,Number,M,Diseases of the blood and blood forming organs,3
2018,Number,M,Diseases of the blood and blood forming organs,18
2019,Number,M,Diseases of the blood and blood forming organs,8
2020,Number,M,Diseases of the blood and blood forming organs,12
2003,Number,M,Diseases of the endocrine glands nutrition and metabolism,71
