Year,UNIT_MEASURE,Value
2003,Number per 1000 live births,3.5
2004,Number per 1000 live births,3.3
2005,Number per 1000 live births,3.9
2006,Number per 1000 live births,2.6
2007,Number per 1000 live births,3.9
2008,Number per 1000 live births,3.3
2009,Number per 1000 live births,3.0
2010,Number per 1000 live births,4.0
2011,Number per 1000 live births,3.0
2012,Number per 1000 live births,3.8
2013,Number per 1000 live births,3.9
2014,Number per 1000 live births,2.4
2015,Number per 1000 live births,1.8
2016,Number per 1000 live births,1.6
2017,Number per 1000 live births,1.8
2018,Number per 1000 live births,1.9
2019,Number per 1000 live births,1.4
2020,Number per 1000 live births,1.6
2021,Number per 1000 live births,1.9
