Year,UNIT_MEASURE,Age_group,Sex,Value
2013.0,Number,Total,Total,1171179.0
2013.0,Number,0-4,Total,53563.0
2013.0,Number,5-9,Total,54042.0
2013.0,Number,10-14,Total,58024.0
2013.0,Number,15-19,Total,69969.0
2013.0,Number,20-24,Total,66641.0
2013.0,Number,25-29,Total,77070.0
2013.0,Number,30-34,Total,80560.0
2013.0,Number,35-39,Total,80521.0
2013.0,Number,40-44,Total,75966.0
2013.0,Number,45-49,Total,83519.0
2013.0,Number,50-54,Total,92008.0
2013.0,Number,55-59,Total,94412.0
2013.0,Number,60-64,Total,85773.0
2013.0,Number,65-69,Total,59309.0
2013.0,Number,70-74,Total,56085.0
2013.0,Number,75-79,Total,47377.0
2013.0,Number,80-84,Total,25370.0
2013.0,Number,85-89,Total,8869.0
2013.0,Number,90 +,Total,2101.0
2013.0,Number,Total,M,572298.0
2013.0,Number,0-4,M,27499.0
2013.0,Number,5-9,M,27681.0
2013.0,Number,10-14,M,29826.0
2013.0,Number,15-19,M,36081.0
2013.0,Number,20-24,M,34593.0
2013.0,Number,25-29,M,39298.0
2013.0,Number,30-34,M,40877.0
2013.0,Number,35-39,M,41253.0
2013.0,Number,40-44,M,38815.0
2013.0,Number,45-49,M,41755.0
2013.0,Number,50-54,M,45161.0
2013.0,Number,55-59,M,45750.0
2013.0,Number,60-64,M,40723.0
2013.0,Number,65-69,M,26840.0
2013.0,Number,70-74,M,24039.0
2013.0,Number,75-79,M,18940.0
2013.0,Number,80-84,M,9573.0
2013.0,Number,85-89,M,2977.0
2013.0,Number,90 +,M,617.0
2013.0,Number,Total,F,598881.0
2013.0,Number,0-4,F,26064.0
2013.0,Number,5-9,F,26361.0
2013.0,Number,10-14,F,28198.0
2013.0,Number,15-19,F,33888.0
2013.0,Number,20-24,F,32048.0
2013.0,Number,25-29,F,37772.0
2013.0,Number,30-34,F,39683.0
2013.0,Number,35-39,F,39268.0
2013.0,Number,40-44,F,37151.0
2013.0,Number,45-49,F,41764.0
2013.0,Number,50-54,F,46847.0
2013.0,Number,55-59,F,48662.0
2013.0,Number,60-64,F,45050.0
2013.0,Number,65-69,F,32469.0
2013.0,Number,70-74,F,32046.0
2013.0,Number,75-79,F,28437.0
2013.0,Number,80-84,F,15797.0
