Year,UNIT_MEASURE,Type of users,Value
2016,Number,Total,114991
2017,Number,Total,113231
2018,Number,Total,113895
2019,Number,Total,111620
2020,Number,Total,107536
2016,Number,Minor users,23870
2017,Number,Minor users,20700
2018,Number,Minor users,18358
2019,Number,Minor users,19180
2020,Number,Minor users,17486
2016,Number,Adult users,91121
2017,Number,Adult users,92531
2018,Number,Adult users,95537
2019,Number,Adult users,92440
2020,Number,Adult users,90050
2021,Number,Total,87734
2021,Number,Minor users,13754
2021,Number,Adult users,73980
2022,Number,Total,94110
2022,Number,Minor users,14036
2022,Number,Adult users,80074
2023,Number,Total,84551
2023,Number,Minor users,11632
2023,Number,Adult users,72919
