Year,UNIT_MEASURE,type_of_education,Sex,Value
2017,Number,Total,Both sexes,54
2017,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,4
2017,Number,"engineering,_production_and_construction",Both sexes,6
2017,Number,information_and_communication_technologie,Both sexes,4
2017,Number,health_and_social_protection,Both sexes,1
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,2
2017,Number,"social_sciences,_journalism_and_information",Both sexes,14
2017,Number,"business,_administration_and_law",Both sexes,16
2017,Number,education,Both sexes,0
2017,Number,arts_and_humanities,Both sexes,7
2017,Number,services,Both sexes,0
2017,Number,Total,M,37
2017,Number,"natural_sciences,_mathematics_and_statistics",M,2
2017,Number,"engineering,_production_and_construction",M,3
2017,Number,information_and_communication_technologie,M,3
2017,Number,health_and_social_protection,M,1
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,2
2017,Number,"social_sciences,_journalism_and_information",M,10
2017,Number,"business,_administration_and_law",M,13
2017,Number,education,M,0
2017,Number,arts_and_humanities,M,3
2017,Number,services,M,0
2017,Number,Total,F,17
2017,Number,"natural_sciences,_mathematics_and_statistics",F,2
2017,Number,"engineering,_production_and_construction",F,3
2017,Number,information_and_communication_technologie,F,1
2017,Number,health_and_social_protection,F,0
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,0
2017,Number,"social_sciences,_journalism_and_information",F,4
2017,Number,"business,_administration_and_law",F,3
2017,Number,education,F,0
2017,Number,arts_and_humanities,F,4
2017,Number,services,F,0
2018,Number,Total,Both sexes,43
2018,Number,"natural_sciences,_mathematics_and_statistics",Both sexes,1
2018,Number,"engineering,_production_and_construction",Both sexes,3
2018,Number,information_and_communication_technologie,Both sexes,3
2018,Number,health_and_social_protection,Both sexes,0
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Both sexes,4
2018,Number,"social_sciences,_journalism_and_information",Both sexes,14
2018,Number,"business,_administration_and_law",Both sexes,12
2018,Number,education,Both sexes,1
2018,Number,arts_and_humanities,Both sexes,5
2018,Number,services,Both sexes,0
2018,Number,Total,M,28
2018,Number,"natural_sciences,_mathematics_and_statistics",M,1
2018,Number,"engineering,_production_and_construction",M,1
2018,Number,information_and_communication_technologie,M,3
2018,Number,health_and_social_protection,M,0
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
