Year,UNIT_MEASURE,Value
2003,Number of children per woman 15-49,1.33
2004,Number of children per woman 15-49,1.35
2005,Number of children per woman 15-49,1.31
2006,Number of children per woman 15-49,1.34
2007,Number of children per woman 15-49,1.3
2008,Number of children per woman 15-49,1.32
2009,Number of children per woman 15-49,1.39
2010,Number of children per woman 15-49,1.33
2011,Number of children per woman 15-49,1.27
2012,Number of children per woman 15-49,1.35
2013,Number of children per woman 15-49,1.3
2014,Number of children per woman 15-49,1.28
2015,Number of children per woman 15-49,1.3
2016,Number of children per woman 15-49,1.32
2017,Number of children per woman 15-49,1.31
2018,Number of children per woman 15-49,1.36
2019,Number of children per woman 15-49,1.34
2020,Number of children per woman 15-49,1.38
2021,Number of children per woman 15-49,1.41
