Year,UNIT_MEASURE,scientific_field,TYPE_OF_EDUCATION,Sex,Value
2017,Number,TOTAL,enrolled_in_master's_studies,Both sexes,2140
2017,Number,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,F,917
2017,Number,"engineering,_production_and_construction",enrolled_in_master's_studies,M,1223
2017,Number,information_and_communication_technologies,enrolled_in_master_studies,Both sexes,31
2017,Number,health_and_social_protection,enrolled_in_specialist_studies,F,21
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,10
2017,Number,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Both sexes,73
2017,Number,"business,_administration_and_law",enrolled_in_specialist_studies,F,34
2017,Number,education,enrolled_in_specialist_studies,M,39
2017,Number,services,doctoral_students,Both sexes,130
2017,Number,TOTAL,doctoral_students,F,70
2017,Number,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,60
2017,Number,"engineering,_production_and_construction",enrolled_in_master's_studies,Both sexes,67
2017,Number,information_and_communication_technologies,enrolled_in_master's_studies,F,26
2017,Number,health_and_social_protection,enrolled_in_master's_studies,M,41
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,Both sexes,1
2017,Number,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,F,0
2017,Number,"business,_administration_and_law",enrolled_in_specialist_studies,M,1
2017,Number,education,enrolled_in_specialist_studies,Both sexes,0
2017,Number,services,enrolled_in_specialist_studies,F,0
2017,Number,TOTAL,enrolled_in_specialist_studies,M,0
2017,Number,"natural_sciences,_mathematics_and_statistics",doctoral_students,Both sexes,10
2017,Number,"engineering,_production_and_construction",doctoral_students,F,6
2017,Number,information_and_communication_technologies,doctoral_students,M,4
2017,Number,health_and_social_protection,enrolled_in_master's_studies,Both sexes,347
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,F,208
2017,Number,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,M,139
2017,Number,"business,_administration_and_law",enrolled_in_master_studies,Both sexes,0
2017,Number,education,enrolled_in_specialist_studies,F,0
2017,Number,services,enrolled_in_specialist_studies,M,0
2017,Number,TOTAL,enrolled_in_specialist_studies,Both sexes,0
2017,Number,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,F,0
2017,Number,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,0
2017,Number,information_and_communication_technologies,doctoral_students,Both sexes,4
2017,Number,health_and_social_protection,doctoral_students,F,3
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,M,1
2017,Number,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Both sexes,99
2017,Number,"business,_administration_and_law",enrolled_in_master's_studies,F,80
2017,Number,education,enrolled_in_master's_studies,M,19
2017,Number,services,enrolled_in_master_studies,Both sexes,22
2017,Number,TOTAL,enrolled_in_specialist_studies,F,14
2017,Number,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,8
2017,Number,"engineering,_production_and_construction",enrolled_in_specialist_studies,Both sexes,0
2017,Number,information_and_communication_technologies,enrolled_in_specialist_studies,F,0
2017,Number,health_and_social_protection,enrolled_in_specialist_studies,M,0
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Both sexes,12
2017,Number,"social_sciences,_journalism_and_information",doctoral_students,F,9
2017,Number,"business,_administration_and_law",doctoral_students,M,3
2017,Number,education,enrolled_in_master's_studies,Both sexes,35
2017,Number,services,enrolled_in_master's_studies,F,8
2017,Number,TOTAL,enrolled_in_master's_studies,M,27
