Year,UNIT_MEASURE,Municipality,Sex,Age,Value
2013,Number,PRNJAVOR,Both sexes,Total,34357
2013,Number,PRNJAVOR,M,Total,16675
2013,Number,PRNJAVOR,F,Total,17682
2013,Number,RIBNIK,Both sexes,Total,5851
2013,Number,RIBNIK,M,Total,2900
2013,Number,RIBNIK,F,Total,2951
2013,Number,ROGATICA,Both sexes,Total,10302
2013,Number,ROGATICA,M,Total,5053
2013,Number,ROGATICA,F,Total,5249
2013,Number,RUDO,Both sexes,Total,7578
2013,Number,RUDO,M,Total,3840
2013,Number,RUDO,F,Total,3738
2013,Number,SOKOLAC,Both sexes,Total,11620
2013,Number,SOKOLAC,M,Total,5723
2013,Number,SOKOLAC,F,Total,5897
2013,Number,SRBAC,Both sexes,Total,16933
2013,Number,SRBAC,M,Total,8295
2013,Number,SRBAC,F,Total,8638
2013,Number,SREBRENICA,Both sexes,Total,11698
2013,Number,SREBRENICA,M,Total,5714
2013,Number,SREBRENICA,F,Total,5984
2013,Number,TESLIC,Both sexes,Total,37236
2013,Number,TESLIC,M,Total,17894
2013,Number,TESLIC,F,Total,19342
2013,Number,TREBINJE,Both sexes,Total,28239
2013,Number,TREBINJE,M,Total,13760
2013,Number,TREBINJE,F,Total,14479
2013,Number,TRNOVO,Both sexes,Total,1983
2013,Number,TRNOVO,M,Total,953
2013,Number,TRNOVO,F,Total,1030
2013,Number,UGLJEVIK,Both sexes,Total,15118
2013,Number,UGLJEVIK,M,Total,7626
2013,Number,UGLJEVIK,F,Total,7492
2013,Number,FOCA,Both sexes,Total,17580
2013,Number,FOCA,M,Total,8880
2013,Number,FOCA,F,Total,8700
2013,Number,HAN PIJESAK,Both sexes,Total,3445
2013,Number,HAN PIJESAK,M,Total,1632
2013,Number,HAN PIJESAK,F,Total,1813
2013,Number,CAJNICE,Both sexes,Total,4679
2013,Number,CAJNICE,M,Total,2347
2013,Number,CAJNICE,F,Total,2332
2013,Number,CELINAC,Both sexes,Total,15117
2013,Number,CELINAC,M,Total,7477
2013,Number,CELINAC,F,Total,7640
2013,Number,SAMAC,Both sexes,Total,16308
2013,Number,SAMAC,M,Total,7908
2013,Number,SAMAC,F,Total,8400
2013,Number,SEKOVICI,Both sexes,Total,6323
2013,Number,SEKOVICI,M,Total,3103
2013,Number,SEKOVICI,F,Total,3220
2013,Number,SIPOVO,Both sexes,Total,9969
2013,Number,SIPOVO,M,Total,5046
2013,Number,SIPOVO,F,Total,4923
2013,Number,BANJA LUKA,Both sexes,0-4,9436
2013,Number,BANJA LUKA,M,0-4,4803
2013,Number,BANJA LUKA,F,0-4,4633
2013,Number,BERKOVICI,Both sexes,0-4,91
2013,Number,BERKOVICI,M,0-4,44
2013,Number,BERKOVICI,F,0-4,47
2013,Number,BIJELJINA,Both sexes,0-4,4931
2013,Number,BIJELJINA,M,0-4,2561
2013,Number,BIJELJINA,F,0-4,2370
2013,Number,BILECA,Both sexes,0-4,486
2013,Number,BILECA,M,0-4,254
2013,Number,BILECA,F,0-4,232
2013,Number,BRATUNAC,Both sexes,0-4,888
2013,Number,BRATUNAC,M,0-4,480
2013,Number,BRATUNAC,F,0-4,408
2013,Number,BROD,Both sexes,0-4,745
2013,Number,BROD,M,0-4,389
2013,Number,BROD,F,0-4,356
2013,Number,VISEGRAD,Both sexes,0-4,325
2013,Number,VISEGRAD,M,0-4,153
2013,Number,VISEGRAD,F,0-4,172
2013,Number,VLASENICA,Both sexes,0-4,478
2013,Number,VLASENICA,M,0-4,253
2013,Number,VLASENICA,F,0-4,225
2013,Number,VUKOSAVLJE,Both sexes,0-4,198
2013,Number,VUKOSAVLJE,M,0-4,101
2013,Number,VUKOSAVLJE,F,0-4,97
2013,Number,GACKO,Both sexes,0-4,413
2013,Number,GACKO,M,0-4,203
2013,Number,GACKO,F,0-4,210
2013,Number,GRADISKA,Both sexes,0-4,2032
2013,Number,GRADISKA,M,0-4,1011
2013,Number,GRADISKA,F,0-4,1021
2013,Number,DERVENTA,Both sexes,0-4,1125
2013,Number,DERVENTA,M,0-4,554
2013,Number,DERVENTA,F,0-4,571
2013,Number,DOBOJ,Both sexes,0-4,3250
2013,Number,DOBOJ,M,0-4,1656
2013,Number,DOBOJ,F,0-4,1594
2013,Number,DONJI ZABAR,Both sexes,0-4,142
2013,Number,DONJI ZABAR,M,0-4,69
2013,Number,DONJI ZABAR,F,0-4,73
2013,Number,ZVORNIK,Both sexes,0-4,2890
2013,Number,ZVORNIK,M,0-4,1454
2013,Number,ZVORNIK,F,0-4,1436
2013,Number,ISTOCNA ILIDZA,Both sexes,0-4,642
2013,Number,ISTOCNA ILIDZA,M,0-4,338
2013,Number,ISTOCNA ILIDZA,F,0-4,304
2013,Number,ISTOCNI DRVAR,Both sexes,0-4,-
2013,Number,ISTOCNI DRVAR,M,0-4,-
2013,Number,ISTOCNI DRVAR,F,0-4,-
2013,Number,ISTOCNI MOSTAR,Both sexes,0-4,7
2013,Number,ISTOCNI MOSTAR,M,0-4,4
2013,Number,ISTOCNI MOSTAR,F,0-4,3
2013,Number,ISTOCNI STARI GRAD,Both sexes,0-4,40
2013,Number,ISTOCNI STARI GRAD,M,0-4,23
2013,Number,ISTOCNI STARI GRAD,F,0-4,17
2013,Number,ISTOCNO NOVO SARAJEVO,Both sexes,0-4,619
2013,Number,ISTOCNO NOVO SARAJEVO,M,0-4,295
2013,Number,ISTOCNO NOVO SARAJEVO,F,0-4,324
2013,Number,JEZERO,Both sexes,0-4,41
2013,Number,JEZERO,M,0-4,20
2013,Number,JEZERO,F,0-4,21
2013,Number,KALINOVIK,Both sexes,0-4,51
2013,Number,KALINOVIK,M,0-4,25
2013,Number,KALINOVIK,F,0-4,26
2013,Number,KNEZEVO,Both sexes,0-4,400
2013,Number,KNEZEVO,M,0-4,210
2013,Number,KNEZEVO,F,0-4,190
2013,Number,KOZARSKA DUBICA,Both sexes,0-4,780
2013,Number,KOZARSKA DUBICA,M,0-4,399
2013,Number,KOZARSKA DUBICA,F,0-4,381
2013,Number,KOSTAJNICA,Both sexes,0-4,216
2013,Number,KOSTAJNICA,M,0-4,100
2013,Number,KOSTAJNICA,F,0-4,116
2013,Number,KOTOR VAROS,Both sexes,0-4,896
2013,Number,KOTOR VAROS,M,0-4,468
2013,Number,KOTOR VAROS,F,0-4,428
2013,Number,KRUPA NA UNI,Both sexes,0-4,48
2013,Number,KRUPA NA UNI,M,0-4,26
2013,Number,KRUPA NA UNI,F,0-4,22
2013,Number,KUPRES,Both sexes,0-4,6
2013,Number,KUPRES,M,0-4,6
2013,Number,KUPRES,F,0-4,-
2013,Number,LAKTASI,Both sexes,0-4,1667
2013,Number,LAKTASI,M,0-4,844
2013,Number,LAKTASI,F,0-4,823
2013,Number,LOPARE,Both sexes,0-4,498
2013,Number,LOPARE,M,0-4,245
2013,Number,LOPARE,F,0-4,253
2013,Number,LJUBINJE,Both sexes,0-4,149
2013,Number,LJUBINJE,M,0-4,73
2013,Number,LJUBINJE,F,0-4,76
2013,Number,MILICI,Both sexes,0-4,453
2013,Number,MILICI,M,0-4,231
2013,Number,MILICI,F,0-4,222
2013,Number,MODRICA,Both sexes,0-4,976
2013,Number,MODRICA,M,0-4,501
2013,Number,MODRICA,F,0-4,475
2013,Number,MRKONJIC GRAD,Both sexes,0-4,664
2013,Number,MRKONJIC GRAD,M,0-4,327
2013,Number,MRKONJIC GRAD,F,0-4,337
2013,Number,NEVESINJE,Both sexes,0-4,549
2013,Number,NEVESINJE,M,0-4,292
2013,Number,NEVESINJE,F,0-4,257
2013,Number,NOVI GRAD,Both sexes,0-4,940
2013,Number,NOVI GRAD,M,0-4,476
2013,Number,NOVI GRAD,F,0-4,464
2013,Number,NOVO GORAZDE,Both sexes,0-4,101
2013,Number,NOVO GORAZDE,M,0-4,49
2013,Number,NOVO GORAZDE,F,0-4,52
2013,Number,OSMACI,Both sexes,0-4,265
2013,Number,OSMACI,M,0-4,143
2013,Number,OSMACI,F,0-4,122
2013,Number,OSTRA LUKA,Both sexes,0-4,103
2013,Number,OSTRA LUKA,M,0-4,53
2013,Number,OSTRA LUKA,F,0-4,50
2013,Number,PALE,Both sexes,0-4,890
2013,Number,PALE,M,0-4,457
2013,Number,PALE,F,0-4,433
2013,Number,PELAGICEVO,Both sexes,0-4,120
2013,Number,PELAGICEVO,M,0-4,57
2013,Number,PELAGICEVO,F,0-4,63
2013,Number,PETROVAC,Both sexes,0-4,13
2013,Number,PETROVAC,M,0-4,8
2013,Number,PETROVAC,F,0-4,5
2013,Number,PETROVO,Both sexes,0-4,259
2013,Number,PETROVO,M,0-4,142
2013,Number,PETROVO,F,0-4,117
2013,Number,PRIJEDOR,Both sexes,0-4,3208
2013,Number,PRIJEDOR,M,0-4,1668
2013,Number,PRIJEDOR,F,0-4,1540
2013,Number,PRNJAVOR,Both sexes,0-4,1554
2013,Number,PRNJAVOR,M,0-4,796
2013,Number,PRNJAVOR,F,0-4,758
2013,Number,RIBNIK,Both sexes,0-4,239
2013,Number,RIBNIK,M,0-4,117
2013,Number,RIBNIK,F,0-4,122
2013,Number,ROGATICA,Both sexes,0-4,502
2013,Number,ROGATICA,M,0-4,249
2013,Number,ROGATICA,F,0-4,253
2013,Number,RUDO,Both sexes,0-4,282
2013,Number,RUDO,M,0-4,147
2013,Number,RUDO,F,0-4,135
2013,Number,SOKOLAC,Both sexes,0-4,493
2013,Number,SOKOLAC,M,0-4,256
2013,Number,SOKOLAC,F,0-4,237
2013,Number,SRBAC,Both sexes,0-4,809
2013,Number,SRBAC,M,0-4,398
2013,Number,SRBAC,F,0-4,411
2013,Number,SREBRENICA,Both sexes,0-4,489
2013,Number,SREBRENICA,M,0-4,247
2013,Number,SREBRENICA,F,0-4,242
2013,Number,TESLIC,Both sexes,0-4,1951
2013,Number,TESLIC,M,0-4,1040
2013,Number,TESLIC,F,0-4,911
2013,Number,TREBINJE,Both sexes,0-4,1397
2013,Number,TREBINJE,M,0-4,744
2013,Number,TREBINJE,F,0-4,653
2013,Number,TRNOVO,Both sexes,0-4,65
2013,Number,TRNOVO,M,0-4,30
2013,Number,TRNOVO,F,0-4,35
2013,Number,UGLJEVIK,Both sexes,0-4,668
2013,Number,UGLJEVIK,M,0-4,366
2013,Number,UGLJEVIK,F,0-4,302
2013,Number,FOCA,Both sexes,0-4,626
2013,Number,FOCA,M,0-4,356
2013,Number,FOCA,F,0-4,270
2013,Number,HAN PIJESAK,Both sexes,0-4,132
2013,Number,HAN PIJESAK,M,0-4,70
2013,Number,HAN PIJESAK,F,0-4,62
2013,Number,CAJNICE,Both sexes,0-4,181
2013,Number,CAJNICE,M,0-4,84
2013,Number,CAJNICE,F,0-4,97
2013,Number,CELINAC,Both sexes,0-4,758
2013,Number,CELINAC,M,0-4,394
2013,Number,CELINAC,F,0-4,364
2013,Number,SAMAC,Both sexes,0-4,567
2013,Number,SAMAC,M,0-4,284
2013,Number,SAMAC,F,0-4,283
2013,Number,SEKOVICI,Both sexes,0-4,237
2013,Number,SEKOVICI,M,0-4,120
2013,Number,SEKOVICI,F,0-4,117
2013,Number,SIPOVO,Both sexes,0-4,424
2013,Number,SIPOVO,M,0-4,230
2013,Number,SIPOVO,F,0-4,194
2013,Number,BANJA LUKA,Both sexes,5-9,8511
2013,Number,BANJA LUKA,M,5-9,4351
2013,Number,BANJA LUKA,F,5-9,4160
2013,Number,BERKOVICI,Both sexes,5-9,126
2013,Number,BERKOVICI,M,5-9,72
2013,Number,BERKOVICI,F,5-9,54
2013,Number,BIJELJINA,Both sexes,5-9,4936
2013,Number,BIJELJINA,M,5-9,2547
2013,Number,BIJELJINA,F,5-9,2389
2013,Number,BILECA,Both sexes,5-9,477
2013,Number,BILECA,M,5-9,262
2013,Number,BILECA,F,5-9,215
2013,Number,BRATUNAC,Both sexes,5-9,990
2013,Number,BRATUNAC,M,5-9,495
2013,Number,BRATUNAC,F,5-9,495
2013,Number,BROD,Both sexes,5-9,698
2013,Number,BROD,M,5-9,370
2013,Number,BROD,F,5-9,328
2013,Number,VISEGRAD,Both sexes,5-9,412
2013,Number,VISEGRAD,M,5-9,203
2013,Number,VISEGRAD,F,5-9,209
2013,Number,VLASENICA,Both sexes,5-9,530
2013,Number,VLASENICA,M,5-9,271
2013,Number,VLASENICA,F,5-9,259
2013,Number,VUKOSAVLJE,Both sexes,5-9,215
2013,Number,VUKOSAVLJE,M,5-9,109
2013,Number,VUKOSAVLJE,F,5-9,106
2013,Number,GACKO,Both sexes,5-9,433
2013,Number,GACKO,M,5-9,233
2013,Number,GACKO,F,5-9,200
2013,Number,GRADISKA,Both sexes,5-9,2192
2013,Number,GRADISKA,M,5-9,1123
2013,Number,GRADISKA,F,5-9,1069
2013,Number,DERVENTA,Both sexes,5-9,1168
2013,Number,DERVENTA,M,5-9,608
2013,Number,DERVENTA,F,5-9,560
2013,Number,DOBOJ,Both sexes,5-9,3208
2013,Number,DOBOJ,M,5-9,1602
2013,Number,DOBOJ,F,5-9,1606
2013,Number,DONJI ZABAR,Both sexes,5-9,175
2013,Number,DONJI ZABAR,M,5-9,99
2013,Number,DONJI ZABAR,F,5-9,76
2013,Number,ZVORNIK,Both sexes,5-9,2982
2013,Number,ZVORNIK,M,5-9,1540
2013,Number,ZVORNIK,F,5-9,1442
2013,Number,ISTOCNA ILIDZA,Both sexes,5-9,664
2013,Number,ISTOCNA ILIDZA,M,5-9,317
2013,Number,ISTOCNA ILIDZA,F,5-9,347
2013,Number,ISTOCNI DRVAR,Both sexes,5-9,1
2013,Number,ISTOCNI DRVAR,M,5-9,1
2013,Number,ISTOCNI DRVAR,F,5-9,-
2013,Number,ISTOCNI MOSTAR,Both sexes,5-9,11
2013,Number,ISTOCNI MOSTAR,M,5-9,6
2013,Number,ISTOCNI MOSTAR,F,5-9,5
2013,Number,ISTOCNI STARI GRAD,Both sexes,5-9,43
2013,Number,ISTOCNI STARI GRAD,M,5-9,24
2013,Number,ISTOCNI STARI GRAD,F,5-9,19
2013,Number,ISTOCNO NOVO SARAJEVO,Both sexes,5-9,480
2013,Number,ISTOCNO NOVO SARAJEVO,M,5-9,239
2013,Number,ISTOCNO NOVO SARAJEVO,F,5-9,241
2013,Number,JEZERO,Both sexes,5-9,47
2013,Number,JEZERO,M,5-9,22
2013,Number,JEZERO,F,5-9,25
2013,Number,KALINOVIK,Both sexes,5-9,66
2013,Number,KALINOVIK,M,5-9,30
2013,Number,KALINOVIK,F,5-9,36
2013,Number,KNEZEVO,Both sexes,5-9,410
2013,Number,KNEZEVO,M,5-9,213
2013,Number,KNEZEVO,F,5-9,197
2013,Number,KOZARSKA DUBICA,Both sexes,5-9,806
2013,Number,KOZARSKA DUBICA,M,5-9,399
2013,Number,KOZARSKA DUBICA,F,5-9,407
2013,Number,KOSTAJNICA,Both sexes,5-9,228
2013,Number,KOSTAJNICA,M,5-9,127
2013,Number,KOSTAJNICA,F,5-9,101
2013,Number,KOTOR VAROS,Both sexes,5-9,932
2013,Number,KOTOR VAROS,M,5-9,470
2013,Number,KOTOR VAROS,F,5-9,462
2013,Number,KRUPA NA UNI,Both sexes,5-9,56
2013,Number,KRUPA NA UNI,M,5-9,29
2013,Number,KRUPA NA UNI,F,5-9,27
2013,Number,KUPRES,Both sexes,5-9,7
2013,Number,KUPRES,M,5-9,4
2013,Number,KUPRES,F,5-9,3
2013,Number,LAKTASI,Both sexes,5-9,1838
2013,Number,LAKTASI,M,5-9,929
2013,Number,LAKTASI,F,5-9,909
2013,Number,LOPARE,Both sexes,5-9,592
2013,Number,LOPARE,M,5-9,301
2013,Number,LOPARE,F,5-9,291
2013,Number,LJUBINJE,Both sexes,5-9,124
2013,Number,LJUBINJE,M,5-9,58
2013,Number,LJUBINJE,F,5-9,66
2013,Number,MILICI,Both sexes,5-9,505
2013,Number,MILICI,M,5-9,260
2013,Number,MILICI,F,5-9,245
2013,Number,MODRICA,Both sexes,5-9,1095
2013,Number,MODRICA,M,5-9,558
2013,Number,MODRICA,F,5-9,537
2013,Number,MRKONJIC GRAD,Both sexes,5-9,721
2013,Number,MRKONJIC GRAD,M,5-9,389
2013,Number,MRKONJIC GRAD,F,5-9,332
2013,Number,NEVESINJE,Both sexes,5-9,647
2013,Number,NEVESINJE,M,5-9,329
2013,Number,NEVESINJE,F,5-9,318
2013,Number,NOVI GRAD,Both sexes,5-9,1008
2013,Number,NOVI GRAD,M,5-9,528
2013,Number,NOVI GRAD,F,5-9,480
2013,Number,NOVO GORAZDE,Both sexes,5-9,96
2013,Number,NOVO GORAZDE,M,5-9,43
2013,Number,NOVO GORAZDE,F,5-9,53
2013,Number,OSMACI,Both sexes,5-9,260
2013,Number,OSMACI,M,5-9,138
2013,Number,OSMACI,F,5-9,122
2013,Number,OSTRA LUKA,Both sexes,5-9,134
2013,Number,OSTRA LUKA,M,5-9,69
2013,Number,OSTRA LUKA,F,5-9,65
2013,Number,PALE,Both sexes,5-9,866
2013,Number,PALE,M,5-9,439
2013,Number,PALE,F,5-9,427
2013,Number,PELAGICEVO,Both sexes,5-9,162
2013,Number,PELAGICEVO,M,5-9,85
2013,Number,PELAGICEVO,F,5-9,77
2013,Number,PETROVAC,Both sexes,5-9,18
2013,Number,PETROVAC,M,5-9,10
2013,Number,PETROVAC,F,5-9,8
2013,Number,PETROVO,Both sexes,5-9,227
2013,Number,PETROVO,M,5-9,108
2013,Number,PETROVO,F,5-9,119
2013,Number,PRIJEDOR,Both sexes,5-9,3333
2013,Number,PRIJEDOR,M,5-9,1727
2013,Number,PRIJEDOR,F,5-9,1606
2013,Number,PRNJAVOR,Both sexes,5-9,1572
2013,Number,PRNJAVOR,M,5-9,804
2013,Number,PRNJAVOR,F,5-9,768
2013,Number,RIBNIK,Both sexes,5-9,247
2013,Number,RIBNIK,M,5-9,134
2013,Number,RIBNIK,F,5-9,113
2013,Number,ROGATICA,Both sexes,5-9,473
2013,Number,ROGATICA,M,5-9,246
2013,Number,ROGATICA,F,5-9,227
2013,Number,RUDO,Both sexes,5-9,317
2013,Number,RUDO,M,5-9,169
2013,Number,RUDO,F,5-9,148
2013,Number,SOKOLAC,Both sexes,5-9,539
2013,Number,SOKOLAC,M,5-9,273
2013,Number,SOKOLAC,F,5-9,266
2013,Number,SRBAC,Both sexes,5-9,720
2013,Number,SRBAC,M,5-9,360
2013,Number,SRBAC,F,5-9,360
2013,Number,SREBRENICA,Both sexes,5-9,494
2013,Number,SREBRENICA,M,5-9,242
2013,Number,SREBRENICA,F,5-9,252
2013,Number,TESLIC,Both sexes,5-9,1916
2013,Number,TESLIC,M,5-9,1014
2013,Number,TESLIC,F,5-9,902
2013,Number,TREBINJE,Both sexes,5-9,1395
2013,Number,TREBINJE,M,5-9,711
2013,Number,TREBINJE,F,5-9,684
2013,Number,TRNOVO,Both sexes,5-9,66
2013,Number,TRNOVO,M,5-9,36
2013,Number,TRNOVO,F,5-9,30
2013,Number,UGLJEVIK,Both sexes,5-9,730
2013,Number,UGLJEVIK,M,5-9,369
2013,Number,UGLJEVIK,F,5-9,361
2013,Number,FOCA,Both sexes,5-9,727
2013,Number,FOCA,M,5-9,377
2013,Number,FOCA,F,5-9,350
2013,Number,HAN PIJESAK,Both sexes,5-9,126
2013,Number,HAN PIJESAK,M,5-9,66
2013,Number,HAN PIJESAK,F,5-9,60
2013,Number,CAJNICE,Both sexes,5-9,209
2013,Number,CAJNICE,M,5-9,99
2013,Number,CAJNICE,F,5-9,110
2013,Number,CELINAC,Both sexes,5-9,723
2013,Number,CELINAC,M,5-9,372
2013,Number,CELINAC,F,5-9,351
2013,Number,SAMAC,Both sexes,5-9,669
2013,Number,SAMAC,M,5-9,351
2013,Number,SAMAC,F,5-9,318
2013,Number,SEKOVICI,Both sexes,5-9,270
2013,Number,SEKOVICI,M,5-9,115
2013,Number,SEKOVICI,F,5-9,155
2013,Number,SIPOVO,Both sexes,5-9,453
2013,Number,SIPOVO,M,5-9,241
2013,Number,SIPOVO,F,5-9,212
2013,Number,BANJA LUKA,Both sexes,10-14,8447
2013,Number,BANJA LUKA,M,10-14,4330
2013,Number,BANJA LUKA,F,10-14,4117
2013,Number,BERKOVICI,Both sexes,10-14,140
2013,Number,BERKOVICI,M,10-14,71
2013,Number,BERKOVICI,F,10-14,69
2013,Number,BIJELJINA,Both sexes,10-14,5343
2013,Number,BIJELJINA,M,10-14,2717
2013,Number,BIJELJINA,F,10-14,2626
2013,Number,BILECA,Both sexes,10-14,608
2013,Number,BILECA,M,10-14,294
2013,Number,BILECA,F,10-14,314
2013,Number,BRATUNAC,Both sexes,10-14,861
2013,Number,BRATUNAC,M,10-14,450
2013,Number,BRATUNAC,F,10-14,411
2013,Number,BROD,Both sexes,10-14,771
2013,Number,BROD,M,10-14,401
2013,Number,BROD,F,10-14,370
2013,Number,VISEGRAD,Both sexes,10-14,431
2013,Number,VISEGRAD,M,10-14,219
2013,Number,VISEGRAD,F,10-14,212
2013,Number,VLASENICA,Both sexes,10-14,518
2013,Number,VLASENICA,M,10-14,276
2013,Number,VLASENICA,F,10-14,242
2013,Number,VUKOSAVLJE,Both sexes,10-14,249
2013,Number,VUKOSAVLJE,M,10-14,123
2013,Number,VUKOSAVLJE,F,10-14,126
2013,Number,GACKO,Both sexes,10-14,527
2013,Number,GACKO,M,10-14,296
2013,Number,GACKO,F,10-14,231
2013,Number,GRADISKA,Both sexes,10-14,2332
2013,Number,GRADISKA,M,10-14,1175
2013,Number,GRADISKA,F,10-14,1157
