Year,UNIT_MEASURE,scientific_field,Value
2017,NUMBER,education,542
2017,NUMBER,arts_and_humanities,429
2017,NUMBER,"social_sciences,_journalism_and_information",725
2017,NUMBER,"business,_administration_and_law",1677
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",209
2017,NUMBER,information_and_communication_technologies,262
2017,NUMBER,"engineering,_production_and_construction",367
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2017,NUMBER,health_and_social_protection,547
2017,NUMBER,services,118
2018,NUMBER,education,459
2018,NUMBER,arts_and_humanities,403
2018,NUMBER,"social_sciences,_journalism_and_information",524
2018,NUMBER,"business,_administration_and_law",1320
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",165
2018,NUMBER,information_and_communication_technologies,294
2018,NUMBER,"engineering,_production_and_construction",464
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2018,NUMBER,health_and_social_protection,629
2018,NUMBER,services,101
2019,NUMBER,education,406
2019,NUMBER,arts_and_humanities,385
2019,NUMBER,"social_sciences,_journalism_and_information",482
2019,NUMBER,"business,_administration_and_law",1110
2019,NUMBER,"natural_sciences,_mathematics_and_statistics",168
2019,NUMBER,information_and_communication_technologies,231
2019,NUMBER,"engineering,_production_and_construction",461
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",238
2019,NUMBER,health_and_social_protection,534
2019,NUMBER,services,129
2020,NUMBER,education,336
2020,NUMBER,arts_and_humanities,433
2020,NUMBER,"social_sciences,_journalism_and_information",588
2020,NUMBER,"business,_administration_and_law",991
2020,NUMBER,"natural_sciences,_mathematics_and_statistics",166
2020,NUMBER,information_and_communication_technologies,254
2020,NUMBER,"engineering,_production_and_construction",438
2020,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",229
2020,NUMBER,health_and_social_protection,590
2020,NUMBER,services,159
