Year,UNIT_MEASURE,SEX,CAUSE_OF_DEATH,Value
2003,NUMBER,_T,deaths,12988
2004,NUMBER,_T,deaths,13082
2005,NUMBER,_T,deaths,13802
2006,NUMBER,_T,deaths,13232
2007,NUMBER,_T,deaths,14146
2008,NUMBER,_T,deaths,13501
2009,NUMBER,_T,deaths,13775
2010,NUMBER,_T,deaths,13517
2011,NUMBER,_T,deaths,13658
2012,NUMBER,_T,deaths,13796
2013,NUMBER,_T,deaths,13978
2014,NUMBER,_T,deaths,14409
2015,NUMBER,_T,deaths,15059
2016,NUMBER,_T,deaths,13970
2017,NUMBER,_T,deaths,14663
2018,NUMBER,_T,deaths,14763
2019,NUMBER,_T,deaths,15081
2020,NUMBER,_T,deaths,16582
2003,NUMBER,M,deaths,6804
2004,NUMBER,M,deaths,6735
2005,NUMBER,M,deaths,7239
2006,NUMBER,M,deaths,6904
2007,NUMBER,M,deaths,7302
2008,NUMBER,M,deaths,7058
2009,NUMBER,M,deaths,7099
2010,NUMBER,M,deaths,6935
2011,NUMBER,M,deaths,7001
2012,NUMBER,M,deaths,7064
2013,NUMBER,M,deaths,7237
2014,NUMBER,M,deaths,7386
2015,NUMBER,M,deaths,7640
2016,NUMBER,M,deaths,7198
2017,NUMBER,M,deaths,7363
2018,NUMBER,M,deaths,7449
2019,NUMBER,M,deaths,7753
2020,NUMBER,M,deaths,8613
2003,NUMBER,M,infectious_and_parasitic_diseases,59
2004,NUMBER,M,infectious_and_parasitic_diseases,75
2005,NUMBER,M,infectious_and_parasitic_diseases,78
2006,NUMBER,M,infectious_and_parasitic_diseases,73
2007,NUMBER,M,infectious_and_parasitic_diseases,70
2008,NUMBER,M,infectious_and_parasitic_diseases,72
2009,NUMBER,M,infectious_and_parasitic_diseases,75
2010,NUMBER,M,infectious_and_parasitic_diseases,72
2011,NUMBER,M,infectious_and_parasitic_diseases,79
2012,NUMBER,M,infectious_and_parasitic_diseases,69
2013,NUMBER,M,infectious_and_parasitic_diseases,73
2014,NUMBER,M,infectious_and_parasitic_diseases,80
2015,NUMBER,M,infectious_and_parasitic_diseases,92
2016,NUMBER,M,infectious_and_parasitic_diseases,104
2017,NUMBER,M,infectious_and_parasitic_diseases,85
2018,NUMBER,M,infectious_and_parasitic_diseases,109
2019,NUMBER,M,infectious_and_parasitic_diseases,119
2020,NUMBER,M,infectious_and_parasitic_diseases,87
2003,NUMBER,M,neoplasms,1461
2004,NUMBER,M,neoplasms,1402
2005,NUMBER,M,neoplasms,1581
2006,NUMBER,M,neoplasms,1536
2007,NUMBER,M,neoplasms,1624
2008,NUMBER,M,neoplasms,1658
2009,NUMBER,M,neoplasms,1661
2010,NUMBER,M,neoplasms,1595
2011,NUMBER,M,neoplasms,1684
2012,NUMBER,M,neoplasms,1754
2013,NUMBER,M,neoplasms,1859
2014,NUMBER,M,neoplasms,1801
2015,NUMBER,M,neoplasms,1783
2016,NUMBER,M,neoplasms,1739
2017,NUMBER,M,neoplasms,1759
2018,NUMBER,M,neoplasms,1729
2019,NUMBER,M,neoplasms,1705
2020,NUMBER,M,neoplasms,1622
2003,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,6
2004,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,2
2005,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,5
2006,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,2
2007,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,6
2008,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,3
2009,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,4
2010,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,5
2011,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,7
2012,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,9
2013,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,8
2014,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,2
2015,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,9
2016,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,9
2017,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,3
2018,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,18
2019,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,8
2020,NUMBER,M,diseases_of_the_blood_and_blood_forming_organs,12
2003,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,71
2004,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,68
2005,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,286
2006,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,306
2007,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,349
2008,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,310
2009,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,361
2010,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,289
2011,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,257
2012,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,211
2013,NUMBER,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,341
