Year,UNIT_MEASURE,Teritory,SEX,Education,Value
2013,NUMBER,BERKOVICI,_T,no_education,104
2013,NUMBER,BERKOVICI,M,no_education,8
2013,NUMBER,BERKOVICI,F,no_education,96
2013,NUMBER,BIJELJINA,_T,no_education,3916
2013,NUMBER,BIJELJINA,M,no_education,650
2013,NUMBER,BIJELJINA,F,no_education,3266
2013,NUMBER,BILECA,_T,no_education,246
2013,NUMBER,BILECA,M,no_education,42
2013,NUMBER,BILECA,F,no_education,204
2013,NUMBER,BRATUNAC,_T,no_education,1297
2013,NUMBER,BRATUNAC,M,no_education,166
2013,NUMBER,BRATUNAC,F,no_education,1131
2013,NUMBER,BROD,_T,no_education,586
2013,NUMBER,BROD,M,no_education,90
2013,NUMBER,BROD,F,no_education,496
2013,NUMBER,VISEGRAD,_T,no_education,576
2013,NUMBER,VISEGRAD,M,no_education,65
2013,NUMBER,VISEGRAD,F,no_education,511
2013,NUMBER,VLASENICA,_T,no_education,629
2013,NUMBER,VLASENICA,M,no_education,101
2013,NUMBER,VLASENICA,F,no_education,528
2013,NUMBER,VUKOSAVLJE,_T,no_education,329
2013,NUMBER,VUKOSAVLJE,M,no_education,69
2013,NUMBER,VUKOSAVLJE,F,no_education,260
2013,NUMBER,GACKO,_T,no_education,268
2013,NUMBER,GACKO,M,no_education,22
2013,NUMBER,GACKO,F,no_education,246
2013,NUMBER,GRADISKA,_T,no_education,2608
2013,NUMBER,GRADISKA,M,no_education,425
2013,NUMBER,GRADISKA,F,no_education,2183
2013,NUMBER,DERVENTA,_T,no_education,1538
2013,NUMBER,DERVENTA,M,no_education,281
2013,NUMBER,DERVENTA,F,no_education,1257
2013,NUMBER,DOBOJ,_T,no_education,3364
2013,NUMBER,DOBOJ,M,no_education,496
2013,NUMBER,DOBOJ,F,no_education,2868
2013,NUMBER,DONJI ZABAR,_T,no_education,209
2013,NUMBER,DONJI ZABAR,M,no_education,37
2013,NUMBER,DONJI ZABAR,F,no_education,172
2013,NUMBER,ZVORNIK,_T,no_education,3216
2013,NUMBER,ZVORNIK,M,no_education,484
2013,NUMBER,ZVORNIK,F,no_education,2732
2013,NUMBER,ISTOCNA ILIDZA,_T,no_education,280
2013,NUMBER,ISTOCNA ILIDZA,M,no_education,33
2013,NUMBER,ISTOCNA ILIDZA,F,no_education,247
2013,NUMBER,ISTOCNI DRVAR,_T,no_education,5
2013,NUMBER,ISTOCNI DRVAR,M,no_education,-
2013,NUMBER,ISTOCNI DRVAR,F,no_education,5
2013,NUMBER,ISTOCNI MOSTAR,_T,no_education,19
2013,NUMBER,ISTOCNI MOSTAR,M,no_education,1
2013,NUMBER,ISTOCNI MOSTAR,F,no_education,18
2013,NUMBER,ISTOCNI STARI GRAD,_T,no_education,61
2013,NUMBER,ISTOCNI STARI GRAD,M,no_education,5
2013,NUMBER,ISTOCNI STARI GRAD,F,no_education,56
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,no_education,191
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,no_education,25
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,no_education,166
2013,NUMBER,JEZERO,_T,no_education,79
2013,NUMBER,JEZERO,M,no_education,14
2013,NUMBER,JEZERO,F,no_education,65
2013,NUMBER,KALINOVIK,_T,no_education,158
2013,NUMBER,KALINOVIK,M,no_education,11
2013,NUMBER,KALINOVIK,F,no_education,147
2013,NUMBER,KNEZEVO,_T,no_education,1390
2013,NUMBER,KNEZEVO,M,no_education,311
2013,NUMBER,KNEZEVO,F,no_education,1079
2013,NUMBER,KOZARSKA DUBICA,_T,no_education,984
2013,NUMBER,KOZARSKA DUBICA,M,no_education,154
2013,NUMBER,KOZARSKA DUBICA,F,no_education,830
2013,NUMBER,KOSTAJNICA,_T,no_education,163
2013,NUMBER,KOSTAJNICA,M,no_education,28
2013,NUMBER,KOSTAJNICA,F,no_education,135
2013,NUMBER,KOTOR VAROS,_T,no_education,1503
2013,NUMBER,KOTOR VAROS,M,no_education,282
2013,NUMBER,KOTOR VAROS,F,no_education,1221
2013,NUMBER,KRUPA NA UNI,_T,no_education,157
2013,NUMBER,KRUPA NA UNI,M,no_education,19
2013,NUMBER,KRUPA NA UNI,F,no_education,138
2013,NUMBER,KUPRES,_T,no_education,103
2013,NUMBER,KUPRES,M,no_education,33
2013,NUMBER,KUPRES,F,no_education,70
2013,NUMBER,LAKTASI,_T,no_education,1363
2013,NUMBER,LAKTASI,M,no_education,229
2013,NUMBER,LAKTASI,F,no_education,1134
2013,NUMBER,LOPARE,_T,no_education,1235
2013,NUMBER,LOPARE,M,no_education,243
2013,NUMBER,LOPARE,F,no_education,992
2013,NUMBER,LJUBINJE,_T,no_education,110
2013,NUMBER,LJUBINJE,M,no_education,12
2013,NUMBER,LJUBINJE,F,no_education,98
2013,NUMBER,MILICI,_T,no_education,643
2013,NUMBER,MILICI,M,no_education,96
2013,NUMBER,MILICI,F,no_education,547
2013,NUMBER,MODRICA,_T,no_education,1278
2013,NUMBER,MODRICA,M,no_education,241
2013,NUMBER,MODRICA,F,no_education,1037
2013,NUMBER,MRKONJIC GRAD,_T,no_education,1462
2013,NUMBER,MRKONJIC GRAD,M,no_education,213
2013,NUMBER,MRKONJIC GRAD,F,no_education,1249
2013,NUMBER,NEVESINJE,_T,no_education,545
2013,NUMBER,NEVESINJE,M,no_education,56
2013,NUMBER,NEVESINJE,F,no_education,489
2013,NUMBER,NOVI GRAD,_T,no_education,1036
2013,NUMBER,NOVI GRAD,M,no_education,171
2013,NUMBER,NOVI GRAD,F,no_education,865
2013,NUMBER,NOVO GORAZDE,_T,no_education,127
2013,NUMBER,NOVO GORAZDE,M,no_education,21
2013,NUMBER,NOVO GORAZDE,F,no_education,106
2013,NUMBER,OSMACI,_T,no_education,397
2013,NUMBER,OSMACI,M,no_education,62
2013,NUMBER,OSMACI,F,no_education,335
2013,NUMBER,OSTRA LUKA,_T,no_education,247
2013,NUMBER,OSTRA LUKA,M,no_education,43
2013,NUMBER,OSTRA LUKA,F,no_education,204
2013,NUMBER,PALE,_T,no_education,606
2013,NUMBER,PALE,M,no_education,80
2013,NUMBER,PALE,F,no_education,526
2013,NUMBER,PELAGICEVO,_T,no_education,290
2013,NUMBER,PELAGICEVO,M,no_education,46
2013,NUMBER,PELAGICEVO,F,no_education,244
2013,NUMBER,PETROVAC,_T,no_education,11
2013,NUMBER,PETROVAC,M,no_education,-
2013,NUMBER,PETROVAC,F,no_education,11
2013,NUMBER,PETROVO,_T,no_education,403
2013,NUMBER,PETROVO,M,no_education,48
2013,NUMBER,PETROVO,F,no_education,355
2013,NUMBER,PRIJEDOR,_T,no_education,3918
2013,NUMBER,PRIJEDOR,M,no_education,760
2013,NUMBER,PRIJEDOR,F,no_education,3158
2013,NUMBER,PRNJAVOR,_T,no_education,2654
2013,NUMBER,PRNJAVOR,M,no_education,391
2013,NUMBER,PRNJAVOR,F,no_education,2263
2013,NUMBER,RIBNIK,_T,no_education,680
2013,NUMBER,RIBNIK,M,no_education,118
2013,NUMBER,RIBNIK,F,no_education,562
2013,NUMBER,ROGATICA,_T,no_education,633
2013,NUMBER,ROGATICA,M,no_education,89
2013,NUMBER,ROGATICA,F,no_education,544
2013,NUMBER,RUDO,_T,no_education,279
2013,NUMBER,RUDO,M,no_education,38
2013,NUMBER,RUDO,F,no_education,241
2013,NUMBER,SOKOLAC,_T,no_education,392
2013,NUMBER,SOKOLAC,M,no_education,52
2013,NUMBER,SOKOLAC,F,no_education,340
2013,NUMBER,SRBAC,_T,no_education,1115
2013,NUMBER,SRBAC,M,no_education,235
2013,NUMBER,SRBAC,F,no_education,880
2013,NUMBER,SREBRENICA,_T,no_education,852
2013,NUMBER,SREBRENICA,M,no_education,105
2013,NUMBER,SREBRENICA,F,no_education,747
2013,NUMBER,TESLIC,_T,no_education,3299
2013,NUMBER,TESLIC,M,no_education,471
2013,NUMBER,TESLIC,F,no_education,2828
2013,NUMBER,TREBINJE,_T,no_education,382
2013,NUMBER,TREBINJE,M,no_education,44
2013,NUMBER,TREBINJE,F,no_education,338
2013,NUMBER,TRNOVO,_T,no_education,143
2013,NUMBER,TRNOVO,M,no_education,14
2013,NUMBER,TRNOVO,F,no_education,129
2013,NUMBER,UGLJEVIK,_T,no_education,856
2013,NUMBER,UGLJEVIK,M,no_education,135
2013,NUMBER,UGLJEVIK,F,no_education,721
2013,NUMBER,FOCA,_T,no_education,775
2013,NUMBER,FOCA,M,no_education,92
2013,NUMBER,FOCA,F,no_education,683
2013,NUMBER,HAN PIJESAK,_T,no_education,198
2013,NUMBER,HAN PIJESAK,M,no_education,22
2013,NUMBER,HAN PIJESAK,F,no_education,176
2013,NUMBER,CAJNICE,_T,no_education,224
2013,NUMBER,CAJNICE,M,no_education,31
2013,NUMBER,CAJNICE,F,no_education,193
2013,NUMBER,CELINAC,_T,no_education,832
2013,NUMBER,CELINAC,M,no_education,109
2013,NUMBER,CELINAC,F,no_education,723
2013,NUMBER,SAMAC,_T,no_education,627
2013,NUMBER,SAMAC,M,no_education,90
2013,NUMBER,SAMAC,F,no_education,537
2013,NUMBER,SEKOVICI,_T,no_education,655
2013,NUMBER,SEKOVICI,M,no_education,120
2013,NUMBER,SEKOVICI,F,no_education,535
2013,NUMBER,SIPOVO,_T,no_education,732
2013,NUMBER,SIPOVO,M,no_education,120
2013,NUMBER,SIPOVO,F,no_education,612
2013,NUMBER,REPUBLIKA SRPSKA,_T,incomplete_elementary,97022
2013,NUMBER,REPUBLIKA SRPSKA,M,incomplete_elementary,33465
2013,NUMBER,REPUBLIKA SRPSKA,F,incomplete_elementary,63557
2013,NUMBER,BANJA LUKA,_T,incomplete_elementary,6483
2013,NUMBER,BANJA LUKA,M,incomplete_elementary,2117
2013,NUMBER,BANJA LUKA,F,incomplete_elementary,4366
2013,NUMBER,BERKOVICI,_T,incomplete_elementary,229
2013,NUMBER,BERKOVICI,M,incomplete_elementary,74
2013,NUMBER,BERKOVICI,F,incomplete_elementary,155
2013,NUMBER,BIJELJINA,_T,incomplete_elementary,10740
2013,NUMBER,BIJELJINA,M,incomplete_elementary,3999
2013,NUMBER,BIJELJINA,F,incomplete_elementary,6741
2013,NUMBER,BILECA,_T,incomplete_elementary,747
2013,NUMBER,BILECA,M,incomplete_elementary,187
2013,NUMBER,BILECA,F,incomplete_elementary,560
2013,NUMBER,BRATUNAC,_T,incomplete_elementary,1364
2013,NUMBER,BRATUNAC,M,incomplete_elementary,395
2013,NUMBER,BRATUNAC,F,incomplete_elementary,969
2013,NUMBER,BROD,_T,incomplete_elementary,1241
2013,NUMBER,BROD,M,incomplete_elementary,328
2013,NUMBER,BROD,F,incomplete_elementary,913
2013,NUMBER,VISEGRAD,_T,incomplete_elementary,783
2013,NUMBER,VISEGRAD,M,incomplete_elementary,203
2013,NUMBER,VISEGRAD,F,incomplete_elementary,580
2013,NUMBER,VLASENICA,_T,incomplete_elementary,758
2013,NUMBER,VLASENICA,M,incomplete_elementary,243
2013,NUMBER,VLASENICA,F,incomplete_elementary,515
2013,NUMBER,VUKOSAVLJE,_T,incomplete_elementary,719
2013,NUMBER,VUKOSAVLJE,M,incomplete_elementary,300
2013,NUMBER,VUKOSAVLJE,F,incomplete_elementary,419
2013,NUMBER,GACKO,_T,incomplete_elementary,496
2013,NUMBER,GACKO,M,incomplete_elementary,135
2013,NUMBER,GACKO,F,incomplete_elementary,361
2013,NUMBER,GRADISKA,_T,incomplete_elementary,4821
2013,NUMBER,GRADISKA,M,incomplete_elementary,1832
2013,NUMBER,GRADISKA,F,incomplete_elementary,2989
2013,NUMBER,DERVENTA,_T,incomplete_elementary,2759
2013,NUMBER,DERVENTA,M,incomplete_elementary,1030
2013,NUMBER,DERVENTA,F,incomplete_elementary,1729
2013,NUMBER,DOBOJ,_T,incomplete_elementary,6019
2013,NUMBER,DOBOJ,M,incomplete_elementary,1823
2013,NUMBER,DOBOJ,F,incomplete_elementary,4196
2013,NUMBER,DONJI ZABAR,_T,incomplete_elementary,707
2013,NUMBER,DONJI ZABAR,M,incomplete_elementary,304
2013,NUMBER,DONJI ZABAR,F,incomplete_elementary,403
2013,NUMBER,ZVORNIK,_T,incomplete_elementary,4702
2013,NUMBER,ZVORNIK,M,incomplete_elementary,1472
2013,NUMBER,ZVORNIK,F,incomplete_elementary,3230
2013,NUMBER,ISTOCNA ILIDZA,_T,incomplete_elementary,550
2013,NUMBER,ISTOCNA ILIDZA,M,incomplete_elementary,65
2013,NUMBER,ISTOCNA ILIDZA,F,incomplete_elementary,485
2013,NUMBER,ISTOCNI DRVAR,_T,incomplete_elementary,6
2013,NUMBER,ISTOCNI DRVAR,M,incomplete_elementary,4
2013,NUMBER,ISTOCNI DRVAR,F,incomplete_elementary,2
2013,NUMBER,ISTOCNI MOSTAR,_T,incomplete_elementary,41
2013,NUMBER,ISTOCNI MOSTAR,M,incomplete_elementary,21
2013,NUMBER,ISTOCNI MOSTAR,F,incomplete_elementary,20
2013,NUMBER,ISTOCNI STARI GRAD,_T,incomplete_elementary,133
2013,NUMBER,ISTOCNI STARI GRAD,M,incomplete_elementary,29
2013,NUMBER,ISTOCNI STARI GRAD,F,incomplete_elementary,104
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,incomplete_elementary,454
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,incomplete_elementary,89
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,incomplete_elementary,365
2013,NUMBER,JEZERO,_T,incomplete_elementary,105
2013,NUMBER,JEZERO,M,incomplete_elementary,39
2013,NUMBER,JEZERO,F,incomplete_elementary,66
2013,NUMBER,KALINOVIK,_T,incomplete_elementary,175
2013,NUMBER,KALINOVIK,M,incomplete_elementary,48
2013,NUMBER,KALINOVIK,F,incomplete_elementary,127
2013,NUMBER,KNEZEVO,_T,incomplete_elementary,752
2013,NUMBER,KNEZEVO,M,incomplete_elementary,318
2013,NUMBER,KNEZEVO,F,incomplete_elementary,434
2013,NUMBER,KOZARSKA DUBICA,_T,incomplete_elementary,1894
2013,NUMBER,KOZARSKA DUBICA,M,incomplete_elementary,683
2013,NUMBER,KOZARSKA DUBICA,F,incomplete_elementary,1211
2013,NUMBER,KOSTAJNICA,_T,incomplete_elementary,387
2013,NUMBER,KOSTAJNICA,M,incomplete_elementary,132
2013,NUMBER,KOSTAJNICA,F,incomplete_elementary,255
2013,NUMBER,KOTOR VAROS,_T,incomplete_elementary,1183
2013,NUMBER,KOTOR VAROS,M,incomplete_elementary,391
2013,NUMBER,KOTOR VAROS,F,incomplete_elementary,792
2013,NUMBER,KRUPA NA UNI,_T,incomplete_elementary,316
2013,NUMBER,KRUPA NA UNI,M,incomplete_elementary,165
2013,NUMBER,KRUPA NA UNI,F,incomplete_elementary,151
2013,NUMBER,KUPRES,_T,incomplete_elementary,19
2013,NUMBER,KUPRES,M,incomplete_elementary,9
2013,NUMBER,KUPRES,F,incomplete_elementary,10
2013,NUMBER,LAKTASI,_T,incomplete_elementary,2504
2013,NUMBER,LAKTASI,M,incomplete_elementary,946
2013,NUMBER,LAKTASI,F,incomplete_elementary,1558
2013,NUMBER,LOPARE,_T,incomplete_elementary,2118
2013,NUMBER,LOPARE,M,incomplete_elementary,943
2013,NUMBER,LOPARE,F,incomplete_elementary,1175
2013,NUMBER,LJUBINJE,_T,incomplete_elementary,275
2013,NUMBER,LJUBINJE,M,incomplete_elementary,64
2013,NUMBER,LJUBINJE,F,incomplete_elementary,211
2013,NUMBER,MILICI,_T,incomplete_elementary,729
2013,NUMBER,MILICI,M,incomplete_elementary,217
2013,NUMBER,MILICI,F,incomplete_elementary,512
2013,NUMBER,MODRICA,_T,incomplete_elementary,2912
2013,NUMBER,MODRICA,M,incomplete_elementary,1049
2013,NUMBER,MODRICA,F,incomplete_elementary,1863
2013,NUMBER,MRKONJIC GRAD,_T,incomplete_elementary,1769
2013,NUMBER,MRKONJIC GRAD,M,incomplete_elementary,777
2013,NUMBER,MRKONJIC GRAD,F,incomplete_elementary,992
2013,NUMBER,NEVESINJE,_T,incomplete_elementary,1048
2013,NUMBER,NEVESINJE,M,incomplete_elementary,265
2013,NUMBER,NEVESINJE,F,incomplete_elementary,783
2013,NUMBER,NOVI GRAD,_T,incomplete_elementary,2172
2013,NUMBER,NOVI GRAD,M,incomplete_elementary,757
2013,NUMBER,NOVI GRAD,F,incomplete_elementary,1415
2013,NUMBER,NOVO GORAZDE,_T,incomplete_elementary,162
2013,NUMBER,NOVO GORAZDE,M,incomplete_elementary,52
2013,NUMBER,NOVO GORAZDE,F,incomplete_elementary,110
2013,NUMBER,OSMACI,_T,incomplete_elementary,552
2013,NUMBER,OSMACI,M,incomplete_elementary,172
2013,NUMBER,OSMACI,F,incomplete_elementary,380
2013,NUMBER,OSTRA LUKA,_T,incomplete_elementary,352
2013,NUMBER,OSTRA LUKA,M,incomplete_elementary,154
2013,NUMBER,OSTRA LUKA,F,incomplete_elementary,198
2013,NUMBER,PALE,_T,incomplete_elementary,986
2013,NUMBER,PALE,M,incomplete_elementary,214
2013,NUMBER,PALE,F,incomplete_elementary,772
2013,NUMBER,PELAGICEVO,_T,incomplete_elementary,1081
2013,NUMBER,PELAGICEVO,M,incomplete_elementary,459
2013,NUMBER,PELAGICEVO,F,incomplete_elementary,622
2013,NUMBER,PETROVAC,_T,incomplete_elementary,28
2013,NUMBER,PETROVAC,M,incomplete_elementary,4
2013,NUMBER,PETROVAC,F,incomplete_elementary,24
2013,NUMBER,PETROVO,_T,incomplete_elementary,733
2013,NUMBER,PETROVO,M,incomplete_elementary,180
2013,NUMBER,PETROVO,F,incomplete_elementary,553
2013,NUMBER,PRIJEDOR,_T,incomplete_elementary,6219
2013,NUMBER,PRIJEDOR,M,incomplete_elementary,1948
