Year,UNIT_MEASURE,Starosna grupa,Pol,Value
2014.0,Broj,60-64,Ž,46420.0
2014.0,Broj,65-69,Ž,35002.0
2014.0,Broj,70-74,Ž,30056.0
2014.0,Broj,75-79,Ž,28946.0
2014.0,Broj,80-84,Ž,16603.0
2014.0,Broj,85-89,Ž,6405.0
2014.0,Broj,90 +,Ž,1626.0
2015.0,Broj,Ukupno,Ukupno,1162164.0
2015.0,Broj,0-4,Ukupno,50067.0
2015.0,Broj,5-9,Ukupno,54755.0
2015.0,Broj,10-14,Ukupno,55647.0
2015.0,Broj,15-19,Ukupno,66727.0
2015.0,Broj,20-24,Ukupno,65603.0
2015.0,Broj,25-29,Ukupno,73297.0
2015.0,Broj,30-34,Ukupno,80365.0
2015.0,Broj,35-39,Ukupno,81003.0
2015.0,Broj,40-44,Ukupno,77328.0
2015.0,Broj,45-49,Ukupno,78838.0
2015.0,Broj,50-54,Ukupno,87925.0
2015.0,Broj,55-59,Ukupno,91658.0
2015.0,Broj,60-64,Ukupno,90125.0
2015.0,Broj,65-69,Ukupno,70039.0
2015.0,Broj,70-74,Ukupno,48676.0
2015.0,Broj,75-79,Ukupno,49216.0
2015.0,Broj,80-84,Ukupno,27692.0
2015.0,Broj,85-89,Ukupno,10696.0
2015.0,Broj,90 +,Ukupno,2507.0
2015.0,Broj,Ukupno,M,567711.0
2015.0,Broj,0-4,M,25709.0
2015.0,Broj,5-9,M,28072.0
2015.0,Broj,10-14,M,28692.0
2015.0,Broj,15-19,M,34235.0
2015.0,Broj,20-24,M,34166.0
2015.0,Broj,25-29,M,37392.0
2015.0,Broj,30-34,M,40942.0
2015.0,Broj,35-39,M,41257.0
2015.0,Broj,40-44,M,39602.0
2015.0,Broj,45-49,M,39752.0
2015.0,Broj,50-54,M,43301.0
2015.0,Broj,55-59,M,44221.0
2015.0,Broj,60-64,M,42870.0
2015.0,Broj,65-69,M,31928.0
2015.0,Broj,70-74,M,20798.0
2015.0,Broj,75-79,M,19949.0
2015.0,Broj,80-84,M,10285.0
2015.0,Broj,85-89,M,3791.0
2015.0,Broj,90 +,M,749.0
2015.0,Broj,Ukupno,Ž,594453.0
2015.0,Broj,0-4,Ž,24358.0
2015.0,Broj,5-9,Ž,26683.0
2015.0,Broj,10-14,Ž,26955.0
2015.0,Broj,15-19,Ž,32492.0
2015.0,Broj,20-24,Ž,31437.0
2015.0,Broj,25-29,Ž,35905.0
2015.0,Broj,30-34,Ž,39423.0
2015.0,Broj,35-39,Ž,39746.0
2015.0,Broj,40-44,Ž,37726.0
2015.0,Broj,45-49,Ž,39086.0
2015.0,Broj,50-54,Ž,44624.0
2015.0,Broj,55-59,Ž,47437.0
2015.0,Broj,60-64,Ž,47255.0
2015.0,Broj,65-69,Ž,38111.0
2015.0,Broj,70-74,Ž,27878.0
2015.0,Broj,75-79,Ž,29267.0
2015.0,Broj,80-84,Ž,17407.0
2015.0,Broj,85-89,Ž,6905.0
2015.0,Broj,90 +,Ž,1758.0
2016.0,Broj,Ukupno,Ukupno,1157516.0
2016.0,Broj,0-4,Ukupno,48734.0
2016.0,Broj,5-9,Ukupno,54692.0
2016.0,Broj,10-14,Ukupno,54647.0
2016.0,Broj,15-19,Ukupno,63924.0
2016.0,Broj,20-24,Ukupno,66283.0
2016.0,Broj,25-29,Ukupno,71750.0
2016.0,Broj,30-34,Ukupno,79504.0
2016.0,Broj,35-39,Ukupno,80647.0
2016.0,Broj,40-44,Ukupno,78874.0
2016.0,Broj,45-49,Ukupno,76424.0
2016.0,Broj,50-54,Ukupno,86398.0
2016.0,Broj,55-59,Ukupno,90613.0
2016.0,Broj,60-64,Ukupno,91762.0
2016.0,Broj,65-69,Ukupno,73686.0
2016.0,Broj,70-74,Ukupno,47137.0
2016.0,Broj,75-79,Ukupno,49174.0
2016.0,Broj,80-84,Ukupno,29104.0
2016.0,Broj,85-89,Ukupno,11443.0
2016.0,Broj,90 +,Ukupno,2720.0
2016.0,Broj,Ukupno,M,565368.0
2016.0,Broj,0-4,M,25099.0
2016.0,Broj,5-9,M,28032.0
2016.0,Broj,10-14,M,28143.0
2016.0,Broj,15-19,M,32819.0
2016.0,Broj,20-24,M,34406.0
2016.0,Broj,25-29,M,36741.0
2016.0,Broj,30-34,M,40519.0
2016.0,Broj,35-39,M,40983.0
2016.0,Broj,40-44,M,40396.0
2016.0,Broj,45-49,M,38631.0
2016.0,Broj,50-54,M,42599.0
2016.0,Broj,55-59,M,43773.0
2016.0,Broj,60-64,M,43636.0
2016.0,Broj,65-69,M,33670.0
2016.0,Broj,70-74,M,20198.0
2016.0,Broj,75-79,M,20005.0
2016.0,Broj,80-84,M,10819.0
2016.0,Broj,85-89,M,4077.0
2016.0,Broj,90 +,M,822.0
2016.0,Broj,Ukupno,Ž,592148.0
2016.0,Broj,0-4,Ž,23635.0
2016.0,Broj,5-9,Ž,26660.0
2016.0,Broj,10-14,Ž,26504.0
2016.0,Broj,15-19,Ž,31105.0
2016.0,Broj,20-24,Ž,31877.0
2016.0,Broj,25-29,Ž,35009.0
2016.0,Broj,30-34,Ž,38985.0
2016.0,Broj,35-39,Ž,39664.0
2016.0,Broj,40-44,Ž,38478.0
2016.0,Broj,45-49,Ž,37793.0
2016.0,Broj,50-54,Ž,43799.0
2016.0,Broj,55-59,Ž,46840.0
2016.0,Broj,60-64,Ž,48126.0
2016.0,Broj,65-69,Ž,40016.0
2016.0,Broj,70-74,Ž,26939.0
2016.0,Broj,75-79,Ž,29169.0
2016.0,Broj,80-84,Ž,18285.0
2016.0,Broj,85-89,Ž,7366.0
2016.0,Broj,90 +,Ž,1898.0
2017.0,Broj,Ukupno,Ukupno,1153017.0
2017.0,Broj,0-4,Ukupno,47669.0
2017.0,Broj,5-9,Ukupno,54425.0
2017.0,Broj,10-14,Ukupno,54011.0
2017.0,Broj,15-19,Ukupno,60988.0
2017.0,Broj,20-24,Ukupno,67578.0
2017.0,Broj,25-29,Ukupno,69711.0
2017.0,Broj,30-34,Ukupno,78413.0
2017.0,Broj,35-39,Ukupno,80313.0
2017.0,Broj,40-44,Ukupno,79628.0
2017.0,Broj,45-49,Ukupno,75563.0
2017.0,Broj,50-54,Ukupno,84512.0
2017.0,Broj,55-59,Ukupno,90210.0
2017.0,Broj,60-64,Ukupno,91623.0
2017.0,Broj,65-69,Ukupno,76077.0
2017.0,Broj,70-74,Ukupno,49170.0
2017.0,Broj,75-79,Ukupno,47544.0
2017.0,Broj,80-84,Ukupno,30644.0
2017.0,Broj,85-89,Ukupno,12003.0
2017.0,Broj,90 +,Ukupno,2935.0
2017.0,Broj,Ukupno,M,563187.0
2017.0,Broj,0-4,M,24658.0
2017.0,Broj,5-9,M,27909.0
2017.0,Broj,10-14,M,27739.0
2017.0,Broj,15-19,M,31302.0
2017.0,Broj,20-24,M,34984.0
2017.0,Broj,25-29,M,35943.0
2017.0,Broj,30-34,M,39935.0
2017.0,Broj,35-39,M,40775.0
2017.0,Broj,40-44,M,40696.0
2017.0,Broj,45-49,M,38318.0
2017.0,Broj,50-54,M,41752.0
2017.0,Broj,55-59,M,43657.0
2017.0,Broj,60-64,M,43518.0
2017.0,Broj,65-69,M,34812.0
2017.0,Broj,70-74,M,21177.0
2017.0,Broj,75-79,M,19315.0
2017.0,Broj,80-84,M,11479.0
2017.0,Broj,85-89,M,4303.0
2017.0,Broj,90 +,M,915.0
2017.0,Broj,Ukupno,Ž,589830.0
2017.0,Broj,0-4,Ž,23011.0
2017.0,Broj,5-9,Ž,26516.0
2017.0,Broj,10-14,Ž,26272.0
2017.0,Broj,15-19,Ž,29686.0
2017.0,Broj,20-24,Ž,32594.0
2017.0,Broj,25-29,Ž,33768.0
2017.0,Broj,30-34,Ž,38478.0
2017.0,Broj,35-39,Ž,39538.0
2017.0,Broj,40-44,Ž,38932.0
2017.0,Broj,45-49,Ž,37245.0
2017.0,Broj,50-54,Ž,42760.0
2017.0,Broj,55-59,Ž,46553.0
2017.0,Broj,60-64,Ž,48105.0
2017.0,Broj,65-69,Ž,41265.0
2017.0,Broj,70-74,Ž,27993.0
2017.0,Broj,75-79,Ž,28229.0
2017.0,Broj,80-84,Ž,19165.0
2017.0,Broj,85-89,Ž,7700.0
2017.0,Broj,90 +,Ž,2020.0
2018.0,Broj,Ukupno,Ukupno,1147902.0
2018.0,Broj,0-4,Ukupno,46783.0
2018.0,Broj,5-9,Ukupno,53561.0
2018.0,Broj,10-14,Ukupno,53979.0
2018.0,Broj,15-19,Ukupno,58248.0
2018.0,Broj,20-24,Ukupno,69375.0
2018.0,Broj,25-29,Ukupno,66608.0
2018.0,Broj,30-34,Ukupno,77062.0
2018.0,Broj,35-39,Ukupno,80370.0
2018.0,Broj,40-44,Ukupno,80022.0
2018.0,Broj,45-49,Ukupno,75372.0
2018.0,Broj,50-54,Ukupno,82290.0
2018.0,Broj,55-59,Ukupno,89379.0
2018.0,Broj,60-64,Ukupno,90342.0
2018.0,Broj,65-69,Ukupno,79067.0
2018.0,Broj,70-74,Ukupno,52446.0
2018.0,Broj,75-79,Ukupno,45216.0
2018.0,Broj,80-84,Ukupno,31930.0
2018.0,Broj,85-89,Ukupno,12742.0
2018.0,Broj,90 +,Ukupno,3110.0
2018.0,Broj,Ukupno,M,560795.0
2018.0,Broj,0-4,M,24321.0
2018.0,Broj,5-9,M,27463.0
2018.0,Broj,10-14,M,27689.0
2018.0,Broj,15-19,M,29864.0
2018.0,Broj,20-24,M,35777.0
2018.0,Broj,25-29,M,34534.0
2018.0,Broj,30-34,M,39285.0
2018.0,Broj,35-39,M,40743.0
2018.0,Broj,40-44,M,40878.0
2018.0,Broj,45-49,M,38377.0
2018.0,Broj,50-54,M,40817.0
2018.0,Broj,55-59,M,43267.0
2018.0,Broj,60-64,M,42830.0
2018.0,Broj,65-69,M,36278.0
2018.0,Broj,70-74,M,22707.0
2018.0,Broj,75-79,M,18324.0
2018.0,Broj,80-84,M,12075.0
2018.0,Broj,85-89,M,4564.0
2018.0,Broj,90 +,M,1002.0
2018.0,Broj,Ukupno,Ž,587107.0
2018.0,Broj,0-4,Ž,22462.0
2018.0,Broj,5-9,Ž,26098.0
2018.0,Broj,10-14,Ž,26290.0
2018.0,Broj,15-19,Ž,28384.0
2018.0,Broj,20-24,Ž,33598.0
2018.0,Broj,25-29,Ž,32074.0
2018.0,Broj,30-34,Ž,37777.0
2018.0,Broj,35-39,Ž,39627.0
2018.0,Broj,40-44,Ž,39144.0
2018.0,Broj,45-49,Ž,36995.0
2018.0,Broj,50-54,Ž,41473.0
2018.0,Broj,55-59,Ž,46112.0
2018.0,Broj,60-64,Ž,47512.0
2018.0,Broj,65-69,Ž,42789.0
2018.0,Broj,70-74,Ž,29739.0
2018.0,Broj,75-79,Ž,26892.0
2018.0,Broj,80-84,Ž,19855.0
2018.0,Broj,85-89,Ž,8178.0
2018.0,Broj,90 +,Ž,2108.0
2019.0,Broj,Ukupno,Ukupno,1142495.0
2019.0,Broj,0-4,Ukupno,46989.0
2019.0,Broj,5-9,Ukupno,51849.0
2019.0,Broj,10-14,Ukupno,54340.0
2019.0,Broj,15-19,Ukupno,56767.0
2019.0,Broj,20-24,Ukupno,68958.0
2019.0,Broj,25-29,Ukupno,65048.0
2019.0,Broj,30-34,Ukupno,75240.0
2019.0,Broj,35-39,Ukupno,80574.0
2019.0,Broj,40-44,Ukupno,80242.0
2019.0,Broj,45-49,Ukupno,75535.0
2019.0,Broj,50-54,Ukupno,80297.0
2019.0,Broj,55-59,Ukupno,87300.0
2019.0,Broj,60-64,Ukupno,88926.0
2019.0,Broj,65-69,Ukupno,81485.0
2019.0,Broj,70-74,Ukupno,56623.0
2019.0,Broj,75-79,Ukupno,42470.0
2019.0,Broj,80-84,Ukupno,32745.0
2019.0,Broj,85-89,Ukupno,13503.0
2019.0,Broj,90 +,Ukupno,3604.0
2019.0,Broj,Ukupno,M,558093.0
2019.0,Broj,0-4,M,24499.0
2019.0,Broj,5-9,M,26577.0
2019.0,Broj,10-14,M,27877.0
2019.0,Broj,15-19,M,29150.0
2019.0,Broj,20-24,M,35339.0
2019.0,Broj,25-29,M,33871.0
2019.0,Broj,30-34,M,38358.0
2019.0,Broj,35-39,M,40861.0
2019.0,Broj,40-44,M,40907.0
2019.0,Broj,45-49,M,38510.0
2019.0,Broj,50-54,M,40006.0
2019.0,Broj,55-59,M,42309.0
2019.0,Broj,60-64,M,42038.0
2019.0,Broj,65-69,M,37464.0
2019.0,Broj,70-74,M,24642.0
2019.0,Broj,75-79,M,17180.0
2019.0,Broj,80-84,M,12494.0
2019.0,Broj,85-89,M,4782.0
2019.0,Broj,90 +,M,1229.0
2019.0,Broj,Ukupno,Ž,584402.0
2019.0,Broj,0-4,Ž,22490.0
2019.0,Broj,5-9,Ž,25272.0
2019.0,Broj,10-14,Ž,26463.0
2019.0,Broj,15-19,Ž,27617.0
2019.0,Broj,20-24,Ž,33619.0
2019.0,Broj,25-29,Ž,31177.0
2019.0,Broj,30-34,Ž,36882.0
2019.0,Broj,35-39,Ž,39713.0
2019.0,Broj,40-44,Ž,39335.0
2019.0,Broj,45-49,Ž,37025.0
2019.0,Broj,50-54,Ž,40291.0
2019.0,Broj,55-59,Ž,44991.0
2019.0,Broj,60-64,Ž,46888.0
2019.0,Broj,65-69,Ž,44021.0
2019.0,Broj,70-74,Ž,31981.0
2019.0,Broj,75-79,Ž,25290.0
2019.0,Broj,80-84,Ž,20251.0
2019.0,Broj,85-89,Ž,8721.0
2019.0,Broj,90 +,Ž,2375.0
2020.0,Broj,Ukupno,Ukupno,1136274.0
2020.0,Broj,0-4,Ukupno,46766.0
2020.0,Broj,5-9,Ukupno,50140.0
2020.0,Broj,10-14,Ukupno,54624.0
2020.0,Broj,15-19,Ukupno,55722.0
2020.0,Broj,20-24,Ukupno,66540.0
2020.0,Broj,25-29,Ukupno,65512.0
2020.0,Broj,30-34,Ukupno,73246.0
2020.0,Broj,35-39,Ukupno,80317.0
2020.0,Broj,40-44,Ukupno,80441.0
2020.0,Broj,45-49,Ukupno,76443.0
2020.0,Broj,50-54,Ukupno,77704.0
2020.0,Broj,55-59,Ukupno,85566.0
2020.0,Broj,60-64,Ukupno,87281.0
2020.0,Broj,65-69,Ukupno,83151.0
2020.0,Broj,70-74,Ukupno,61635.0
2020.0,Broj,75-79,Ukupno,39518.0
2020.0,Broj,80-84,Ukupno,33481.0
2020.0,Broj,85-89,Ukupno,14165.0
2020.0,Broj,90 +,Ukupno,4022.0
2020.0,Broj,Ukupno,M,557422.0
2020.0,Broj,0-4,M,24479.0
2020.0,Broj,5-9,M,25854.0
2020.0,Broj,10-14,M,28034.0
2020.0,Broj,15-19,M,28881.0
2020.0,Broj,20-24,M,34373.0
2020.0,Broj,25-29,M,34543.0
2020.0,Broj,30-34,M,37631.0
2020.0,Broj,35-39,M,41043.0
2020.0,Broj,40-44,M,41041.0
2020.0,Broj,45-49,M,39083.0
2020.0,Broj,50-54,M,38950.0
2020.0,Broj,55-59,M,41653.0
2020.0,Broj,60-64,M,41310.0
2020.0,Broj,65-69,M,38322.0
2020.0,Broj,70-74,M,26890.0
2020.0,Broj,75-79,M,16062.0
2020.0,Broj,80-84,M,12843.0
2020.0,Broj,85-89,M,5019.0
2020.0,Broj,90 +,M,1411.0
2020.0,Broj,Ukupno,Ž,578852.0
2020.0,Broj,0-4,Ž,22287.0
2020.0,Broj,5-9,Ž,24286.0
2020.0,Broj,10-14,Ž,26590.0
2020.0,Broj,15-19,Ž,26841.0
2020.0,Broj,20-24,Ž,32167.0
2020.0,Broj,25-29,Ž,30969.0
2020.0,Broj,30-34,Ž,35615.0
2020.0,Broj,35-39,Ž,39274.0
2020.0,Broj,40-44,Ž,39400.0
2020.0,Broj,45-49,Ž,37360.0
2020.0,Broj,50-54,Ž,38754.0
2020.0,Broj,55-59,Ž,43913.0
2020.0,Broj,60-64,Ž,45971.0
2020.0,Broj,65-69,Ž,44829.0
2020.0,Broj,70-74,Ž,34745.0
2020.0,Broj,75-79,Ž,23456.0
2020.0,Broj,80-84,Ž,20638.0
2020.0,Broj,85-89,Ž,9146.0
2020.0,Broj,90 +,Ž,2611.0
2021.0,Broj,Ukupno,Ukupno,1128309.0
2021.0,Broj,0-4,Ukupno,46576.0
2021.0,Broj,5-9,Ukupno,48911.0
2021.0,Broj,10-14,Ukupno,54566.0
2021.0,Broj,15-19,Ukupno,54747.0
2021.0,Broj,20-24,Ukupno,63880.0
2021.0,Broj,25-29,Ukupno,66061.0
2021.0,Broj,30-34,Ukupno,71716.0
2021.0,Broj,35-39,Ukupno,79502.0
2021.0,Broj,40-44,Ukupno,80230.0
2021.0,Broj,45-49,Ukupno,77843.0
2021.0,Broj,50-54,Ukupno,75293.0
2021.0,Broj,55-59,Ukupno,83859.0
2021.0,Broj,60-64,Ukupno,86008.0
2021.0,Broj,65-69,Ukupno,84343.0
2021.0,Broj,70-74,Ukupno,64407.0
2021.0,Broj,75-79,Ukupno,38179.0
2021.0,Broj,80-84,Ukupno,33203.0
2021.0,Broj,85-89,Ukupno,14615.0
2021.0,Broj,90 +,Ukupno,4370.0
2021.0,Broj,Ukupno,M,555675.0
2021.0,Broj,0-4,M,24423.0
2021.0,Broj,5-9,M,25415.0
2021.0,Broj,10-14,M,28047.0
2021.0,Broj,15-19,M,28452.0
2021.0,Broj,20-24,M,33368.0
2021.0,Broj,25-29,M,35138.0
2021.0,Broj,30-34,M,37332.0
2021.0,Broj,35-39,M,40838.0
2021.0,Broj,40-44,M,41042.0
2021.0,Broj,45-49,M,39882.0
2021.0,Broj,50-54,M,37942.0
2021.0,Broj,55-59,M,40953.0
2021.0,Broj,60-64,M,40805.0
2021.0,Broj,65-69,M,38861.0
2021.0,Broj,70-74,M,28106.0
2021.0,Broj,75-79,M,15574.0
2021.0,Broj,80-84,M,12753.0
2021.0,Broj,85-89,M,5205.0
2021.0,Broj,90 +,M,1539.0
2021.0,Broj,Ukupno,Ž,572634.0
2021.0,Broj,0-4,Ž,22153.0
2021.0,Broj,5-9,Ž,23496.0
2021.0,Broj,10-14,Ž,26519.0
2021.0,Broj,15-19,Ž,26295.0
2021.0,Broj,20-24,Ž,30512.0
2021.0,Broj,25-29,Ž,30923.0
2021.0,Broj,30-34,Ž,34384.0
2021.0,Broj,35-39,Ž,38664.0
2021.0,Broj,40-44,Ž,39188.0
2021.0,Broj,45-49,Ž,37961.0
2021.0,Broj,50-54,Ž,37351.0
2021.0,Broj,55-59,Ž,42906.0
2021.0,Broj,60-64,Ž,45203.0
2021.0,Broj,65-69,Ž,45482.0
2021.0,Broj,70-74,Ž,36301.0
2021.0,Broj,75-79,Ž,22605.0
2021.0,Broj,80-84,Ž,20450.0
2021.0,Broj,85-89,Ž,9410.0
2021.0,Broj,90 +,Ž,2831.0
2022.0,Broj,Ukupno,Ukupno,1120236.0
2022.0,Broj,0-4,Ukupno,46394.0
2022.0,Broj,5-9,Ukupno,47796.0
2022.0,Broj,10-14,Ukupno,54372.0
2022.0,Broj,15-19,Ukupno,54069.0
2022.0,Broj,20-24,Ukupno,60901.0
2022.0,Broj,25-29,Ukupno,67370.0
2022.0,Broj,30-34,Ukupno,69610.0
2022.0,Broj,35-39,Ukupno,78304.0
2022.0,Broj,40-44,Ukupno,79978.0
2022.0,Broj,45-49,Ukupno,78709.0
2022.0,Broj,50-54,Ukupno,74238.0
2022.0,Broj,55-59,Ukupno,81717.0
2022.0,Broj,60-64,Ukupno,85329.0
2022.0,Broj,65-69,Ukupno,83893.0
2022.0,Broj,70-74,Ukupno,66323.0
2022.0,Broj,75-79,Ukupno,39578.0
2022.0,Broj,80-84,Ukupno,31802.0
2022.0,Broj,85-89,Ukupno,15255.0
2022.0,Broj,90 +,Ukupno,4598.0
2022.0,Broj,Ukupno,M,551376.0
2022.0,Broj,0-4,M,24217.0
2022.0,Broj,5-9,M,24939.0
2022.0,Broj,10-14,M,27994.0
2022.0,Broj,15-19,M,27885.0
2022.0,Broj,20-24,M,31825.0
2022.0,Broj,25-29,M,35717.0
2022.0,Broj,30-34,M,36548.0
2022.0,Broj,35-39,M,40243.0
2022.0,Broj,40-44,M,40886.0
2022.0,Broj,45-49,M,40248.0
2022.0,Broj,50-54,M,37552.0
2022.0,Broj,55-59,M,39976.0
2022.0,Broj,60-64,M,40478.0
2022.0,Broj,65-69,M,38556.0
2022.0,Broj,70-74,M,28924.0
2022.0,Broj,75-79,M,16145.0
2022.0,Broj,80-84,M,12190.0
2022.0,Broj,85-89,M,5438.0
2022.0,Broj,90 +,M,1615.0
2022.0,Broj,Ukupno,Ž,568860.0
2022.0,Broj,0-4,Ž,22177.0
2022.0,Broj,5-9,Ž,22857.0
2022.0,Broj,10-14,Ž,26378.0
2022.0,Broj,15-19,Ž,26184.0
2022.0,Broj,20-24,Ž,29076.0
2022.0,Broj,25-29,Ž,31653.0
2022.0,Broj,30-34,Ž,33062.0
2022.0,Broj,35-39,Ž,38061.0
2022.0,Broj,40-44,Ž,39092.0
2022.0,Broj,45-49,Ž,38461.0
2022.0,Broj,50-54,Ž,36686.0
2022.0,Broj,55-59,Ž,41741.0
2022.0,Broj,60-64,Ž,44851.0
2022.0,Broj,65-69,Ž,45337.0
2022.0,Broj,70-74,Ž,37399.0
2022.0,Broj,75-79,Ž,23433.0
2022.0,Broj,80-84,Ž,19612.0
2022.0,Broj,85-89,Ž,9817.0
2022.0,Broj,90 +,Ž,2983.0
2023.0,Broj,Ukupno,Ukupno,1114819.0
2023.0,Broj,0-4,Ukupno,46147.0
2023.0,Broj,5-9,Ukupno,47158.0
2023.0,Broj,10-14,Ukupno,53554.0
2023.0,Broj,15-19,Ukupno,53967.0
2023.0,Broj,20-24,Ukupno,58214.0
2023.0,Broj,25-29,Ukupno,69206.0
2023.0,Broj,30-34,Ukupno,66524.0
2023.0,Broj,35-39,Ukupno,76909.0
2023.0,Broj,40-44,Ukupno,80073.0
2023.0,Broj,45-49,Ukupno,79140.0
2023.0,Broj,50-54,Ukupno,74038.0
2023.0,Broj,55-59,Ukupno,79564.0
2023.0,Broj,60-64,Ukupno,84540.0
2023.0,Broj,65-69,Ukupno,82695.0
2023.0,Broj,70-74,Ukupno,69035.0
2023.0,Broj,75-79,Ukupno,42332.0
2023.0,Broj,80-84,Ukupno,30426.0
2023.0,Broj,85-89,Ukupno,16153.0
2023.0,Broj,90 +,Ukupno,5144.0
2023.0,Broj,Ukupno,M,548577.0
2023.0,Broj,0-4,M,23999.0
2023.0,Broj,5-9,M,24722.0
2023.0,Broj,10-14,M,27598.0
2023.0,Broj,15-19,M,27755.0
2023.0,Broj,20-24,M,30356.0
2023.0,Broj,25-29,M,36534.0
2023.0,Broj,30-34,M,35177.0
2023.0,Broj,35-39,M,39611.0
