Year,UNIT_MEASURE,Spol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2003,Broj,Oba spola,Ukupno,12988
2004,Broj,Oba spola,Ukupno,13082
2005,Broj,Oba spola,Ukupno,13802
2006,Broj,Oba spola,Ukupno,13232
2007,Broj,Oba spola,Ukupno,14146
2008,Broj,Oba spola,Ukupno,13501
2009,Broj,Oba spola,Ukupno,13775
2010,Broj,Oba spola,Ukupno,13517
2011,Broj,Oba spola,Ukupno,13658
2012,Broj,Oba spola,Ukupno,13796
2013,Broj,Oba spola,Ukupno,13978
2014,Broj,Oba spola,Ukupno,14409
2015,Broj,Oba spola,Ukupno,15059
2016,Broj,Oba spola,Ukupno,13970
2017,Broj,Oba spola,Ukupno,14663
2018,Broj,Oba spola,Ukupno,14763
2019,Broj,Oba spola,Ukupno,15081
2020,Broj,Oba spola,Ukupno,16582
2003,Broj,M,Ukupno,6804
2004,Broj,M,Ukupno,6735
2005,Broj,M,Ukupno,7239
2006,Broj,M,Ukupno,6904
2007,Broj,M,Ukupno,7302
2008,Broj,M,Ukupno,7058
2009,Broj,M,Ukupno,7099
2010,Broj,M,Ukupno,6935
2011,Broj,M,Ukupno,7001
2012,Broj,M,Ukupno,7064
2013,Broj,M,Ukupno,7237
2014,Broj,M,Ukupno,7386
2015,Broj,M,Ukupno,7640
2016,Broj,M,Ukupno,7198
2017,Broj,M,Ukupno,7363
2018,Broj,M,Ukupno,7449
2019,Broj,M,Ukupno,7753
2020,Broj,M,Ukupno,8613
2003,Broj,M,infectious_and_parasitic_diseases,59
2004,Broj,M,infectious_and_parasitic_diseases,75
2005,Broj,M,infectious_and_parasitic_diseases,78
2006,Broj,M,infectious_and_parasitic_diseases,73
2007,Broj,M,infectious_and_parasitic_diseases,70
2008,Broj,M,infectious_and_parasitic_diseases,72
2009,Broj,M,infectious_and_parasitic_diseases,75
2010,Broj,M,infectious_and_parasitic_diseases,72
2011,Broj,M,infectious_and_parasitic_diseases,79
2012,Broj,M,infectious_and_parasitic_diseases,69
2013,Broj,M,infectious_and_parasitic_diseases,73
2014,Broj,M,infectious_and_parasitic_diseases,80
2015,Broj,M,infectious_and_parasitic_diseases,92
2016,Broj,M,infectious_and_parasitic_diseases,104
2017,Broj,M,infectious_and_parasitic_diseases,85
2018,Broj,M,infectious_and_parasitic_diseases,109
2019,Broj,M,infectious_and_parasitic_diseases,119
2020,Broj,M,infectious_and_parasitic_diseases,87
2003,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1461
2004,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1402
2005,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1581
2006,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1536
2007,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1624
2008,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1658
2009,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1661
2010,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1595
2011,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1684
2012,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1754
2013,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1859
2014,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1801
2015,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1783
2016,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1739
2017,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1759
2018,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1729
2019,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1705
2020,Broj,M,"„(C00-C97,D00-D48) Neoplazme“",1622
2003,Broj,M,diseases_of_the_blood_and_blood_forming_organs,6
2004,Broj,M,diseases_of_the_blood_and_blood_forming_organs,2
2005,Broj,M,diseases_of_the_blood_and_blood_forming_organs,5
2006,Broj,M,diseases_of_the_blood_and_blood_forming_organs,2
2007,Broj,M,diseases_of_the_blood_and_blood_forming_organs,6
2008,Broj,M,diseases_of_the_blood_and_blood_forming_organs,3
2009,Broj,M,diseases_of_the_blood_and_blood_forming_organs,4
2010,Broj,M,diseases_of_the_blood_and_blood_forming_organs,5
2011,Broj,M,diseases_of_the_blood_and_blood_forming_organs,7
2012,Broj,M,diseases_of_the_blood_and_blood_forming_organs,9
2013,Broj,M,diseases_of_the_blood_and_blood_forming_organs,8
2014,Broj,M,diseases_of_the_blood_and_blood_forming_organs,2
2015,Broj,M,diseases_of_the_blood_and_blood_forming_organs,9
2016,Broj,M,diseases_of_the_blood_and_blood_forming_organs,9
2017,Broj,M,diseases_of_the_blood_and_blood_forming_organs,3
2018,Broj,M,diseases_of_the_blood_and_blood_forming_organs,18
2019,Broj,M,diseases_of_the_blood_and_blood_forming_organs,8
2020,Broj,M,diseases_of_the_blood_and_blood_forming_organs,12
2003,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,71
2004,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,68
2005,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,286
2006,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,306
2007,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,349
2008,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,310
2009,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,361
2010,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,289
2011,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,257
2012,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,211
2013,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,341
2014,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,411
2015,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,362
2016,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,313
2017,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,373
2018,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,386
2019,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,261
2020,Broj,M,diseases_of_the_endocrine_glands_nutrition_and_metabolism,340
2003,Broj,M,mental_disorders_and_behavioral_disorders,24
2004,Broj,M,mental_disorders_and_behavioral_disorders,46
2005,Broj,M,mental_disorders_and_behavioral_disorders,64
2006,Broj,M,mental_disorders_and_behavioral_disorders,67
2007,Broj,M,mental_disorders_and_behavioral_disorders,87
2008,Broj,M,mental_disorders_and_behavioral_disorders,82
2009,Broj,M,mental_disorders_and_behavioral_disorders,92
2010,Broj,M,mental_disorders_and_behavioral_disorders,73
2011,Broj,M,mental_disorders_and_behavioral_disorders,58
2012,Broj,M,mental_disorders_and_behavioral_disorders,46
2013,Broj,M,mental_disorders_and_behavioral_disorders,64
2014,Broj,M,mental_disorders_and_behavioral_disorders,63
2015,Broj,M,mental_disorders_and_behavioral_disorders,44
2016,Broj,M,mental_disorders_and_behavioral_disorders,72
2017,Broj,M,mental_disorders_and_behavioral_disorders,70
2018,Broj,M,mental_disorders_and_behavioral_disorders,55
2019,Broj,M,mental_disorders_and_behavioral_disorders,50
2020,Broj,M,mental_disorders_and_behavioral_disorders,43
2003,Broj,M,diseases_of_the_nervous_system,39
2004,Broj,M,diseases_of_the_nervous_system,53
2005,Broj,M,diseases_of_the_nervous_system,86
2006,Broj,M,diseases_of_the_nervous_system,111
2007,Broj,M,diseases_of_the_nervous_system,85
2008,Broj,M,diseases_of_the_nervous_system,91
2009,Broj,M,diseases_of_the_nervous_system,78
2010,Broj,M,diseases_of_the_nervous_system,76
2011,Broj,M,diseases_of_the_nervous_system,112
2012,Broj,M,diseases_of_the_nervous_system,105
2013,Broj,M,diseases_of_the_nervous_system,98
2014,Broj,M,diseases_of_the_nervous_system,97
2015,Broj,M,diseases_of_the_nervous_system,106
