Year,UNIT_MEASURE,scientific_field,TYPE_OF_EDUCATION,Spol,Value
2017,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,2140
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,917
2017,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,1223
2017,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,31
2017,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,21
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,10
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,73
2017,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,34
2017,Broj,education,enrolled_in_specialist_studies,M,39
2017,Broj,services,doctoral_students,Oba spola,130
2017,Broj,TOTAL,doctoral_students,Ž,70
2017,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,60
2017,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Oba spola,67
2017,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Ž,26
2017,Broj,health_and_social_protection,enrolled_in_master's_studies,M,41
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,Oba spola,1
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,0
2017,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,1
2017,Broj,education,enrolled_in_specialist_studies,Oba spola,0
2017,Broj,services,enrolled_in_specialist_studies,Ž,0
2017,Broj,TOTAL,enrolled_in_specialist_studies,M,0
2017,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,Oba spola,10
2017,Broj,"engineering,_production_and_construction",doctoral_students,Ž,6
2017,Broj,information_and_communication_technologies,doctoral_students,M,4
2017,Broj,health_and_social_protection,enrolled_in_master's_studies,Oba spola,347
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master's_studies,Ž,208
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,M,139
2017,Broj,"business,_administration_and_law",enrolled_in_master_studies,Oba spola,0
2017,Broj,education,enrolled_in_specialist_studies,Ž,0
2017,Broj,services,enrolled_in_specialist_studies,M,0
2017,Broj,TOTAL,enrolled_in_specialist_studies,Oba spola,0
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,Ž,0
2017,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,M,0
2017,Broj,information_and_communication_technologies,doctoral_students,Oba spola,4
2017,Broj,health_and_social_protection,doctoral_students,Ž,3
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,M,1
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_master's_studies,Oba spola,99
2017,Broj,"business,_administration_and_law",enrolled_in_master's_studies,Ž,80
2017,Broj,education,enrolled_in_master's_studies,M,19
2017,Broj,services,enrolled_in_master_studies,Oba spola,22
2017,Broj,TOTAL,enrolled_in_specialist_studies,Ž,14
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_specialist_studies,M,8
2017,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Oba spola,0
2017,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,Ž,0
2017,Broj,health_and_social_protection,enrolled_in_specialist_studies,M,0
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",doctoral_students,Oba spola,12
2017,Broj,"social_sciences,_journalism_and_information",doctoral_students,Ž,9
2017,Broj,"business,_administration_and_law",doctoral_students,M,3
2017,Broj,education,enrolled_in_master's_studies,Oba spola,35
2017,Broj,services,enrolled_in_master's_studies,Ž,8
2017,Broj,TOTAL,enrolled_in_master's_studies,M,27
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master_studies,Oba spola,0
2017,Broj,"engineering,_production_and_construction",enrolled_in_specialist_studies,Ž,0
2017,Broj,information_and_communication_technologies,enrolled_in_specialist_studies,M,0
2017,Broj,health_and_social_protection,enrolled_in_specialist_studies,Oba spola,71
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,Ž,33
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,M,38
2017,Broj,"business,_administration_and_law",doctoral_students,Oba spola,25
2017,Broj,education,doctoral_students,Ž,6
2017,Broj,services,doctoral_students,M,19
2017,Broj,TOTAL,enrolled_in_master's_studies,Oba spola,206
2017,Broj,"natural_sciences,_mathematics_and_statistics",enrolled_in_master's_studies,Ž,114
2017,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,M,92
2017,Broj,information_and_communication_technologies,enrolled_in_master_studies,Oba spola,0
2017,Broj,health_and_social_protection,enrolled_in_specialist_studies,Ž,0
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_specialist_studies,M,0
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Oba spola,0
2017,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,Ž,0
2017,Broj,education,enrolled_in_specialist_studies,M,0
2017,Broj,services,doctoral_students,Oba spola,9
2017,Broj,TOTAL,doctoral_students,Ž,4
2017,Broj,"natural_sciences,_mathematics_and_statistics",doctoral_students,M,5
2017,Broj,"engineering,_production_and_construction",enrolled_in_master's_studies,Oba spola,473
2017,Broj,information_and_communication_technologies,enrolled_in_master's_studies,Ž,176
2017,Broj,health_and_social_protection,enrolled_in_master's_studies,M,297
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",enrolled_in_master_studies,Oba spola,0
2017,Broj,"social_sciences,_journalism_and_information",enrolled_in_specialist_studies,Ž,0
2017,Broj,"business,_administration_and_law",enrolled_in_specialist_studies,M,0
2017,Broj,education,enrolled_in_specialist_studies,Oba spola,1
