Year,Value,UNIT_MEASURE
2003,10.9,Number per 1000 population
2004,11.0,Number per 1000 population
2005,11.6,Number per 1000 population
2006,11.2,Number per 1000 population
2007,12.0,Number per 1000 population
2008,11.4,Number per 1000 population
2009,11.7,Number per 1000 population
2010,11.5,Number per 1000 population
2011,11.6,Number per 1000 population
2012,11.8,Number per 1000 population
2013,11.9,Number per 1000 population
2014,12.3,Number per 1000 population
2015,13.0,Number per 1000 population
2016,12.1,Number per 1000 population
2017,12.7,Number per 1000 population
2018,12.9,Number per 1000 population
2019,13.2,Number per 1000 population
2020,14.6,Number per 1000 population
2021,16.8,Number per 1000 population
2022,14.5,Number per 1000 population
2023,12.1,Number per 1000 population
2024,12.7,Number per 1000 population
