Year,Value,UNIT_MEASURE
2003,1.33,Number of children per woman 15-49
2004,1.35,Number of children per woman 15-49
2005,1.31,Number of children per woman 15-49
2006,1.34,Number of children per woman 15-49
2007,1.3,Number of children per woman 15-49
2008,1.32,Number of children per woman 15-49
2009,1.39,Number of children per woman 15-49
2010,1.33,Number of children per woman 15-49
2011,1.27,Number of children per woman 15-49
2012,1.35,Number of children per woman 15-49
2013,1.3,Number of children per woman 15-49
2014,1.28,Number of children per woman 15-49
2015,1.3,Number of children per woman 15-49
2016,1.32,Number of children per woman 15-49
2017,1.31,Number of children per woman 15-49
2018,1.36,Number of children per woman 15-49
2019,1.34,Number of children per woman 15-49
2020,1.38,Number of children per woman 15-49
2021,1.41,Number of children per woman 15-49
2022,1.41,Number of children per woman 15-49
2023,1.45,Number of children per woman 15-49
2024,1.47,Number of children per woman 15-49
