Year,Value,UNIT_MEASURE
2003,5.7,Number per 1000 population
2004,6.0,Number per 1000 population
2005,5.7,Number per 1000 population
2006,5.8,Number per 1000 population
2007,6.0,Number per 1000 population
2008,5.4,Number per 1000 population
2009,5.2,Number per 1000 population
2010,4.9,Number per 1000 population
2011,4.9,Number per 1000 population
2012,4.5,Number per 1000 population
2013,4.7,Number per 1000 population
2014,5.0,Number per 1000 population
2015,5.1,Number per 1000 population
2016,4.8,Number per 1000 population
2017,5.2,Number per 1000 population
2018,5.2,Number per 1000 population
2019,5.1,Number per 1000 population
2020,3.7,Number per 1000 population
2021,4.9,Number per 1000 population
2022,4.9,Number per 1000 population
