Year,UNIT_MEASURE,type_of_education,SEX,Value
2017,NUMBER,total,_T,54
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,4
2017,NUMBER,"engineering,_production_and_construction",_T,6
2017,NUMBER,information_and_communication_technologies,_T,4
2017,NUMBER,health_and_social_protection,_T,1
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",_T,2
2017,NUMBER,"social_sciences,_journalism_and_information",_T,14
2017,NUMBER,"business,_administration_and_law",_T,16
2017,NUMBER,education,_T,0
2017,NUMBER,arts_and_humanities,_T,7
2017,NUMBER,services,_T,0
2017,NUMBER,total,M,37
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",M,2
2017,NUMBER,"engineering,_production_and_construction",M,3
2017,NUMBER,information_and_communication_technologies,M,3
2017,NUMBER,health_and_social_protection,M,1
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,2
2017,NUMBER,"social_sciences,_journalism_and_information",M,10
2017,NUMBER,"business,_administration_and_law",M,13
2017,NUMBER,education,M,0
2017,NUMBER,arts_and_humanities,M,3
2017,NUMBER,services,M,0
2017,NUMBER,total,F,17
2017,NUMBER,"natural_sciences,_mathematics_and_statistics",F,2
2017,NUMBER,"engineering,_production_and_construction",F,3
2017,NUMBER,information_and_communication_technologies,F,1
2017,NUMBER,health_and_social_protection,F,0
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",F,0
2017,NUMBER,"social_sciences,_journalism_and_information",F,4
2017,NUMBER,"business,_administration_and_law",F,3
2017,NUMBER,education,F,0
2017,NUMBER,arts_and_humanities,F,4
2017,NUMBER,services,F,0
2018,NUMBER,total,_T,43
2018,NUMBER,"natural_sciences,_mathematics_and_statistics",_T,1
2018,NUMBER,"engineering,_production_and_construction",_T,3
2018,NUMBER,information_and_communication_technologies,_T,3
2018,NUMBER,health_and_social_protection,_T,0
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",_T,4
