Year,UNIT_MEASURE,type_of_institution,Value
2016,NUMBER,institutions_for_children_and_youth,530
2017,NUMBER,institutions_for_children_and_youth,509
2018,NUMBER,institutions_for_children_and_youth,509
2019,NUMBER,institutions_for_children_and_youth,485
2020,NUMBER,institutions_for_children_and_youth,478
2016,NUMBER,adult_facilities,2020
2017,NUMBER,adult_facilities,2228
2018,NUMBER,adult_facilities,2661
2019,NUMBER,adult_facilities,3116
2020,NUMBER,adult_facilities,3087
2021,NUMBER,institutions_for_children_and_youth,500
2021,NUMBER,adult_facilities,3482
2022,NUMBER,institutions_for_children_and_youth,464
2022,NUMBER,adult_facilities,3853
