Year,UNIT_MEASURE,ADMIN_AREA,SEX,Disabilities,Value
2013,NUMBER,VLASENICA,M,communication,50
2013,NUMBER,VLASENICA,F,communication,46
2013,NUMBER,VUKOSAVLJE,_T,communication,50
2013,NUMBER,VUKOSAVLJE,M,communication,26
2013,NUMBER,VUKOSAVLJE,F,communication,24
2013,NUMBER,GACKO,_T,communication,70
2013,NUMBER,GACKO,M,communication,30
2013,NUMBER,GACKO,F,communication,40
2013,NUMBER,GRADISKA,_T,communication,504
2013,NUMBER,GRADISKA,M,communication,220
2013,NUMBER,GRADISKA,F,communication,284
2013,NUMBER,DERVENTA,_T,communication,255
2013,NUMBER,DERVENTA,M,communication,118
2013,NUMBER,DERVENTA,F,communication,137
2013,NUMBER,DOBOJ,_T,communication,786
2013,NUMBER,DOBOJ,M,communication,353
2013,NUMBER,DOBOJ,F,communication,433
2013,NUMBER,DONJI ZABAR,_T,communication,23
2013,NUMBER,DONJI ZABAR,M,communication,13
2013,NUMBER,DONJI ZABAR,F,communication,10
2013,NUMBER,ZVORNIK,_T,communication,402
2013,NUMBER,ZVORNIK,M,communication,184
2013,NUMBER,ZVORNIK,F,communication,218
2013,NUMBER,ISTOCNA ILIDZA,_T,communication,113
2013,NUMBER,ISTOCNA ILIDZA,M,communication,54
2013,NUMBER,ISTOCNA ILIDZA,F,communication,59
2013,NUMBER,ISTOCNI DRVAR,_T,communication,0
2013,NUMBER,ISTOCNI DRVAR,M,communication,0
2013,NUMBER,ISTOCNI DRVAR,F,communication,0
2013,NUMBER,ISTOCNI MOSTAR,_T,communication,2
2013,NUMBER,ISTOCNI MOSTAR,M,communication,1
2013,NUMBER,ISTOCNI MOSTAR,F,communication,1
2013,NUMBER,ISTOCNI STARI GRAD,_T,communication,14
2013,NUMBER,ISTOCNI STARI GRAD,M,communication,9
2013,NUMBER,ISTOCNI STARI GRAD,F,communication,5
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,communication,65
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,communication,33
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,communication,32
2013,NUMBER,JEZERO,_T,communication,14
2013,NUMBER,JEZERO,M,communication,6
2013,NUMBER,JEZERO,F,communication,8
2013,NUMBER,KALINOVIK,_T,communication,17
2013,NUMBER,KALINOVIK,M,communication,8
2013,NUMBER,KALINOVIK,F,communication,9
2013,NUMBER,KNEZEVO,_T,communication,140
2013,NUMBER,KNEZEVO,M,communication,59
2013,NUMBER,KNEZEVO,F,communication,81
2013,NUMBER,KOZARSKA DUBICA,_T,communication,187
2013,NUMBER,KOZARSKA DUBICA,M,communication,94
2013,NUMBER,KOZARSKA DUBICA,F,communication,93
2013,NUMBER,KOSTAJNICA,_T,communication,53
2013,NUMBER,KOSTAJNICA,M,communication,21
2013,NUMBER,KOSTAJNICA,F,communication,32
2013,NUMBER,KOTOR VAROS,_T,communication,176
2013,NUMBER,KOTOR VAROS,M,communication,84
2013,NUMBER,KOTOR VAROS,F,communication,92
2013,NUMBER,KRUPA NA UNI,_T,communication,20
2013,NUMBER,KRUPA NA UNI,M,communication,8
2013,NUMBER,KRUPA NA UNI,F,communication,12
2013,NUMBER,KUPRES,_T,communication,6
2013,NUMBER,KUPRES,M,communication,4
2013,NUMBER,KUPRES,F,communication,2
2013,NUMBER,LAKTASI,_T,communication,283
2013,NUMBER,LAKTASI,M,communication,148
2013,NUMBER,LAKTASI,F,communication,135
2013,NUMBER,LOPARE,_T,communication,168
2013,NUMBER,LOPARE,M,communication,86
2013,NUMBER,LOPARE,F,communication,82
2013,NUMBER,LJUBINJE,_T,communication,31
2013,NUMBER,LJUBINJE,M,communication,14
2013,NUMBER,LJUBINJE,F,communication,17
2013,NUMBER,MILICI,_T,communication,77
2013,NUMBER,MILICI,M,communication,27
2013,NUMBER,MILICI,F,communication,50
2013,NUMBER,MODRICA,_T,communication,309
2013,NUMBER,MODRICA,M,communication,139
2013,NUMBER,MODRICA,F,communication,170
2013,NUMBER,MRKONJIC GRAD,_T,communication,176
2013,NUMBER,MRKONJIC GRAD,M,communication,73
2013,NUMBER,MRKONJIC GRAD,F,communication,103
2013,NUMBER,NEVESINJE,_T,communication,107
2013,NUMBER,NEVESINJE,M,communication,43
2013,NUMBER,NEVESINJE,F,communication,64
2013,NUMBER,NOVI GRAD,_T,communication,277
2013,NUMBER,NOVI GRAD,M,communication,121
2013,NUMBER,NOVI GRAD,F,communication,156
2013,NUMBER,NOVO GORAZDE,_T,communication,18
2013,NUMBER,NOVO GORAZDE,M,communication,5
2013,NUMBER,NOVO GORAZDE,F,communication,13
2013,NUMBER,OSMACI,_T,communication,40
2013,NUMBER,OSMACI,M,communication,19
2013,NUMBER,OSMACI,F,communication,21
2013,NUMBER,OSTRA LUKA,_T,communication,26
2013,NUMBER,OSTRA LUKA,M,communication,10
2013,NUMBER,OSTRA LUKA,F,communication,16
2013,NUMBER,PALE,_T,communication,130
2013,NUMBER,PALE,M,communication,59
2013,NUMBER,PALE,F,communication,71
2013,NUMBER,PELAGICEVO,_T,communication,68
2013,NUMBER,PELAGICEVO,M,communication,33
2013,NUMBER,PELAGICEVO,F,communication,35
2013,NUMBER,PETROVAC,_T,communication,1
2013,NUMBER,PETROVAC,M,communication,0
2013,NUMBER,PETROVAC,F,communication,1
2013,NUMBER,PETROVO,_T,communication,64
2013,NUMBER,PETROVO,M,communication,36
2013,NUMBER,PETROVO,F,communication,28
2013,NUMBER,PRIJEDOR,_T,communication,927
2013,NUMBER,PRIJEDOR,M,communication,517
2013,NUMBER,PRIJEDOR,F,communication,410
2013,NUMBER,PRNJAVOR,_T,communication,320
2013,NUMBER,PRNJAVOR,M,communication,162
2013,NUMBER,PRNJAVOR,F,communication,158
2013,NUMBER,RIBNIK,_T,communication,91
2013,NUMBER,RIBNIK,M,communication,45
2013,NUMBER,RIBNIK,F,communication,46
2013,NUMBER,ROGATICA,_T,communication,90
2013,NUMBER,ROGATICA,M,communication,45
2013,NUMBER,ROGATICA,F,communication,45
2013,NUMBER,RUDO,_T,communication,68
2013,NUMBER,RUDO,M,communication,29
2013,NUMBER,RUDO,F,communication,39
2013,NUMBER,SOKOLAC,_T,communication,112
2013,NUMBER,SOKOLAC,M,communication,43
2013,NUMBER,SOKOLAC,F,communication,69
2013,NUMBER,SRBAC,_T,communication,171
2013,NUMBER,SRBAC,M,communication,81
2013,NUMBER,SRBAC,F,communication,90
2013,NUMBER,SREBRENICA,_T,communication,80
2013,NUMBER,SREBRENICA,M,communication,33
2013,NUMBER,SREBRENICA,F,communication,47
2013,NUMBER,TESLIC,_T,communication,387
2013,NUMBER,TESLIC,M,communication,189
2013,NUMBER,TESLIC,F,communication,198
2013,NUMBER,TREBINJE,_T,communication,205
2013,NUMBER,TREBINJE,M,communication,94
2013,NUMBER,TREBINJE,F,communication,111
2013,NUMBER,TRNOVO,_T,communication,22
2013,NUMBER,TRNOVO,M,communication,12
2013,NUMBER,TRNOVO,F,communication,10
2013,NUMBER,UGLJEVIK,_T,communication,93
2013,NUMBER,UGLJEVIK,M,communication,41
2013,NUMBER,UGLJEVIK,F,communication,52
2013,NUMBER,FOCA,_T,communication,170
2013,NUMBER,FOCA,M,communication,81
2013,NUMBER,FOCA,F,communication,89
2013,NUMBER,HAN PIJESAK,_T,communication,36
2013,NUMBER,HAN PIJESAK,M,communication,14
2013,NUMBER,HAN PIJESAK,F,communication,22
2013,NUMBER,CAJNICE,_T,communication,41
2013,NUMBER,CAJNICE,M,communication,17
2013,NUMBER,CAJNICE,F,communication,24
2013,NUMBER,CELINAC,_T,communication,163
2013,NUMBER,CELINAC,M,communication,72
2013,NUMBER,CELINAC,F,communication,91
2013,NUMBER,SAMAC,_T,communication,146
2013,NUMBER,SAMAC,M,communication,71
2013,NUMBER,SAMAC,F,communication,75
2013,NUMBER,SEKOVICI,_T,communication,68
2013,NUMBER,SEKOVICI,M,communication,33
2013,NUMBER,SEKOVICI,F,communication,35
2013,NUMBER,SIPOVO,_T,communication,92
2013,NUMBER,SIPOVO,M,communication,42
2013,NUMBER,SIPOVO,F,communication,50
2013,NUMBER,REPUBLIKA SRPSKA,_T,more_disabilities,38298
2013,NUMBER,REPUBLIKA SRPSKA,M,more_disabilities,16292
2013,NUMBER,REPUBLIKA SRPSKA,F,more_disabilities,22006
2013,NUMBER,BANJA LUKA,_T,more_disabilities,4944
2013,NUMBER,BANJA LUKA,M,more_disabilities,2158
2013,NUMBER,BANJA LUKA,F,more_disabilities,2786
2013,NUMBER,BERKOVICI,_T,more_disabilities,73
2013,NUMBER,BERKOVICI,M,more_disabilities,32
2013,NUMBER,BERKOVICI,F,more_disabilities,41
2013,NUMBER,BIJELJINA,_T,more_disabilities,3094
2013,NUMBER,BIJELJINA,M,more_disabilities,1359
2013,NUMBER,BIJELJINA,F,more_disabilities,1735
2013,NUMBER,BILECA,_T,more_disabilities,350
2013,NUMBER,BILECA,M,more_disabilities,151
2013,NUMBER,BILECA,F,more_disabilities,199
2013,NUMBER,BRATUNAC,_T,more_disabilities,566
2013,NUMBER,BRATUNAC,M,more_disabilities,243
2013,NUMBER,BRATUNAC,F,more_disabilities,323
2013,NUMBER,BROD,_T,more_disabilities,485
2013,NUMBER,BROD,M,more_disabilities,194
2013,NUMBER,BROD,F,more_disabilities,291
2013,NUMBER,VISEGRAD,_T,more_disabilities,477
2013,NUMBER,VISEGRAD,M,more_disabilities,145
2013,NUMBER,VISEGRAD,F,more_disabilities,332
2013,NUMBER,VLASENICA,_T,more_disabilities,305
2013,NUMBER,VLASENICA,M,more_disabilities,130
2013,NUMBER,VLASENICA,F,more_disabilities,175
2013,NUMBER,VUKOSAVLJE,_T,more_disabilities,158
2013,NUMBER,VUKOSAVLJE,M,more_disabilities,77
2013,NUMBER,VUKOSAVLJE,F,more_disabilities,81
2013,NUMBER,GACKO,_T,more_disabilities,219
2013,NUMBER,GACKO,M,more_disabilities,84
2013,NUMBER,GACKO,F,more_disabilities,135
2013,NUMBER,GRADISKA,_T,more_disabilities,1641
2013,NUMBER,GRADISKA,M,more_disabilities,637
2013,NUMBER,GRADISKA,F,more_disabilities,1004
2013,NUMBER,DERVENTA,_T,more_disabilities,938
2013,NUMBER,DERVENTA,M,more_disabilities,385
2013,NUMBER,DERVENTA,F,more_disabilities,553
2013,NUMBER,DOBOJ,_T,more_disabilities,3008
2013,NUMBER,DOBOJ,M,more_disabilities,1227
2013,NUMBER,DOBOJ,F,more_disabilities,1781
2013,NUMBER,DONJI ZABAR,_T,more_disabilities,89
2013,NUMBER,DONJI ZABAR,M,more_disabilities,42
2013,NUMBER,DONJI ZABAR,F,more_disabilities,47
2013,NUMBER,ZVORNIK,_T,more_disabilities,1546
2013,NUMBER,ZVORNIK,M,more_disabilities,670
2013,NUMBER,ZVORNIK,F,more_disabilities,876
2013,NUMBER,ISTOCNA ILIDZA,_T,more_disabilities,394
2013,NUMBER,ISTOCNA ILIDZA,M,more_disabilities,171
2013,NUMBER,ISTOCNA ILIDZA,F,more_disabilities,223
2013,NUMBER,ISTOCNI DRVAR,_T,more_disabilities,4
2013,NUMBER,ISTOCNI DRVAR,M,more_disabilities,1
2013,NUMBER,ISTOCNI DRVAR,F,more_disabilities,3
2013,NUMBER,ISTOCNI MOSTAR,_T,more_disabilities,7
2013,NUMBER,ISTOCNI MOSTAR,M,more_disabilities,2
2013,NUMBER,ISTOCNI MOSTAR,F,more_disabilities,5
2013,NUMBER,ISTOCNI STARI GRAD,_T,more_disabilities,32
2013,NUMBER,ISTOCNI STARI GRAD,M,more_disabilities,16
2013,NUMBER,ISTOCNI STARI GRAD,F,more_disabilities,16
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,more_disabilities,206
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,more_disabilities,87
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,more_disabilities,119
2013,NUMBER,JEZERO,_T,more_disabilities,40
2013,NUMBER,JEZERO,M,more_disabilities,17
2013,NUMBER,JEZERO,F,more_disabilities,23
2013,NUMBER,KALINOVIK,_T,more_disabilities,80
2013,NUMBER,KALINOVIK,M,more_disabilities,30
2013,NUMBER,KALINOVIK,F,more_disabilities,50
2013,NUMBER,KNEZEVO,_T,more_disabilities,399
2013,NUMBER,KNEZEVO,M,more_disabilities,178
2013,NUMBER,KNEZEVO,F,more_disabilities,221
2013,NUMBER,KOZARSKA DUBICA,_T,more_disabilities,741
2013,NUMBER,KOZARSKA DUBICA,M,more_disabilities,302
2013,NUMBER,KOZARSKA DUBICA,F,more_disabilities,439
2013,NUMBER,KOSTAJNICA,_T,more_disabilities,209
2013,NUMBER,KOSTAJNICA,M,more_disabilities,93
2013,NUMBER,KOSTAJNICA,F,more_disabilities,116
2013,NUMBER,KOTOR VAROS,_T,more_disabilities,702
2013,NUMBER,KOTOR VAROS,M,more_disabilities,310
2013,NUMBER,KOTOR VAROS,F,more_disabilities,392
2013,NUMBER,KRUPA NA UNI,_T,more_disabilities,88
2013,NUMBER,KRUPA NA UNI,M,more_disabilities,40
2013,NUMBER,KRUPA NA UNI,F,more_disabilities,48
2013,NUMBER,KUPRES,_T,more_disabilities,21
2013,NUMBER,KUPRES,M,more_disabilities,13
2013,NUMBER,KUPRES,F,more_disabilities,8
2013,NUMBER,LAKTASI,_T,more_disabilities,887
2013,NUMBER,LAKTASI,M,more_disabilities,413
2013,NUMBER,LAKTASI,F,more_disabilities,474
2013,NUMBER,LOPARE,_T,more_disabilities,583
2013,NUMBER,LOPARE,M,more_disabilities,254
2013,NUMBER,LOPARE,F,more_disabilities,329
2013,NUMBER,LJUBINJE,_T,more_disabilities,81
2013,NUMBER,LJUBINJE,M,more_disabilities,34
2013,NUMBER,LJUBINJE,F,more_disabilities,47
2013,NUMBER,MILICI,_T,more_disabilities,314
2013,NUMBER,MILICI,M,more_disabilities,130
2013,NUMBER,MILICI,F,more_disabilities,184
2013,NUMBER,MODRICA,_T,more_disabilities,927
2013,NUMBER,MODRICA,M,more_disabilities,399
2013,NUMBER,MODRICA,F,more_disabilities,528
2013,NUMBER,MRKONJIC GRAD,_T,more_disabilities,475
2013,NUMBER,MRKONJIC GRAD,M,more_disabilities,210
2013,NUMBER,MRKONJIC GRAD,F,more_disabilities,265
2013,NUMBER,NEVESINJE,_T,more_disabilities,327
2013,NUMBER,NEVESINJE,M,more_disabilities,130
2013,NUMBER,NEVESINJE,F,more_disabilities,197
2013,NUMBER,NOVI GRAD,_T,more_disabilities,1049
2013,NUMBER,NOVI GRAD,M,more_disabilities,446
2013,NUMBER,NOVI GRAD,F,more_disabilities,603
2013,NUMBER,NOVO GORAZDE,_T,more_disabilities,75
2013,NUMBER,NOVO GORAZDE,M,more_disabilities,28
2013,NUMBER,NOVO GORAZDE,F,more_disabilities,47
2013,NUMBER,OSMACI,_T,more_disabilities,189
2013,NUMBER,OSMACI,M,more_disabilities,79
2013,NUMBER,OSMACI,F,more_disabilities,110
2013,NUMBER,OSTRA LUKA,_T,more_disabilities,132
2013,NUMBER,OSTRA LUKA,M,more_disabilities,63
2013,NUMBER,OSTRA LUKA,F,more_disabilities,69
2013,NUMBER,PALE,_T,more_disabilities,446
2013,NUMBER,PALE,M,more_disabilities,209
2013,NUMBER,PALE,F,more_disabilities,237
2013,NUMBER,PELAGICEVO,_T,more_disabilities,268
2013,NUMBER,PELAGICEVO,M,more_disabilities,102
2013,NUMBER,PELAGICEVO,F,more_disabilities,166
2013,NUMBER,PETROVAC,_T,more_disabilities,7
2013,NUMBER,PETROVAC,M,more_disabilities,4
2013,NUMBER,PETROVAC,F,more_disabilities,3
2013,NUMBER,PETROVO,_T,more_disabilities,378
2013,NUMBER,PETROVO,M,more_disabilities,156
2013,NUMBER,PETROVO,F,more_disabilities,222
2013,NUMBER,PRIJEDOR,_T,more_disabilities,2789
2013,NUMBER,PRIJEDOR,M,more_disabilities,1276
2013,NUMBER,PRIJEDOR,F,more_disabilities,1513
2013,NUMBER,PRNJAVOR,_T,more_disabilities,1199
2013,NUMBER,PRNJAVOR,M,more_disabilities,465
2013,NUMBER,PRNJAVOR,F,more_disabilities,734
2013,NUMBER,RIBNIK,_T,more_disabilities,272
2013,NUMBER,RIBNIK,M,more_disabilities,128
2013,NUMBER,RIBNIK,F,more_disabilities,144
2013,NUMBER,ROGATICA,_T,more_disabilities,407
2013,NUMBER,ROGATICA,M,more_disabilities,164
2013,NUMBER,ROGATICA,F,more_disabilities,243
2013,NUMBER,RUDO,_T,more_disabilities,252
2013,NUMBER,RUDO,M,more_disabilities,104
2013,NUMBER,RUDO,F,more_disabilities,148
2013,NUMBER,SOKOLAC,_T,more_disabilities,347
2013,NUMBER,SOKOLAC,M,more_disabilities,143
2013,NUMBER,SOKOLAC,F,more_disabilities,204
2013,NUMBER,SRBAC,_T,more_disabilities,576
2013,NUMBER,SRBAC,M,more_disabilities,257
2013,NUMBER,SRBAC,F,more_disabilities,319
2013,NUMBER,SREBRENICA,_T,more_disabilities,381
2013,NUMBER,SREBRENICA,M,more_disabilities,144
2013,NUMBER,SREBRENICA,F,more_disabilities,237
2013,NUMBER,TESLIC,_T,more_disabilities,1374
2013,NUMBER,TESLIC,M,more_disabilities,585
2013,NUMBER,TESLIC,F,more_disabilities,789
2013,NUMBER,TREBINJE,_T,more_disabilities,689
2013,NUMBER,TREBINJE,M,more_disabilities,280
2013,NUMBER,TREBINJE,F,more_disabilities,409
2013,NUMBER,TRNOVO,_T,more_disabilities,69
2013,NUMBER,TRNOVO,M,more_disabilities,31
2013,NUMBER,TRNOVO,F,more_disabilities,38
2013,NUMBER,UGLJEVIK,_T,more_disabilities,402
2013,NUMBER,UGLJEVIK,M,more_disabilities,165
2013,NUMBER,UGLJEVIK,F,more_disabilities,237
2013,NUMBER,FOCA,_T,more_disabilities,581
2013,NUMBER,FOCA,M,more_disabilities,262
2013,NUMBER,FOCA,F,more_disabilities,319
2013,NUMBER,HAN PIJESAK,_T,more_disabilities,95
2013,NUMBER,HAN PIJESAK,M,more_disabilities,30
2013,NUMBER,HAN PIJESAK,F,more_disabilities,65
2013,NUMBER,CAJNICE,_T,more_disabilities,176
2013,NUMBER,CAJNICE,M,more_disabilities,77
2013,NUMBER,CAJNICE,F,more_disabilities,99
2013,NUMBER,CELINAC,_T,more_disabilities,624
2013,NUMBER,CELINAC,M,more_disabilities,269
2013,NUMBER,CELINAC,F,more_disabilities,355
2013,NUMBER,SAMAC,_T,more_disabilities,567
2013,NUMBER,SAMAC,M,more_disabilities,228
2013,NUMBER,SAMAC,F,more_disabilities,339
2013,NUMBER,SEKOVICI,_T,more_disabilities,222
2013,NUMBER,SEKOVICI,M,more_disabilities,101
2013,NUMBER,SEKOVICI,F,more_disabilities,121
2013,NUMBER,SIPOVO,_T,more_disabilities,322
2013,NUMBER,SIPOVO,M,more_disabilities,132
2013,NUMBER,SIPOVO,F,more_disabilities,190
