Year,UNIT_MEASURE,scientific_field,SEX,Value
2017,NUMBER,total,_T,130
2017,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,10
2017,NUMBER,"engineering,_production_and_construction",_T,4
2017,NUMBER,information_and_communication_technologies,_T,12
2017,NUMBER,health_and_social_protection,_T,25
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,9
2017,NUMBER,"social_sciences,_journalism_and_information",_T,50
2017,NUMBER,"business,_administration_and_law",_T,10
2017,NUMBER,eduaction,_T,0
2017,NUMBER,humanities_and_arts,_T,10
2017,NUMBER,services,_T,0
2017,NUMBER,total,M,70
2017,NUMBER,"natural_sciences,_mathematics_and_statistic",M,6
2017,NUMBER,"engineering,_production_and_construction",M,3
2017,NUMBER,information_and_communication_technologies,M,9
2017,NUMBER,health_and_social_protection,M,6
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2017,NUMBER,"social_sciences,_journalism_and_information",M,29
2017,NUMBER,"business,_administration_and_law",M,4
2017,NUMBER,eduaction,M,0
2017,NUMBER,humanities_and_arts,M,9
2017,NUMBER,services,M,0
2017,NUMBER,total,F,60
2017,NUMBER,"natural_sciences,_mathematics_and_statistic",F,4
2017,NUMBER,"engineering,_production_and_construction",F,1
2017,NUMBER,information_and_communication_technologies,F,3
2017,NUMBER,health_and_social_protection,F,19
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,5
2017,NUMBER,"social_sciences,_journalism_and_information",F,21
2017,NUMBER,"business,_administration_and_law",F,6
2017,NUMBER,eduaction,F,0
2017,NUMBER,humanities_and_arts,F,1
2017,NUMBER,services,F,0
2018,NUMBER,total,_T,119
2018,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,8
2018,NUMBER,"engineering,_production_and_construction",_T,3
2018,NUMBER,information_and_communication_technologies,_T,11
2018,NUMBER,health_and_social_protection,_T,37
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,9
2018,NUMBER,"social_sciences,_journalism_and_information",_T,16
2018,NUMBER,"business,_administration_and_law",_T,10
2018,NUMBER,eduaction,_T,3
2018,NUMBER,humanities_and_arts,_T,22
2018,NUMBER,services,_T,0
2018,NUMBER,total,M,56
2018,NUMBER,"natural_sciences,_mathematics_and_statistic",M,3
2018,NUMBER,"engineering,_production_and_construction",M,2
2018,NUMBER,information_and_communication_technologies,M,11
2018,NUMBER,health_and_social_protection,M,9
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2018,NUMBER,"social_sciences,_journalism_and_information",M,8
2018,NUMBER,"business,_administration_and_law",M,4
2018,NUMBER,eduaction,M,3
2018,NUMBER,humanities_and_arts,M,10
2018,NUMBER,services,M,0
2018,NUMBER,total,F,63
2018,NUMBER,"natural_sciences,_mathematics_and_statistic",F,5
2018,NUMBER,"engineering,_production_and_construction",F,1
2018,NUMBER,information_and_communication_technologies,F,0
2018,NUMBER,health_and_social_protection,F,28
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,3
2018,NUMBER,"social_sciences,_journalism_and_information",F,8
2018,NUMBER,"business,_administration_and_law",F,6
2018,NUMBER,eduaction,F,0
2018,NUMBER,humanities_and_arts,F,12
2018,NUMBER,services,F,0
2019,NUMBER,total,_T,165
2019,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,10
2019,NUMBER,"engineering,_production_and_construction",_T,0
2019,NUMBER,information_and_communication_technologies,_T,0
2019,NUMBER,health_and_social_protection,_T,65
