Year,UNIT_MEASURE,Vrsta korisnika,Value
2016,Broj,Ukupno,114991
2017,Broj,Ukupno,113231
2018,Broj,Ukupno,113895
2019,Broj,Ukupno,111620
2020,Broj,Ukupno,107536
2016,Broj,Maloljetni korisnici,23870
2017,Broj,Maloljetni korisnici,20700
2018,Broj,Maloljetni korisnici,18358
2019,Broj,Maloljetni korisnici,19180
2020,Broj,Maloljetni korisnici,17486
2016,Broj,Punoljetni korisnici,91121
2017,Broj,Punoljetni korisnici,92531
2018,Broj,Punoljetni korisnici,95537
2019,Broj,Punoljetni korisnici,92440
2020,Broj,Punoljetni korisnici,90050
2021,Broj,Ukupno,87734
2021,Broj,Maloljetni korisnici,13754
2021,Broj,Punoljetni korisnici,73980
