Year,UNIT_MEASURE,Научна област,Врста образовања,Пол,Value
2017,Број,Укупно,Уписани на магистарске студије,Оба пола,2140
2017,Број,"Природне науке, математика и статистика",Уписани на магистарске студије,Оба пола,67
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на магистарске студије,Оба пола,347
2017,Број,Информационе и комуникационе технологије,Уписани на магистарске студије,Оба пола,99
2017,Број,Здравство и социјална заштита,Уписани на магистарске студије,Оба пола,35
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на магистарске студије,Оба пола,206
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на магистарске студије,Оба пола,473
2017,Број,"Пословање, администрација и право",Уписани на магистарске студије,Оба пола,356
2017,Број,Образовање,Уписани на магистарске студије,Оба пола,236
2017,Број,Хуманистичке науке и умјетност,Уписани на магистарске студије,Оба пола,319
2017,Број,Услуге,Уписани на магистарске студије,Оба пола,2
2017,Број,Укупно,Уписани на магистарске студије,M,917
2017,Број,"Природне науке, математика и статистика",Уписани на магистарске студије,M,26
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на магистарске студије,M,208
2017,Број,Информационе и комуникационе технологије,Уписани на магистарске студије,M,80
2017,Број,Здравство и социјална заштита,Уписани на магистарске студије,M,8
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на магистарске студије,M,114
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на магистарске студије,M,176
2017,Број,"Пословање, администрација и право",Уписани на магистарске студије,M,124
2017,Број,Образовање,Уписани на магистарске студије,M,39
2017,Број,Хуманистичке науке и умјетност,Уписани на магистарске студије,M,142
2017,Број,Услуге,Уписани на магистарске студије,M,0
2017,Број,Укупно,Уписани на магистарске студије,Ж,1223
2017,Број,"Природне науке, математика и статистика",Уписани на магистарске студије,Ж,41
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на магистарске студије,Ж,139
2017,Број,Информационе и комуникационе технологије,Уписани на магистарске студије,Ж,19
2017,Број,Здравство и социјална заштита,Уписани на магистарске студије,Ж,27
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на магистарске студије,Ж,92
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на магистарске студије,Ж,297
2017,Број,"Пословање, администрација и право",Уписани на магистарске студије,Ж,232
2017,Број,Образовање,Уписани на магистарске студије,Ж,197
2017,Број,Хуманистичке науке и умјетност,Уписани на магистарске студије,Ж,177
2017,Број,Услуге,Уписани на магистарске студије,Ж,2
2017,Број,Укупно,Уписани на мастер студије,Оба пола,31
2017,Број,"Природне науке, математика и статистика",Уписани на мастер студије,Оба пола,1
2017,Број,"Инжeњерство, производња и грађевинарство",Уписани на мастер студије,Оба пола,0
2017,Број,Информационе и комуникационе технологије,Уписани на мастер студије,Оба пола,22
2017,Број,Здравство и социјална заштита,Уписани на мастер студије,Оба пола,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Уписани на мастер студије,Оба пола,0
2017,Број,"Друштвене науке, новинарство и информисање",Уписани на мастер студије,Оба пола,0
2017,Број,"Пословање, администрација и право",Уписани на мастер студије,Оба пола,2
2017,Број,Образовање,Уписани на мастер студије,Оба пола,1
