Year,UNIT_MEASURE,Value
2003,Broj djece po ženi 15-49,1.33
2004,Broj djece po ženi 15-49,1.35
2005,Broj djece po ženi 15-49,1.31
2006,Broj djece po ženi 15-49,1.34
2007,Broj djece po ženi 15-49,1.3
2008,Broj djece po ženi 15-49,1.32
2009,Broj djece po ženi 15-49,1.39
2010,Broj djece po ženi 15-49,1.33
2011,Broj djece po ženi 15-49,1.27
2012,Broj djece po ženi 15-49,1.35
2013,Broj djece po ženi 15-49,1.3
2014,Broj djece po ženi 15-49,1.28
2015,Broj djece po ženi 15-49,1.3
2016,Broj djece po ženi 15-49,1.32
2017,Broj djece po ženi 15-49,1.31
2018,Broj djece po ženi 15-49,1.36
2019,Broj djece po ženi 15-49,1.34
2020,Broj djece po ženi 15-49,1.38
