Year,UNIT_MEASURE,SEX,CAUSE_OF_DEATH,Value
2003,NUMBER,_T,total,12988
2004,NUMBER,_T,total,13082
2005,NUMBER,_T,total,13802
2006,NUMBER,_T,total,13232
2007,NUMBER,_T,total,14146
2008,NUMBER,_T,total,13501
2009,NUMBER,_T,total,13775
2010,NUMBER,_T,total,13517
2011,NUMBER,_T,total,13658
2012,NUMBER,_T,total,13796
2013,NUMBER,_T,total,13978
2014,NUMBER,_T,total,14409
2015,NUMBER,_T,total,15059
2016,NUMBER,_T,total,13970
2017,NUMBER,_T,total,14663
2018,NUMBER,_T,total,14763
2019,NUMBER,_T,total,15081
2020,NUMBER,_T,total,16582
2003,NUMBER,_T,infectious_and_parasitic_diseases,89
2004,NUMBER,_T,infectious_and_parasitic_diseases,124
2005,NUMBER,_T,infectious_and_parasitic_diseases,128
2006,NUMBER,_T,infectious_and_parasitic_diseases,111
2007,NUMBER,_T,infectious_and_parasitic_diseases,103
2008,NUMBER,_T,infectious_and_parasitic_diseases,118
2009,NUMBER,_T,infectious_and_parasitic_diseases,118
2010,NUMBER,_T,infectious_and_parasitic_diseases,109
2011,NUMBER,_T,infectious_and_parasitic_diseases,117
2012,NUMBER,_T,infectious_and_parasitic_diseases,135
2013,NUMBER,_T,infectious_and_parasitic_diseases,120
2014,NUMBER,_T,infectious_and_parasitic_diseases,136
2015,NUMBER,_T,infectious_and_parasitic_diseases,159
2016,NUMBER,_T,infectious_and_parasitic_diseases,187
2017,NUMBER,_T,infectious_and_parasitic_diseases,147
2018,NUMBER,_T,infectious_and_parasitic_diseases,184
2019,NUMBER,_T,infectious_and_parasitic_diseases,200
2020,NUMBER,_T,infectious_and_parasitic_diseases,162
2003,NUMBER,_T,neoplasms,2411
2004,NUMBER,_T,neoplasms,2330
2005,NUMBER,_T,neoplasms,2653
2006,NUMBER,_T,neoplasms,2551
2007,NUMBER,_T,neoplasms,2733
2008,NUMBER,_T,neoplasms,2733
2009,NUMBER,_T,neoplasms,2822
2010,NUMBER,_T,neoplasms,2700
2011,NUMBER,_T,neoplasms,2802
2012,NUMBER,_T,neoplasms,2937
2013,NUMBER,_T,neoplasms,3090
2014,NUMBER,_T,neoplasms,3154
2015,NUMBER,_T,neoplasms,3138
2016,NUMBER,_T,neoplasms,2948
2017,NUMBER,_T,neoplasms,3027
2018,NUMBER,_T,neoplasms,2938
2019,NUMBER,_T,neoplasms,2891
2020,NUMBER,_T,neoplasms,2719
2003,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,8
2004,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,13
2005,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,15
2006,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,6
2007,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,16
2008,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,8
2009,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,13
2010,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,15
2011,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,17
2012,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,15
2013,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,16
2014,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,10
2015,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,19
2016,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,24
2017,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,20
2018,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,36
2019,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,24
2020,NUMBER,_T,diseases_of_the_blood_and_blood_forming_organs,27
2003,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,180
2004,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,160
2005,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,727
2006,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,790
2007,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,791
2008,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,764
2009,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,891
2010,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,691
2011,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,654
2012,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,561
2013,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,800
2014,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,912
2015,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,762
2016,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,691
2017,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,825
2018,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,844
2019,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,604
2020,NUMBER,_T,diseases_of_the_endocrine_glands_nutrition_and_metabolism,825
2003,NUMBER,_T,mental_disorders_and_behavioral_disorders,33
2004,NUMBER,_T,mental_disorders_and_behavioral_disorders,58
2005,NUMBER,_T,mental_disorders_and_behavioral_disorders,80
2006,NUMBER,_T,mental_disorders_and_behavioral_disorders,82
2007,NUMBER,_T,mental_disorders_and_behavioral_disorders,107
2008,NUMBER,_T,mental_disorders_and_behavioral_disorders,101
2009,NUMBER,_T,mental_disorders_and_behavioral_disorders,122
2010,NUMBER,_T,mental_disorders_and_behavioral_disorders,84
2011,NUMBER,_T,mental_disorders_and_behavioral_disorders,72
2012,NUMBER,_T,mental_disorders_and_behavioral_disorders,58
2013,NUMBER,_T,mental_disorders_and_behavioral_disorders,95
2014,NUMBER,_T,mental_disorders_and_behavioral_disorders,84
2015,NUMBER,_T,mental_disorders_and_behavioral_disorders,72
2016,NUMBER,_T,mental_disorders_and_behavioral_disorders,98
2017,NUMBER,_T,mental_disorders_and_behavioral_disorders,113
2018,NUMBER,_T,mental_disorders_and_behavioral_disorders,85
2019,NUMBER,_T,mental_disorders_and_behavioral_disorders,72
2020,NUMBER,_T,mental_disorders_and_behavioral_disorders,72
2003,NUMBER,_T,diseases_of_the_nervous_system,65
2004,NUMBER,_T,diseases_of_the_nervous_system,91
2005,NUMBER,_T,diseases_of_the_nervous_system,170
2006,NUMBER,_T,diseases_of_the_nervous_system,184
2007,NUMBER,_T,diseases_of_the_nervous_system,155
2008,NUMBER,_T,diseases_of_the_nervous_system,146
2009,NUMBER,_T,diseases_of_the_nervous_system,133
2010,NUMBER,_T,diseases_of_the_nervous_system,152
2011,NUMBER,_T,diseases_of_the_nervous_system,209
2012,NUMBER,_T,diseases_of_the_nervous_system,207
2013,NUMBER,_T,diseases_of_the_nervous_system,185
2014,NUMBER,_T,diseases_of_the_nervous_system,186
2015,NUMBER,_T,diseases_of_the_nervous_system,212
2016,NUMBER,_T,diseases_of_the_nervous_system,171
2017,NUMBER,_T,diseases_of_the_nervous_system,197
2018,NUMBER,_T,diseases_of_the_nervous_system,169
2019,NUMBER,_T,diseases_of_the_nervous_system,165
2020,NUMBER,_T,diseases_of_the_nervous_system,188
2003,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2004,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2005,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2006,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2007,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2008,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2009,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2010,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2011,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2012,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2013,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2014,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2015,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2016,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2017,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2018,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2019,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2020,NUMBER,_T,eye_diseases_and_eye_soldering_disease,0
2003,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2004,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2005,NUMBER,_T,diseases_of_ear_and_mastoid_process,1
2006,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2007,NUMBER,_T,diseases_of_ear_and_mastoid_process,1
2008,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2009,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2010,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2011,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2012,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2013,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2014,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2015,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2016,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2017,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2018,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2019,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2020,NUMBER,_T,diseases_of_ear_and_mastoid_process,0
2003,NUMBER,_T,diseases_of_the_circulatory_system,7071
2004,NUMBER,_T,diseases_of_the_circulatory_system,7340
2005,NUMBER,_T,diseases_of_the_circulatory_system,7002
2006,NUMBER,_T,diseases_of_the_circulatory_system,6463
2007,NUMBER,_T,diseases_of_the_circulatory_system,7097
2008,NUMBER,_T,diseases_of_the_circulatory_system,6965
2009,NUMBER,_T,diseases_of_the_circulatory_system,7014
2010,NUMBER,_T,diseases_of_the_circulatory_system,7211
2011,NUMBER,_T,diseases_of_the_circulatory_system,7339
2012,NUMBER,_T,diseases_of_the_circulatory_system,7625
2013,NUMBER,_T,diseases_of_the_circulatory_system,6687
2014,NUMBER,_T,diseases_of_the_circulatory_system,6777
2015,NUMBER,_T,diseases_of_the_circulatory_system,7275
2016,NUMBER,_T,diseases_of_the_circulatory_system,6920
2017,NUMBER,_T,diseases_of_the_circulatory_system,7180
2018,NUMBER,_T,diseases_of_the_circulatory_system,6989
2019,NUMBER,_T,diseases_of_the_circulatory_system,7473
2020,NUMBER,_T,diseases_of_the_circulatory_system,7602
2003,NUMBER,_T,diseases_of_the_respiratory_system,304
2004,NUMBER,_T,diseases_of_the_respiratory_system,345
2005,NUMBER,_T,diseases_of_the_respiratory_system,504
2006,NUMBER,_T,diseases_of_the_respiratory_system,520
2007,NUMBER,_T,diseases_of_the_respiratory_system,493
2008,NUMBER,_T,diseases_of_the_respiratory_system,449
2009,NUMBER,_T,diseases_of_the_respiratory_system,430
2010,NUMBER,_T,diseases_of_the_respiratory_system,450
2011,NUMBER,_T,diseases_of_the_respiratory_system,536
2012,NUMBER,_T,diseases_of_the_respiratory_system,424
2013,NUMBER,_T,diseases_of_the_respiratory_system,556
2014,NUMBER,_T,diseases_of_the_respiratory_system,524
2015,NUMBER,_T,diseases_of_the_respiratory_system,618
2016,NUMBER,_T,diseases_of_the_respiratory_system,510
2017,NUMBER,_T,diseases_of_the_respiratory_system,576
2018,NUMBER,_T,diseases_of_the_respiratory_system,626
2019,NUMBER,_T,diseases_of_the_respiratory_system,596
2020,NUMBER,_T,diseases_of_the_respiratory_system,631
2003,NUMBER,_T,diseases_of_the_digestive_system,352
2004,NUMBER,_T,diseases_of_the_digestive_system,347
2005,NUMBER,_T,diseases_of_the_digestive_system,343
2006,NUMBER,_T,diseases_of_the_digestive_system,379
2007,NUMBER,_T,diseases_of_the_digestive_system,396
2008,NUMBER,_T,diseases_of_the_digestive_system,366
2009,NUMBER,_T,diseases_of_the_digestive_system,371
2010,NUMBER,_T,diseases_of_the_digestive_system,398
2011,NUMBER,_T,diseases_of_the_digestive_system,391
2012,NUMBER,_T,diseases_of_the_digestive_system,393
2013,NUMBER,_T,diseases_of_the_digestive_system,402
2014,NUMBER,_T,diseases_of_the_digestive_system,429
2015,NUMBER,_T,diseases_of_the_digestive_system,440
2016,NUMBER,_T,diseases_of_the_digestive_system,450
2017,NUMBER,_T,diseases_of_the_digestive_system,413
2018,NUMBER,_T,diseases_of_the_digestive_system,481
2019,NUMBER,_T,diseases_of_the_digestive_system,419
2020,NUMBER,_T,diseases_of_the_digestive_system,438
2003,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,0
2004,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,3
2005,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,0
2006,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,1
2007,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,2
2008,NUMBER,_T,skin_and_subcutaneous_tissue_disorders,2
