Year,UNIT_MEASURE,type_of_institution,SEX,Value
2016.0,NUMBER,_T,_T,9953.0
2016.0,NUMBER,_T,M,5184.0
2016.0,NUMBER,_T,F,4769.0
2017.0,NUMBER,_T,_T,10240.0
2017.0,NUMBER,_T,M,5298.0
2017.0,NUMBER,_T,F,4942.0
2018.0,NUMBER,_T,_T,12156.0
2018.0,NUMBER,_T,M,6341.0
2018.0,NUMBER,_T,F,5815.0
2019.0,NUMBER,_T,_T,13138.0
2019.0,NUMBER,_T,M,6801.0
2019.0,NUMBER,_T,F,6337.0
2020.0,NUMBER,_T,_T,11247.0
2020.0,NUMBER,_T,M,5852.0
2020.0,NUMBER,_T,F,5395.0
2016.0,NUMBER,public,_T,7454.0
2016.0,NUMBER,public,M,3869.0
2016.0,NUMBER,public,F,3585.0
2017.0,NUMBER,public,_T,7773.0
2017.0,NUMBER,public,M,4012.0
2017.0,NUMBER,public,F,3761.0
2018.0,NUMBER,public,_T,8553.0
2018.0,NUMBER,public,M,4485.0
2018.0,NUMBER,public,F,4068.0
2019.0,NUMBER,public,_T,9074.0
2019.0,NUMBER,public,M,4704.0
2019.0,NUMBER,public,F,4370.0
2020.0,NUMBER,public,_T,7774.0
2020.0,NUMBER,public,M,4043.0
2020.0,NUMBER,public,F,3731.0
2016.0,NUMBER,private,_T,2499.0
2016.0,NUMBER,private,M,1315.0
2016.0,NUMBER,private,F,1184.0
2017.0,NUMBER,private,_T,2467.0
2017.0,NUMBER,private,M,1286.0
2017.0,NUMBER,private,F,1181.0
2018.0,NUMBER,private,_T,3603.0
2018.0,NUMBER,private,M,1856.0
2018.0,NUMBER,private,F,1747.0
2019.0,NUMBER,private,_T,4064.0
2019.0,NUMBER,private,M,2097.0
2019.0,NUMBER,private,F,1967.0
2020.0,NUMBER,private,_T,3473.0
2020.0,NUMBER,private,M,1809.0
2020.0,NUMBER,private,F,1664.0
2021.0,NUMBER,_T,_T,14091.0
2021.0,NUMBER,_T,M,7345.0
2021.0,NUMBER,_T,F,6746.0
2021.0,NUMBER,public,_T,9814.0
2021.0,NUMBER,public,M,5142.0
2021.0,NUMBER,public,F,4672.0
2021.0,NUMBER,private,_T,4277.0
2021.0,NUMBER,private,M,2203.0
2021.0,NUMBER,private,F,2074.0
,,,,
