Year,UNIT_MEASURE,Value
2003,Број на 1.000 становника,10.9
2004,Број на 1.000 становника,11.0
2005,Број на 1.000 становника,11.6
2006,Број на 1.000 становника,11.2
2007,Број на 1.000 становника,12.0
2008,Број на 1.000 становника,11.4
2009,Број на 1.000 становника,11.7
2010,Број на 1.000 становника,11.5
2011,Број на 1.000 становника,11.6
2012,Број на 1.000 становника,11.8
2013,Број на 1.000 становника,11.9
2014,Број на 1.000 становника,12.3
2015,Број на 1.000 становника,13.0
2016,Број на 1.000 становника,12.1
2017,Број на 1.000 становника,12.7
2018,Број на 1.000 становника,12.9
2019,Број на 1.000 становника,13.2
2020,Број на 1.000 становника,14.6
