Year,UNIT_MEASURE,scientific_field,Пол,Value
2017,Број,total,Укупно,130
2017,Број,"natural_sciences,_mathematics_and_statistics",Укупно,10
2017,Број,"engineering,_production_and_construction",Укупно,4
2017,Број,information_and_communication_technologies,Укупно,12
2017,Број,health_and_social_protection,Укупно,25
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,9
2017,Број,"social_sciences,_journalism_and_information",Укупно,50
2017,Број,"business,_administration_and_law",Укупно,10
2017,Број,education,Укупно,0
2017,Број,arts_and_humanities,Укупно,10
2017,Број,services,Укупно,0
2017,Број,total,M,70
2017,Број,"natural_sciences,_mathematics_and_statistics",M,6
2017,Број,"engineering,_production_and_construction",M,3
2017,Број,information_and_communication_technologies,M,9
2017,Број,health_and_social_protection,M,6
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2017,Број,"social_sciences,_journalism_and_information",M,29
2017,Број,"business,_administration_and_law",M,4
2017,Број,education,M,0
2017,Број,arts_and_humanities,M,9
2017,Број,services,M,0
2017,Број,total,Ж,60
2017,Број,"natural_sciences,_mathematics_and_statistics",Ж,4
2017,Број,"engineering,_production_and_construction",Ж,1
2017,Број,information_and_communication_technologies,Ж,3
2017,Број,health_and_social_protection,Ж,19
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,5
2017,Број,"social_sciences,_journalism_and_information",Ж,21
2017,Број,"business,_administration_and_law",Ж,6
2017,Број,education,Ж,0
2017,Број,arts_and_humanities,Ж,1
2017,Број,services,Ж,0
2018,Број,total,Укупно,119
2018,Број,"natural_sciences,_mathematics_and_statistics",Укупно,8
2018,Број,"engineering,_production_and_construction",Укупно,3
2018,Број,information_and_communication_technologies,Укупно,11
2018,Број,health_and_social_protection,Укупно,37
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,9
2018,Број,"social_sciences,_journalism_and_information",Укупно,16
2018,Број,"business,_administration_and_law",Укупно,10
2018,Број,education,Укупно,3
2018,Број,arts_and_humanities,Укупно,22
2018,Број,services,Укупно,0
2018,Број,total,M,56
2018,Број,"natural_sciences,_mathematics_and_statistics",M,3
2018,Број,"engineering,_production_and_construction",M,2
2018,Број,information_and_communication_technologies,M,11
2018,Број,health_and_social_protection,M,9
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2018,Број,"social_sciences,_journalism_and_information",M,8
2018,Број,"business,_administration_and_law",M,4
2018,Број,education,M,3
2018,Број,arts_and_humanities,M,10
2018,Број,services,M,0
2018,Број,total,Ж,63
2018,Број,"natural_sciences,_mathematics_and_statistics",Ж,5
2018,Број,"engineering,_production_and_construction",Ж,1
2018,Број,information_and_communication_technologies,Ж,0
2018,Број,health_and_social_protection,Ж,28
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,3
2018,Број,"social_sciences,_journalism_and_information",Ж,8
2018,Број,"business,_administration_and_law",Ж,6
2018,Број,education,Ж,0
2018,Број,arts_and_humanities,Ж,12
2018,Број,services,Ж,0
2019,Број,total,Укупно,165
2019,Број,"natural_sciences,_mathematics_and_statistics",Укупно,10
2019,Број,"engineering,_production_and_construction",Укупно,0
2019,Број,information_and_communication_technologies,Укупно,0
2019,Број,health_and_social_protection,Укупно,65
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,9
2019,Број,"social_sciences,_journalism_and_information",Укупно,58
2019,Број,"business,_administration_and_law",Укупно,5
2019,Број,education,Укупно,8
2019,Број,arts_and_humanities,Укупно,10
2019,Број,services,Укупно,0
2019,Број,total,M,71
2019,Број,"natural_sciences,_mathematics_and_statistics",M,6
2019,Број,"engineering,_production_and_construction",M,0
2019,Број,information_and_communication_technologies,M,0
2019,Број,health_and_social_protection,M,19
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,6
2019,Број,"social_sciences,_journalism_and_information",M,28
2019,Број,"business,_administration_and_law",M,2
2019,Број,education,M,5
2019,Број,arts_and_humanities,M,5
2019,Број,services,M,0
2019,Број,total,Ж,94
2019,Број,"natural_sciences,_mathematics_and_statistics",Ж,4
2019,Број,"engineering,_production_and_construction",Ж,0
2019,Број,information_and_communication_technologies,Ж,0
2019,Број,health_and_social_protection,Ж,46
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,3
2019,Број,"social_sciences,_journalism_and_information",Ж,30
2019,Број,"business,_administration_and_law",Ж,3
2019,Број,education,Ж,3
2019,Број,arts_and_humanities,Ж,5
2019,Број,services,Ж,0
2020,Број,total,Укупно,184
2020,Број,"natural_sciences,_mathematics_and_statistics",Укупно,12
2020,Број,"engineering,_production_and_construction",Укупно,2
2020,Број,information_and_communication_technologies,Укупно,5
2020,Број,health_and_social_protection,Укупно,96
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Укупно,14
2020,Број,"social_sciences,_journalism_and_information",Укупно,22
2020,Број,"business,_administration_and_law",Укупно,1
2020,Број,education,Укупно,8
2020,Број,arts_and_humanities,Укупно,24
2020,Број,services,Укупно,0
2020,Број,total,M,79
2020,Број,"natural_sciences,_mathematics_and_statistics",M,8
2020,Број,"engineering,_production_and_construction",M,1
2020,Број,information_and_communication_technologies,M,3
2020,Број,health_and_social_protection,M,35
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,9
2020,Број,"social_sciences,_journalism_and_information",M,12
2020,Број,"business,_administration_and_law",M,0
2020,Број,education,M,8
2020,Број,arts_and_humanities,M,3
2020,Број,services,M,0
2020,Број,total,Ж,105
2020,Број,"natural_sciences,_mathematics_and_statistics",Ж,4
2020,Број,"engineering,_production_and_construction",Ж,1
2020,Број,information_and_communication_technologies,Ж,2
2020,Број,health_and_social_protection,Ж,61
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,5
2020,Број,"social_sciences,_journalism_and_information",Ж,10
2020,Број,"business,_administration_and_law",Ж,1
2020,Број,education,Ж,0
2020,Број,arts_and_humanities,Ж,21
2020,Број,services,Ж,0
