Year,UNIT_MEASURE,Научна област,Пол,Value
2017,Број,Укупно,Оба пола,534
2017,Број,"Друштвене науке, новинарство и информисање",Оба пола,100
2017,Број,Умјетност и хуманистичке науке,Оба пола,100
2017,Број,Информационе и комуникационе технологије,Оба пола,17
2017,Број,"Инжeњерство, производња и грађевинарство",Оба пола,32
2017,Број,education,Оба пола,51
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,20
2017,Број,"Пословање, администрација и право",Оба пола,80
2017,Број,"Природне науке, математика и статистика",Оба пола,15
2017,Број,services,Оба пола,1
2017,Број,Здравство и социјална заштита,Оба пола,118
2017,Број,Укупно,M,252
2017,Број,"Друштвене науке, новинарство и информисање",M,45
2017,Број,Умјетност и хуманистичке науке,M,49
2017,Број,Информационе и комуникационе технологије,M,14
2017,Број,"Инжeњерство, производња и грађевинарство",M,17
2017,Број,education,M,14
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,10
2017,Број,"Пословање, администрација и право",M,48
2017,Број,"Природне науке, математика и статистика",M,6
2017,Број,services,M,1
2017,Број,Здравство и социјална заштита,M,48
2017,Број,Укупно,Ж,282
2017,Број,"Друштвене науке, новинарство и информисање",Ж,55
2017,Број,Умјетност и хуманистичке науке,Ж,51
2017,Број,Информационе и комуникационе технологије,Ж,3
2017,Број,"Инжeњерство, производња и грађевинарство",Ж,15
2017,Број,education,Ж,37
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,10
2017,Број,"Пословање, администрација и право",Ж,32
2017,Број,"Природне науке, математика и статистика",Ж,9
2017,Број,services,Ж,0
2017,Број,Здравство и социјална заштита,Ж,70
2018,Број,Укупно,Оба пола,530
2018,Број,"Друштвене науке, новинарство и информисање",Оба пола,101
2018,Број,Умјетност и хуманистичке науке,Оба пола,76
2018,Број,Информационе и комуникационе технологије,Оба пола,22
2018,Број,"Инжeњерство, производња и грађевинарство",Оба пола,33
2018,Број,education,Оба пола,55
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,27
2018,Број,"Пословање, администрација и право",Оба пола,67
2018,Број,"Природне науке, математика и статистика",Оба пола,23
2018,Број,services,Оба пола,3
2018,Број,Здравство и социјална заштита,Оба пола,123
2018,Број,Укупно,M,322
2018,Број,"Друштвене науке, новинарство и информисање",M,64
2018,Број,Умјетност и хуманистичке науке,M,46
2018,Број,Информационе и комуникационе технологије,M,5
2018,Број,"Инжeњерство, производња и грађевинарство",M,17
2018,Број,education,M,35
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2018,Број,"Пословање, администрација и право",M,36
2018,Број,"Природне науке, математика и статистика",M,18
2018,Број,services,M,3
2018,Број,Здравство и социјална заштита,M,85
2018,Број,Укупно,Ж,208
2018,Број,"Друштвене науке, новинарство и информисање",Ж,37
2018,Број,Умјетност и хуманистичке науке,Ж,30
2018,Број,Информационе и комуникационе технологије,Ж,17
2018,Број,"Инжeњерство, производња и грађевинарство",Ж,16
2018,Број,education,Ж,20
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,14
2018,Број,"Пословање, администрација и право",Ж,31
2018,Број,"Природне науке, математика и статистика",Ж,5
2018,Број,services,Ж,0
2018,Број,Здравство и социјална заштита,Ж,38
2019,Број,Укупно,Оба пола,466
2019,Број,"Друштвене науке, новинарство и информисање",Оба пола,148
2019,Број,Умјетност и хуманистичке науке,Оба пола,59
2019,Број,Информационе и комуникационе технологије,Оба пола,10
2019,Број,"Инжeњерство, производња и грађевинарство",Оба пола,30
2019,Број,education,Оба пола,48
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,11
2019,Број,"Пословање, администрација и право",Оба пола,35
2019,Број,"Природне науке, математика и статистика",Оба пола,24
2019,Број,services,Оба пола,1
2019,Број,Здравство и социјална заштита,Оба пола,100
2019,Број,Укупно,M,188
2019,Број,"Друштвене науке, новинарство и информисање",M,65
2019,Број,Умјетност и хуманистичке науке,M,21
2019,Број,Информационе и комуникационе технологије,M,6
2019,Број,"Инжeњерство, производња и грађевинарство",M,12
2019,Број,education,M,12
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2019,Број,"Пословање, администрација и право",M,22
2019,Број,"Природне науке, математика и статистика",M,9
2019,Број,services,M,1
2019,Број,Здравство и социјална заштита,M,36
2019,Број,Укупно,Ж,278
2019,Број,"Друштвене науке, новинарство и информисање",Ж,83
2019,Број,Умјетност и хуманистичке науке,Ж,38
2019,Број,Информационе и комуникационе технологије,Ж,4
2019,Број,"Инжeњерство, производња и грађевинарство",Ж,18
2019,Број,education,Ж,36
2019,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,7
2019,Број,"Пословање, администрација и право",Ж,13
2019,Број,"Природне науке, математика и статистика",Ж,15
2019,Број,services,Ж,0
2019,Број,Здравство и социјална заштита,Ж,64
2020,Број,Укупно,Оба пола,384
2020,Број,"Друштвене науке, новинарство и информисање",Оба пола,86
2020,Број,Умјетност и хуманистичке науке,Оба пола,65
2020,Број,Информационе и комуникационе технологије,Оба пола,11
2020,Број,"Инжeњерство, производња и грађевинарство",Оба пола,30
2020,Број,education,Оба пола,29
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Оба пола,20
2020,Број,"Пословање, администрација и право",Оба пола,28
2020,Број,"Природне науке, математика и статистика",Оба пола,20
2020,Број,services,Оба пола,0
2020,Број,Здравство и социјална заштита,Оба пола,95
2020,Број,Укупно,M,156
2020,Број,"Друштвене науке, новинарство и информисање",M,41
2020,Број,Умјетност и хуманистичке науке,M,20
2020,Број,Информационе и комуникационе технологије,M,9
2020,Број,"Инжeњерство, производња и грађевинарство",M,15
2020,Број,education,M,7
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2020,Број,"Пословање, администрација и право",M,13
2020,Број,"Природне науке, математика и статистика",M,6
2020,Број,services,M,0
2020,Број,Здравство и социјална заштита,M,32
2020,Број,Укупно,Ж,228
2020,Број,"Друштвене науке, новинарство и информисање",Ж,45
2020,Број,Умјетност и хуманистичке науке,Ж,45
2020,Број,Информационе и комуникационе технологије,Ж,2
2020,Број,"Инжeњерство, производња и грађевинарство",Ж,15
2020,Број,education,Ж,22
2020,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ж,7
2020,Број,"Пословање, администрација и право",Ж,15
2020,Број,"Природне науке, математика и статистика",Ж,14
2020,Број,services,Ж,0
2020,Број,Здравство и социјална заштита,Ж,63
