Year,UNIT_MEASURE,Value
2019,Стопа смртности на 1.000 становника,12.8
2020,Стопа смртности на 1.000 становника,12.8
2025,Стопа смртности на 1.000 становника,13.2
2030,Стопа смртности на 1.000 становника,13.7
2035,Стопа смртности на 1.000 становника,14.4
2040,Стопа смртности на 1.000 становника,15.2
2045,Стопа смртности на 1.000 становника,15.7
2050,Стопа смртности на 1.000 становника,15.9
2055,Стопа смртности на 1.000 становника,16.0
2060,Стопа смртности на 1.000 становника,16.1
2065,Стопа смртности на 1.000 становника,16.3
2070,Стопа смртности на 1.000 становника,16.6
