Year,UNIT_MEASURE,Pol,Value
2015,% od ukupno,T,24.1
2015,% od ukupno,M,26.0
2015,% od ukupno,Ž,22.1
2016,% od ukupno,T,25.5
2016,% od ukupno,M,25.7
2016,% od ukupno,Ž,25.4
2017,% od ukupno,T,21.1
2017,% od ukupno,M,22.3
2017,% od ukupno,Ž,19.8
2018,% od ukupno,T,18.7
2018,% od ukupno,M,18.3
2018,% od ukupno,Ž,19.2
2019,% od ukupno,T,16.7
2019,% od ukupno,M,16.4
2019,% od ukupno,Ž,17.1
2020,% od ukupno,T,15.6
2020,% od ukupno,M,15.3
2020,% od ukupno,Ž,15.9
2021,% od ukupno,T,17.3
2021,% od ukupno,M,18.2
2021,% od ukupno,Ž,16.3
2022,% od ukupno,T,16.3
2022,% od ukupno,M,16.6
2022,% od ukupno,Ž,15.9
2023,% od ukupno,T,15.9
2023,% od ukupno,M,17.7
2023,% od ukupno,Ž,13.9
2024,% od ukupno,T,15.8
2024,% od ukupno,M,16.5
2024,% od ukupno,Ž,14.9
