Year,UNIT_MEASURE,Sex,Age,Value
2020,% of total,Total,15+,52.2
2020,% of total,Total,15 - 24,33.6
2020,% of total,Total,25 - 49,81.0
2020,% of total,Total,50 - 64,57.3
2020,% of total,Total,15 - 64,65.2
2020,% of total,M,15+,60.4
2020,% of total,M,15 - 24,38.8
2020,% of total,M,25 - 49,86.8
2020,% of total,M,50 - 64,69.3
2020,% of total,M,15 - 64,73.0
2020,% of total,F,15+,44.6
2020,% of total,F,15 - 24,28.1
2020,% of total,F,25 - 49,75.0
2020,% of total,F,50 - 64,46.1
2020,% of total,F,15 - 64,57.3
