Year,Spol,UNIT_MEASURE,Etnička/nacionalna pripadnost,Value
2013,Oba spola,Broj,Bošnjački,1769592
2013,Oba spola,Broj,Serb,1086733
2013,Oba spola,Broj,Croat ,544780
2013,Oba spola,Broj,Bosanski,37110
2013,Oba spola,Broj,Romski,12583
2013,Oba spola,Broj,Muslimanska,12121
2013,Oba spola,Broj,Bosansko-hercegovačka,11406
2013,Oba spola,Broj,Albanski,2659
2013,Oba spola,Broj,Yugoslav,2570
2013,Oba spola,Broj,Ukrainian,2331
2013,Oba spola,Broj,Montenegrin,1883
2013,Oba spola,Broj,Turk,1108
2013,Oba spola,Broj,Slovenian,937
2013,Oba spola,Broj,Pravoslavna,826
2013,Oba spola,Broj,Macedonian ,738
2013,Oba spola,Broj,Drugo,10267
2013,Oba spola,Broj,Neopredijeljen,27055
2013,Oba spola,Broj,Unknown,6460
2013,M,Broj,Bošnjački,867492
2013,M,Broj,Serb,534030
2013,M,Broj,Croat ,267789
2013,M,Broj,Bosanski,18135
2013,M,Broj,Romski,6511
2013,M,Broj,Muslimanska,5888
2013,M,Broj,Bosansko-hercegovačka,5663
2013,M,Broj,Albanski,1646
2013,M,Broj,Yugoslav,1350
2013,M,Broj,Ukrainian,1146
2013,M,Broj,Montenegrin,953
2013,M,Broj,Turk,738
2013,M,Broj,Slovenian,366
2013,M,Broj,Pravoslavna,376
2013,M,Broj,Macedonian ,351
2013,M,Broj,Drugo,5171
2013,M,Broj,Neopredijeljen,11503
2013,M,Broj,Unknown,3162
2013,Ž,Broj,Bošnjački,902100
2013,Ž,Broj,Serb,552703
2013,Ž,Broj,Croat ,276991
2013,Ž,Broj,Bosanski,18975
2013,Ž,Broj,Romski,6072
2013,Ž,Broj,Muslimanska,6233
2013,Ž,Broj,Bosansko-hercegovačka,5743
2013,Ž,Broj,Albanski,1013
2013,Ž,Broj,Yugoslav,1220
2013,Ž,Broj,Ukrainian,1185
2013,Ž,Broj,Montenegrin,930
2013,Ž,Broj,Turk,370
2013,Ž,Broj,Slovenian,571
2013,Ž,Broj,Pravoslavna,450
2013,Ž,Broj,Macedonian ,387
2013,Ž,Broj,Drugo,5096
2013,Ž,Broj,Neopredijeljen,15552
2013,Ž,Broj,Unknown,3298
