Year,UNIT_MEASURE,Administrativna oblast,Spol,Nationality,Value
2013,Broj,ISTOCNA ILIDZA,M,bosniaks,293
2013,Broj,ISTOCNA ILIDZA,Ž,bosniaks,339
2013,Broj,ISTOCNI MOSTAR,Oba spola,bosniaks,78
2013,Broj,ISTOCNI MOSTAR,M,bosniaks,45
2013,Broj,ISTOCNI MOSTAR,Ž,bosniaks,33
2013,Broj,ISTOCNI STARI GRAD,Oba spola,bosniaks,41
2013,Broj,ISTOCNI STARI GRAD,M,bosniaks,25
2013,Broj,ISTOCNI STARI GRAD,Ž,bosniaks,16
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,bosniaks,44
2013,Broj,ISTOCNO NOVO SARAJEVO,M,bosniaks,14
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,bosniaks,30
2013,Broj,JEZERO,Oba spola,bosniaks,251
2013,Broj,JEZERO,M,bosniaks,118
2013,Broj,JEZERO,Ž,bosniaks,133
2013,Broj,KALINOVIK,Oba spola,bosniaks,43
2013,Broj,KALINOVIK,M,bosniaks,19
2013,Broj,KALINOVIK,Ž,bosniaks,24
2013,Broj,KNEZEVO,Oba spola,bosniaks,413
2013,Broj,KNEZEVO,M,bosniaks,186
2013,Broj,KNEZEVO,Ž,bosniaks,227
2013,Broj,KOZARSKA DUBICA,Oba spola,bosniaks,1883
2013,Broj,KOZARSKA DUBICA,M,bosniaks,906
2013,Broj,KOZARSKA DUBICA,Ž,bosniaks,977
2013,Broj,KOSTAJNICA,Oba spola,bosniaks,1276
2013,Broj,KOSTAJNICA,M,bosniaks,626
2013,Broj,KOSTAJNICA,Ž,bosniaks,650
2013,Broj,KOTOR VAROS,Oba spola,bosniaks,4516
2013,Broj,KOTOR VAROS,M,bosniaks,2173
2013,Broj,KOTOR VAROS,Ž,bosniaks,2343
2013,Broj,KRUPA NA UNI,Oba spola,bosniaks,3
2013,Broj,KRUPA NA UNI,M,bosniaks,1
2013,Broj,KRUPA NA UNI,Ž,bosniaks,2
2013,Broj,LAKTASI,Oba spola,bosniaks,104
2013,Broj,LAKTASI,M,bosniaks,47
2013,Broj,LAKTASI,Ž,bosniaks,57
2013,Broj,LOPARE,Oba spola,bosniaks,1310
2013,Broj,LOPARE,M,bosniaks,646
2013,Broj,LOPARE,Ž,bosniaks,664
2013,Broj,LJUBINJE,Oba spola,bosniaks,9
2013,Broj,LJUBINJE,M,bosniaks,5
2013,Broj,LJUBINJE,Ž,bosniaks,4
2013,Broj,MILICI,Oba spola,bosniaks,3532
2013,Broj,MILICI,M,bosniaks,1746
2013,Broj,MILICI,Ž,bosniaks,1786
2013,Broj,MODRICA,Oba spola,bosniaks,2880
2013,Broj,MODRICA,M,bosniaks,1364
2013,Broj,MODRICA,Ž,bosniaks,1516
2013,Broj,MRKONJIC GRAD,Oba spola,bosniaks,354
2013,Broj,MRKONJIC GRAD,M,bosniaks,170
2013,Broj,MRKONJIC GRAD,Ž,bosniaks,184
2013,Broj,NEVESINJE,Oba spola,bosniaks,508
2013,Broj,NEVESINJE,M,bosniaks,261
2013,Broj,NEVESINJE,Ž,bosniaks,247
2013,Broj,NOVI GRAD,Oba spola,bosniaks,5214
2013,Broj,NOVI GRAD,M,bosniaks,2606
2013,Broj,NOVI GRAD,Ž,bosniaks,2608
2013,Broj,NOVO GORAZDE,Oba spola,bosniaks,1317
2013,Broj,NOVO GORAZDE,M,bosniaks,662
2013,Broj,NOVO GORAZDE,Ž,bosniaks,655
2013,Broj,OSMACI,Oba spola,bosniaks,2673
2013,Broj,OSMACI,M,bosniaks,1321
2013,Broj,OSMACI,Ž,bosniaks,1352
2013,Broj,OSTRA LUKA,Oba spola,bosniaks,23
2013,Broj,OSTRA LUKA,M,bosniaks,7
2013,Broj,OSTRA LUKA,Ž,bosniaks,16
2013,Broj,PALE,Oba spola,bosniaks,165
2013,Broj,PALE,M,bosniaks,86
2013,Broj,PALE,Ž,bosniaks,79
2013,Broj,PELAGICEVO,Oba spola,bosniaks,13
2013,Broj,PELAGICEVO,M,bosniaks,2
2013,Broj,PELAGICEVO,Ž,bosniaks,11
2013,Broj,PETROVO,Oba spola,bosniaks,6
2013,Broj,PETROVO,M,bosniaks,2
2013,Broj,PETROVO,Ž,bosniaks,4
2013,Broj,PRIJEDOR,Oba spola,bosniaks,22303
2013,Broj,PRIJEDOR,M,bosniaks,10669
2013,Broj,PRIJEDOR,Ž,bosniaks,11634
2013,Broj,PRNJAVOR,Oba spola,bosniaks,2749
2013,Broj,PRNJAVOR,M,bosniaks,1329
2013,Broj,PRNJAVOR,Ž,bosniaks,1420
2013,Broj,ROGATICA,Oba spola,bosniaks,1009
2013,Broj,ROGATICA,M,bosniaks,520
2013,Broj,ROGATICA,Ž,bosniaks,489
2013,Broj,RUDO,Oba spola,bosniaks,574
2013,Broj,RUDO,M,bosniaks,300
2013,Broj,RUDO,Ž,bosniaks,274
2013,Broj,SOKOLAC,Oba spola,bosniaks,629
2013,Broj,SOKOLAC,M,bosniaks,329
2013,Broj,SOKOLAC,Ž,bosniaks,300
2013,Broj,SRBAC,Oba spola,bosniaks,394
2013,Broj,SRBAC,M,bosniaks,184
2013,Broj,SRBAC,Ž,bosniaks,210
2013,Broj,SREBRENICA,Oba spola,bosniaks,6122
2013,Broj,SREBRENICA,M,bosniaks,2913
2013,Broj,SREBRENICA,Ž,bosniaks,3209
2013,Broj,TESLIC,Oba spola,bosniaks,6887
2013,Broj,TESLIC,M,bosniaks,3387
2013,Broj,TESLIC,Ž,bosniaks,3500
2013,Broj,TREBINJE,Oba spola,bosniaks,863
2013,Broj,TREBINJE,M,bosniaks,426
2013,Broj,TREBINJE,Ž,bosniaks,437
2013,Broj,TRNOVO,Oba spola,bosniaks,818
2013,Broj,TRNOVO,M,bosniaks,405
2013,Broj,TRNOVO,Ž,bosniaks,413
2013,Broj,UGLJEVIK,Oba spola,bosniaks,1999
2013,Broj,UGLJEVIK,M,bosniaks,974
2013,Broj,UGLJEVIK,Ž,bosniaks,1025
2013,Broj,FOCA,Oba spola,bosniaks,1169
2013,Broj,FOCA,M,bosniaks,626
2013,Broj,FOCA,Ž,bosniaks,543
2013,Broj,HAN PIJESAK,Oba spola,bosniaks,420
2013,Broj,HAN PIJESAK,M,bosniaks,204
2013,Broj,HAN PIJESAK,Ž,bosniaks,216
2013,Broj,CAJNICE,Oba spola,bosniaks,835
2013,Broj,CAJNICE,M,bosniaks,439
2013,Broj,CAJNICE,Ž,bosniaks,396
2013,Broj,CELINAC,Oba spola,bosniaks,395
2013,Broj,CELINAC,M,bosniaks,197
2013,Broj,CELINAC,Ž,bosniaks,198
2013,Broj,SAMAC,Oba spola,bosniaks,1005
2013,Broj,SAMAC,M,bosniaks,486
2013,Broj,SAMAC,Ž,bosniaks,519
2013,Broj,SEKOVICI,Oba spola,bosniaks,103
2013,Broj,SEKOVICI,M,bosniaks,51
2013,Broj,SEKOVICI,Ž,bosniaks,52
2013,Broj,SIPOVO,Oba spola,bosniaks,578
2013,Broj,SIPOVO,M,bosniaks,294
2013,Broj,SIPOVO,Ž,bosniaks,284
2013,Broj,REPUBLIKA SRPSKA,Oba spola,croats,26509
2013,Broj,REPUBLIKA SRPSKA,M,croats,11005
2013,Broj,REPUBLIKA SRPSKA,Ž,croats,15504
2013,Broj,BANJA LUKA,Oba spola,croats,4887
2013,Broj,BANJA LUKA,M,croats,1761
2013,Broj,BANJA LUKA,Ž,croats,3126
2013,Broj,BERKOVICI,Oba spola,croats,11
2013,Broj,BERKOVICI,M,croats,1
2013,Broj,BERKOVICI,Ž,croats,10
2013,Broj,BIJELJINA,Oba spola,croats,498
2013,Broj,BIJELJINA,M,croats,140
2013,Broj,BIJELJINA,Ž,croats,358
2013,Broj,BILECA,Oba spola,croats,21
2013,Broj,BILECA,M,croats,2
2013,Broj,BILECA,Ž,croats,19
2013,Broj,BRATUNAC,Oba spola,croats,30
2013,Broj,BRATUNAC,M,croats,5
2013,Broj,BRATUNAC,Ž,croats,25
2013,Broj,BROD,Oba spola,croats,3021
2013,Broj,BROD,M,croats,1413
2013,Broj,BROD,Ž,croats,1608
2013,Broj,VISEGRAD,Oba spola,croats,32
2013,Broj,VISEGRAD,M,croats,5
2013,Broj,VISEGRAD,Ž,croats,27
2013,Broj,VLASENICA,Oba spola,croats,29
2013,Broj,VLASENICA,M,croats,5
2013,Broj,VLASENICA,Ž,croats,24
2013,Broj,VUKOSAVLJE,Oba spola,croats,698
2013,Broj,VUKOSAVLJE,M,croats,332
2013,Broj,VUKOSAVLJE,Ž,croats,366
2013,Broj,GACKO,Oba spola,croats,13
2013,Broj,GACKO,M,croats,5
2013,Broj,GACKO,Ž,croats,8
2013,Broj,GRADISKA,Oba spola,croats,800
2013,Broj,GRADISKA,M,croats,276
2013,Broj,GRADISKA,Ž,croats,524
2013,Broj,DERVENTA,Oba spola,croats,2181
2013,Broj,DERVENTA,M,croats,1040
2013,Broj,DERVENTA,Ž,croats,1141
2013,Broj,DOBOJ,Oba spola,croats,1550
2013,Broj,DOBOJ,M,croats,605
2013,Broj,DOBOJ,Ž,croats,945
2013,Broj,DONJI ZABAR,Oba spola,croats,991
2013,Broj,DONJI ZABAR,M,croats,497
2013,Broj,DONJI ZABAR,Ž,croats,494
2013,Broj,ZVORNIK,Oba spola,croats,103
2013,Broj,ZVORNIK,M,croats,17
2013,Broj,ZVORNIK,Ž,croats,86
2013,Broj,ISTOCNA ILIDZA,Oba spola,croats,148
2013,Broj,ISTOCNA ILIDZA,M,croats,39
2013,Broj,ISTOCNA ILIDZA,Ž,croats,109
2013,Broj,ISTOCNI DRVAR,Oba spola,croats,1
2013,Broj,ISTOCNI DRVAR,Ž,croats,1
2013,Broj,ISTOCNI MOSTAR,Oba spola,croats,11
2013,Broj,ISTOCNI MOSTAR,M,croats,8
2013,Broj,ISTOCNI MOSTAR,Ž,croats,3
2013,Broj,ISTOCNI STARI GRAD,Oba spola,croats,6
2013,Broj,ISTOCNI STARI GRAD,M,croats,2
2013,Broj,ISTOCNI STARI GRAD,Ž,croats,4
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,croats,102
2013,Broj,ISTOCNO NOVO SARAJEVO,M,croats,23
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,croats,79
2013,Broj,JEZERO,Oba spola,croats,6
2013,Broj,JEZERO,M,croats,4
2013,Broj,JEZERO,Ž,croats,2
2013,Broj,KALINOVIK,Oba spola,croats,8
2013,Broj,KALINOVIK,M,croats,2
2013,Broj,KALINOVIK,Ž,croats,6
2013,Broj,KNEZEVO,Oba spola,croats,24
2013,Broj,KNEZEVO,M,croats,5
2013,Broj,KNEZEVO,Ž,croats,19
2013,Broj,KOZARSKA DUBICA,Oba spola,croats,261
2013,Broj,KOZARSKA DUBICA,M,croats,79
2013,Broj,KOZARSKA DUBICA,Ž,croats,182
2013,Broj,KOSTAJNICA,Oba spola,croats,82
2013,Broj,KOSTAJNICA,M,croats,29
2013,Broj,KOSTAJNICA,Ž,croats,53
2013,Broj,KOTOR VAROS,Oba spola,croats,852
2013,Broj,KOTOR VAROS,M,croats,410
2013,Broj,KOTOR VAROS,Ž,croats,442
2013,Broj,KRUPA NA UNI,Oba spola,croats,2
2013,Broj,KRUPA NA UNI,Ž,croats,2
2013,Broj,LAKTASI,Oba spola,croats,500
2013,Broj,LAKTASI,M,croats,175
2013,Broj,LAKTASI,Ž,croats,325
2013,Broj,LOPARE,Oba spola,croats,48
2013,Broj,LOPARE,M,croats,9
2013,Broj,LOPARE,Ž,croats,39
2013,Broj,LJUBINJE,Oba spola,croats,10
2013,Broj,LJUBINJE,M,croats,3
2013,Broj,LJUBINJE,Ž,croats,7
2013,Broj,MILICI,Oba spola,croats,22
2013,Broj,MILICI,M,croats,7
2013,Broj,MILICI,Ž,croats,15
2013,Broj,MODRICA,Oba spola,croats,1396
2013,Broj,MODRICA,M,croats,662
2013,Broj,MODRICA,Ž,croats,734
2013,Broj,MRKONJIC GRAD,Oba spola,croats,148
2013,Broj,MRKONJIC GRAD,M,croats,60
2013,Broj,MRKONJIC GRAD,Ž,croats,88
2013,Broj,NEVESINJE,Oba spola,croats,27
2013,Broj,NEVESINJE,M,croats,9
2013,Broj,NEVESINJE,Ž,croats,18
2013,Broj,NOVI GRAD,Oba spola,croats,174
2013,Broj,NOVI GRAD,M,croats,58
2013,Broj,NOVI GRAD,Ž,croats,116
2013,Broj,NOVO GORAZDE,Oba spola,croats,2
2013,Broj,NOVO GORAZDE,M,croats,1
2013,Broj,NOVO GORAZDE,Ž,croats,1
2013,Broj,OSMACI,Oba spola,croats,7
2013,Broj,OSMACI,M,croats,1
2013,Broj,OSMACI,Ž,croats,6
2013,Broj,OSTRA LUKA,Oba spola,croats,149
2013,Broj,OSTRA LUKA,M,croats,74
2013,Broj,OSTRA LUKA,Ž,croats,75
2013,Broj,PALE,Oba spola,croats,126
2013,Broj,PALE,M,croats,37
2013,Broj,PALE,Ž,croats,89
2013,Broj,PELAGICEVO,Oba spola,croats,1182
2013,Broj,PELAGICEVO,M,croats,580
2013,Broj,PELAGICEVO,Ž,croats,602
2013,Broj,PETROVAC,Oba spola,croats,-
2013,Broj,PETROVAC,M,croats,-
2013,Broj,PETROVAC,Ž,croats,-
2013,Broj,PETROVO,Oba spola,croats,34
2013,Broj,PETROVO,M,croats,8
2013,Broj,PETROVO,Ž,croats,26
2013,Broj,PRIJEDOR,Oba spola,croats,1666
2013,Broj,PRIJEDOR,M,croats,679
2013,Broj,PRIJEDOR,Ž,croats,987
2013,Broj,PRNJAVOR,Oba spola,croats,423
2013,Broj,PRNJAVOR,M,croats,150
2013,Broj,PRNJAVOR,Ž,croats,273
2013,Broj,RIBNIK,Oba spola,croats,11
2013,Broj,RIBNIK,M,croats,4
2013,Broj,RIBNIK,Ž,croats,7
2013,Broj,ROGATICA,Oba spola,croats,18
2013,Broj,ROGATICA,M,croats,2
2013,Broj,ROGATICA,Ž,croats,16
2013,Broj,RUDO,Oba spola,croats,7
2013,Broj,RUDO,M,croats,6
2013,Broj,RUDO,Ž,croats,1
2013,Broj,SOKOLAC,Oba spola,croats,28
2013,Broj,SOKOLAC,M,croats,8
2013,Broj,SOKOLAC,Ž,croats,20
2013,Broj,SRBAC,Oba spola,croats,128
2013,Broj,SRBAC,M,croats,21
2013,Broj,SRBAC,Ž,croats,107
2013,Broj,SREBRENICA,Oba spola,croats,14
2013,Broj,SREBRENICA,M,croats,6
