Year,UNIT_MEASURE,Spol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2003,Broj,Oba spola,Ukupno,12988
2004,Broj,Oba spola,Ukupno,13082
2005,Broj,Oba spola,Ukupno,13802
2006,Broj,Oba spola,Ukupno,13232
2007,Broj,Oba spola,Ukupno,14146
2008,Broj,Oba spola,Ukupno,13501
2009,Broj,Oba spola,Ukupno,13775
2010,Broj,Oba spola,Ukupno,13517
2011,Broj,Oba spola,Ukupno,13658
2012,Broj,Oba spola,Ukupno,13796
2013,Broj,Oba spola,Ukupno,13978
2014,Broj,Oba spola,Ukupno,14409
2015,Broj,Oba spola,Ukupno,15059
2016,Broj,Oba spola,Ukupno,13970
2017,Broj,Oba spola,Ukupno,14663
2018,Broj,Oba spola,Ukupno,14763
2019,Broj,Oba spola,Ukupno,15081
2020,Broj,Oba spola,Ukupno,16582
2003,Broj,Oba spola,infectious_and_parasitic_diseases,89
2004,Broj,Oba spola,infectious_and_parasitic_diseases,124
2005,Broj,Oba spola,infectious_and_parasitic_diseases,128
2006,Broj,Oba spola,infectious_and_parasitic_diseases,111
2007,Broj,Oba spola,infectious_and_parasitic_diseases,103
2008,Broj,Oba spola,infectious_and_parasitic_diseases,118
2009,Broj,Oba spola,infectious_and_parasitic_diseases,118
2010,Broj,Oba spola,infectious_and_parasitic_diseases,109
2011,Broj,Oba spola,infectious_and_parasitic_diseases,117
2012,Broj,Oba spola,infectious_and_parasitic_diseases,135
2013,Broj,Oba spola,infectious_and_parasitic_diseases,120
2014,Broj,Oba spola,infectious_and_parasitic_diseases,136
2015,Broj,Oba spola,infectious_and_parasitic_diseases,159
2016,Broj,Oba spola,infectious_and_parasitic_diseases,187
2017,Broj,Oba spola,infectious_and_parasitic_diseases,147
2018,Broj,Oba spola,infectious_and_parasitic_diseases,184
2019,Broj,Oba spola,infectious_and_parasitic_diseases,200
2020,Broj,Oba spola,infectious_and_parasitic_diseases,162
2003,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2411
2004,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2330
2005,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2653
2006,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2551
2007,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2733
2008,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2733
2009,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2822
2010,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2700
2011,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2802
2012,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2937
2013,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",3090
2014,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",3154
2015,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",3138
2016,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2948
2017,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",3027
2018,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2938
2019,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2891
2020,Broj,Oba spola,"(C00-C97,D00-D48) Neoplazme",2719
2003,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,8
2004,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,13
2005,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,15
2006,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,6
2007,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,16
2008,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,8
2009,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,13
2010,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,15
2011,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,17
2012,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,15
2013,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,16
2014,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,10
2015,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,19
2016,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,24
2017,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,20
2018,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,36
2019,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,24
2020,Broj,Oba spola,diseases_of_the_blood_and_blood_forming_organs,27
2003,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,180
2004,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,160
2005,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,727
2006,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,790
2007,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,791
2008,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,764
2009,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,891
2010,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,691
2011,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,654
2012,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,561
2013,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,800
2014,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,912
2015,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,762
2016,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,691
2017,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,825
2018,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,844
2019,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,604
2020,Broj,Oba spola,diseases_of_the_endocrine_glands_nutrition_and_metabolism,825
2003,Broj,Oba spola,mental_disorders_and_behavioral_disorders,33
2004,Broj,Oba spola,mental_disorders_and_behavioral_disorders,58
2005,Broj,Oba spola,mental_disorders_and_behavioral_disorders,80
2006,Broj,Oba spola,mental_disorders_and_behavioral_disorders,82
2007,Broj,Oba spola,mental_disorders_and_behavioral_disorders,107
2008,Broj,Oba spola,mental_disorders_and_behavioral_disorders,101
2009,Broj,Oba spola,mental_disorders_and_behavioral_disorders,122
2010,Broj,Oba spola,mental_disorders_and_behavioral_disorders,84
2011,Broj,Oba spola,mental_disorders_and_behavioral_disorders,72
2012,Broj,Oba spola,mental_disorders_and_behavioral_disorders,58
2013,Broj,Oba spola,mental_disorders_and_behavioral_disorders,95
2014,Broj,Oba spola,mental_disorders_and_behavioral_disorders,84
2015,Broj,Oba spola,mental_disorders_and_behavioral_disorders,72
2016,Broj,Oba spola,mental_disorders_and_behavioral_disorders,98
2017,Broj,Oba spola,mental_disorders_and_behavioral_disorders,113
2018,Broj,Oba spola,mental_disorders_and_behavioral_disorders,85
2019,Broj,Oba spola,mental_disorders_and_behavioral_disorders,72
2020,Broj,Oba spola,mental_disorders_and_behavioral_disorders,72
2003,Broj,Oba spola,diseases_of_the_nervous_system,65
2004,Broj,Oba spola,diseases_of_the_nervous_system,91
2005,Broj,Oba spola,diseases_of_the_nervous_system,170
2006,Broj,Oba spola,diseases_of_the_nervous_system,184
2007,Broj,Oba spola,diseases_of_the_nervous_system,155
2008,Broj,Oba spola,diseases_of_the_nervous_system,146
2009,Broj,Oba spola,diseases_of_the_nervous_system,133
2010,Broj,Oba spola,diseases_of_the_nervous_system,152
2011,Broj,Oba spola,diseases_of_the_nervous_system,209
2012,Broj,Oba spola,diseases_of_the_nervous_system,207
2013,Broj,Oba spola,diseases_of_the_nervous_system,185
