Year,UNIT_MEASURE,type_of_education,Пол,Value
2017,Број,Укупно,Оба пола,54
2017,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,4
2017,Број,"engineering,_production_and_construction",Оба пола,6
2017,Број,information_and_communication_technologie,Оба пола,4
2017,Број,health_and_social_protection,Оба пола,1
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,2
2017,Број,"social_sciences,_journalism_and_information",Оба пола,14
2017,Број,"business,_administration_and_law",Оба пола,16
2017,Број,education,Оба пола,0
2017,Број,arts_and_humanities,Оба пола,7
2017,Број,services,Оба пола,0
2017,Број,Укупно,M,37
2017,Број,"natural_sciences,_mathematics_and_statistics",M,2
2017,Број,"engineering,_production_and_construction",M,3
2017,Број,information_and_communication_technologie,M,3
2017,Број,health_and_social_protection,M,1
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,2
2017,Број,"social_sciences,_journalism_and_information",M,10
2017,Број,"business,_administration_and_law",M,13
2017,Број,education,M,0
2017,Број,arts_and_humanities,M,3
2017,Број,services,M,0
2017,Број,Укупно,Ж,17
2017,Број,"natural_sciences,_mathematics_and_statistics",Ж,2
2017,Број,"engineering,_production_and_construction",Ж,3
2017,Број,information_and_communication_technologie,Ж,1
2017,Број,health_and_social_protection,Ж,0
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,0
2017,Број,"social_sciences,_journalism_and_information",Ж,4
2017,Број,"business,_administration_and_law",Ж,3
2017,Број,education,Ж,0
2017,Број,arts_and_humanities,Ж,4
2017,Број,services,Ж,0
2018,Број,Укупно,Оба пола,43
2018,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,1
2018,Број,"engineering,_production_and_construction",Оба пола,3
2018,Број,information_and_communication_technologie,Оба пола,3
2018,Број,health_and_social_protection,Оба пола,0
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,4
2018,Број,"social_sciences,_journalism_and_information",Оба пола,14
2018,Број,"business,_administration_and_law",Оба пола,12
2018,Број,education,Оба пола,1
2018,Број,arts_and_humanities,Оба пола,5
2018,Број,services,Оба пола,0
2018,Број,Укупно,M,28
2018,Број,"natural_sciences,_mathematics_and_statistics",M,1
2018,Број,"engineering,_production_and_construction",M,1
2018,Број,information_and_communication_technologie,M,3
2018,Број,health_and_social_protection,M,0
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,1
2018,Број,"social_sciences,_journalism_and_information",M,9
2018,Број,"business,_administration_and_law",M,10
2018,Број,education,M,1
2018,Број,arts_and_humanities,M,2
2018,Број,services,M,0
2018,Број,Укупно,Ж,15
2018,Број,"natural_sciences,_mathematics_and_statistics",Ж,0
2018,Број,"engineering,_production_and_construction",Ж,2
2018,Број,information_and_communication_technologie,Ж,0
2018,Број,health_and_social_protection,Ж,0
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,3
2018,Број,"social_sciences,_journalism_and_information",Ж,5
2018,Број,"business,_administration_and_law",Ж,2
2018,Број,education,Ж,0
2018,Број,arts_and_humanities,Ж,3
2018,Број,services,Ж,0
